hypothesis,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_bps,benefit_difference_ci_low,benefit_difference_ci_high,circular_p_unadjusted,p_holm_four_hypotheses,lift_increment_supported,joint_lift_benefit_supported
cba_freshness,cba_consensus_stale20,cba_consensus_basis,0.9135186547745096,1.3920284263230622,0.4785097715485527,0.15535160612331353,0.7883675520963827,0.0014996250937265683,-24.638856664271266,29.142204724498573,53.78106138876984,18.701250062187153,91.41522283581129,0.007748062984253936,0.005998500374906273,True,True
cba_on_primary,logit50_extra50,primary75_cba_consensus_basis25,1.8463221702729151,1.9259459498951583,0.07962377962224321,-0.05577921139404363,0.2752464273546816,0.1329667583104224,71.28443344868988,87.15076290787897,15.866329459189089,0.9182978493919134,34.66837726782104,0.10297425643589103,0.39890027493126723,False,False
cba_on_label_free_geometry,primary75_geometry_min75_max2525,geometry75_cba_consensus_basis25,1.9271361278397232,1.9471729403838514,0.020036812544128146,-0.07593010495330232,0.141986373334096,0.3284178955261185,84.68914312706514,85.28894873540864,0.5998056083435017,-6.134209292360696,8.209280799263517,0.38240439890027494,0.656835791052237,False,False
cba_geometry_vs_regime,primary75_regime_logit25,geometry75_cba_consensus_basis25,1.9407458462566705,1.9471729403838514,0.006427094127180899,-0.11138419608573384,0.1590575463693593,0.46163459135216195,81.68743814660326,85.28894873540864,3.6015105888053824,-7.061795721627657,17.1508339454332,0.4891277180704824,0.656835791052237,False,False
