policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps
future_test_top15_noncausal,4815,745,0.15472481827622014,0.7324438202247191,0.32357217030114227,0.4697986577181208,1.4519130532174271,1.4496196391777332,1.3194537981003691,60.647300419183466
train_score_q15,4815,1054,0.21889927310488058,1.03623595505618,0.32357217030114227,0.43548387096774194,1.345863182740486,1.3363817387377437,1.241987915621356,53.21582085228275
train_score_q20,4815,1322,0.27455867082035307,1.2997191011235956,0.32357217030114227,0.4288956127080182,1.325502166360146,1.317645793257854,1.268737965282101,51.67734245798515
train_score_q30,4815,1822,0.3784008307372793,1.7912921348314608,0.32357217030114227,0.41437980241492867,1.2806410453324015,1.272689351532105,1.1766451387676733,47.989070441194
train_score_q40,4815,2285,0.4745586708203531,2.2464887640449436,0.32357217030114227,0.3956236323851203,1.2226750898166587,1.216929904265131,1.1241088923166715,39.56834787721011
past_oof_previous_fold_q15,4210,666,0.15819477434679335,0.7507246376811595,0.30665083135391924,0.4294294294294294,1.4003856683949634,1.383161797334496,1.1531425776473465,49.27248486387527
past_oof_expanding_q15,4210,158,0.03752969121140143,0.1780998389694042,0.30665083135391924,0.4240506329113924,1.382845208797027,1.368914920197149,1.1516717325227965,46.89118818447742
past_oof_rolling_120_q15,4210,626,0.1486935866983373,0.7056360708534622,0.30665083135391924,0.43769968051118213,1.4273552710705475,1.4090120770161159,1.1706762165578262,49.575979468237804
past_oof_rolling_250_q15,4210,461,0.10950118764845605,0.519645732689211,0.30665083135391924,0.43817787418655096,1.4289146787958014,1.4088901104544127,1.1223788772109717,48.17215851954655
past_oof_previous_fold_q20,4210,787,0.18693586698337292,0.8871175523349437,0.30665083135391924,0.4193138500635324,1.367398380145214,1.3461219827430597,1.032383699963938,45.13676787544987
past_oof_expanding_q20,4210,253,0.06009501187648456,0.2851851851851852,0.30665083135391924,0.4268774703557312,1.3920636329958391,1.369403699698783,1.0587278106508877,44.221603945715366
past_oof_rolling_120_q20,4210,772,0.1833729216152019,0.8702093397745573,0.30665083135391924,0.422279792746114,1.3770704318056854,1.3615946772331196,1.0984314334523995,45.87095279935567
past_oof_rolling_250_q20,4210,613,0.14560570071258908,0.6909822866344606,0.30665083135391924,0.4257748776508972,1.3884680363363884,1.3738392521542642,1.0780643946526078,50.17039615925684
past_oof_previous_fold_q30,4210,1027,0.24394299287410925,1.1576489533011274,0.30665083135391924,0.39922103213242455,1.3018749382474883,1.2933228426751378,1.0408653274693929,39.936998940794915
past_oof_expanding_q30,4210,488,0.1159144893111639,0.5500805152979067,0.30665083135391924,0.444672131147541,1.4500926972355908,1.424939244545813,1.2761294083357622,52.637304124317
past_oof_rolling_120_q30,4210,1143,0.27149643705463183,1.2884057971014493,0.30665083135391924,0.4120734908136483,1.343787293822974,1.3352708755433862,1.1602026342451877,41.945286687387394
past_oof_rolling_250_q30,4210,918,0.2180522565320665,1.0347826086956522,0.30665083135391924,0.4139433551198257,1.349884992296256,1.3448345935488457,1.0707752506725363,43.203315851296566
past_oof_previous_fold_q40,4210,1268,0.301187648456057,1.4293075684380034,0.30665083135391924,0.3832807570977918,1.249893096345239,1.24215014564559,1.0876899696048632,34.08069557899674
past_oof_expanding_q40,4210,745,0.17695961995249407,0.8397745571658616,0.30665083135391924,0.4268456375838926,1.3919598251186582,1.3760475800935161,1.2266053287329883,47.28193202173105
past_oof_rolling_120_q40,4210,1499,0.3560570071258907,1.689694041867955,0.30665083135391924,0.3829219479653102,1.2487230061455894,1.246248151651758,1.1258989772439798,31.57181218698271
past_oof_rolling_250_q40,4210,1228,0.29168646080760097,1.384219001610306,0.30665083135391924,0.4006514657980456,1.3065396367232935,1.3012205202937304,1.163304780326057,39.45524258712821
nested_calib_fixed_q15,4815,888,0.18442367601246107,0.8730337078651687,0.32357217030114227,0.44256756756756754,1.3677553516289074,1.345335882419922,1.2437009600857742,58.65776048458252
nested_calib_rolling_120_q15,4815,896,0.18608515057113187,0.8808988764044944,0.32357217030114227,0.44308035714285715,1.3693401281404731,1.3625330803222306,1.1805437469105289,55.811592581280365
nested_calib_rolling_250_q15,4815,830,0.17237798546209762,0.8160112359550563,0.32357217030114227,0.44216867469879517,1.3665225729619375,1.3583174399860591,1.2869108698246032,56.741718459127526
nested_calib_fixed_q20,4815,1095,0.22741433021806853,1.0765449438202248,0.32357217030114227,0.4420091324200913,1.3660295074472013,1.34743965779553,1.211701793016672,58.1765262258312
nested_calib_rolling_120_q20,4815,1131,0.23489096573208723,1.1119382022471913,0.32357217030114227,0.42263483642793986,1.306153233248094,1.3068015220271914,1.1984155891458752,51.803046446476436
nested_calib_rolling_250_q20,4815,1051,0.21827622014537904,1.033286516853933,0.32357217030114227,0.4319695528068506,1.3350021802085916,1.3271947424891928,1.2322123702422145,55.48582711222121
nested_calib_fixed_q30,4815,1449,0.30093457943925234,1.4245786516853933,0.32357217030114227,0.4306418219461698,1.3308988271314555,1.3230169907198266,1.2359358288770053,55.65906578141734
nested_calib_rolling_120_q30,4815,1619,0.3362409138110073,1.5917134831460675,0.32357217030114227,0.407041383570105,1.2579616571823207,1.2573170869284547,1.1815451006938569,47.989805980517495
nested_calib_rolling_250_q30,4815,1450,0.3011422637590862,1.425561797752809,0.32357217030114227,0.41586206896551725,1.2852219910583862,1.2814225004564948,1.211659443590102,53.9723838503377
nested_calib_fixed_q40,4815,1755,0.3644859813084112,1.7254213483146068,0.32357217030114227,0.42165242165242167,1.3031170797537934,1.2974195642153235,1.2007855606471523,52.19481635292439
