policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,period
future_test_top15_noncausal,1560,199,0.12756410256410255,0.6123076923076923,0.38333333333333336,0.5829145728643216,1.5206467118199691,1.5204284984501775,1.3548387096774195,96.95314756527853,2022-2023
future_test_top15_noncausal,3255,546,0.16774193548387098,0.7979123173277661,0.29493087557603687,0.42857142857142855,1.453125,1.450095043699929,1.304334071496362,47.414949536266036,2024-2026
train_score_q15,1560,631,0.4044871794871795,1.9415384615384617,0.38333333333333336,0.4405705229793978,1.149314407772342,1.1445218294164052,1.0593328240387065,60.57483420407249,2022-2023
train_score_q15,3255,423,0.12995391705069123,0.6181628392484342,0.29493087557603687,0.42789598108747046,1.4508348108747045,1.4125815748781272,1.2288369391607377,42.238191005995915,2024-2026
train_score_q20,1560,738,0.47307692307692306,2.270769230769231,0.38333333333333336,0.43360433604336046,1.1311417462000708,1.1284869227055365,1.0487394957983194,58.89202213685099,2022-2023
train_score_q20,3255,584,0.1794162826420891,0.8534446764091858,0.29493087557603687,0.4229452054794521,1.4340485873287672,1.389759024037506,1.1580459770114944,42.56016163092523,2024-2026
train_score_q30,1560,910,0.5833333333333334,2.8,0.38333333333333336,0.4318681318681319,1.1266125179168658,1.1251388348083127,1.0553353416838436,58.09297265788992,2022-2023
train_score_q30,3255,912,0.280184331797235,1.3327766179540708,0.29493087557603687,0.3969298245614035,1.3458401864035088,1.3268362028618792,1.0792440318302385,37.90732590479784,2024-2026
train_score_q40,1560,1063,0.6814102564102564,3.2707692307692304,0.38333333333333336,0.4139228598306679,1.0797987647756553,1.0808936641677103,1.0370929969026215,50.46108882017522,2022-2023
train_score_q40,3255,1222,0.37542242703533024,1.7858037578288102,0.29493087557603687,0.37970540098199673,1.2874386252045826,1.2722720416341675,1.0441058540497192,30.092911197691382,2024-2026
past_oof_previous_fold_q15,955,18,0.018848167539267015,0.09230769230769231,0.34659685863874345,0.4444444444444444,1.2823094998321585,1.4433747412008282,0.0,1.5099520005077711,2022-2023
past_oof_previous_fold_q15,3255,648,0.19907834101382488,0.9469728601252608,0.29493087557603687,0.42901234567901236,1.4546199845679013,1.4412064716868094,1.2041220768925882,50.5992218878577,2024-2026
past_oof_expanding_q15,955,2,0.0020942408376963353,0.010256410256410256,0.34659685863874345,1.0,2.8851963746223563,3.0317460317460316,3.0317460317460316,242.45662971530334,2022-2023
past_oof_expanding_q15,3255,156,0.047926267281105994,0.22797494780793315,0.29493087557603687,0.4166666666666667,1.4127604166666667,1.393098233190563,1.2025862068965518,44.38393893408222,2024-2026
past_oof_rolling_120_q15,955,44,0.04607329842931937,0.22564102564102564,0.34659685863874345,0.5909090909090909,1.7048887668223016,1.8938923794749545,0.9362745098039216,65.18100157533473,2022-2023
past_oof_rolling_120_q15,3255,582,0.17880184331797236,0.8505219206680584,0.29493087557603687,0.4261168384879725,1.4448024054982818,1.4285059388912242,1.1421052631578947,48.396218346739076,2024-2026
past_oof_rolling_250_q15,955,3,0.0031413612565445027,0.015384615384615385,0.34659685863874345,1.0,2.8851963746223563,3.0317460317460316,3.0317460317460316,267.5308648463788,2022-2023
past_oof_rolling_250_q15,3255,458,0.14070660522273426,0.6693110647181628,0.29493087557603687,0.4344978165938865,1.4732191593886463,1.4507649685631636,1.1719983381803074,46.73531109819175,2024-2026
