candidate,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
incumbent,1,1.4355033375206288,0.5438725752866788,1.434437116861265,2.039553329844701,46.38983128414809,301
incumbent,3,1.5322751322751325,0.39244186046511625,1.5314063282608499,12.19912291052137,58.63113899746999,301
incumbent,5,1.5702413929560743,0.3385221305326332,1.5625516995688895,20.61525879010143,66.99984626827556,301
incumbent,10,1.428259358554265,0.2698263851677205,1.4169054968254158,26.417916238693604,79.77386842887262,301
incumbent,20,1.424175824175824,0.18895348837209303,1.4250600790631123,36.78963850659518,102.27563392449217,301
noon_consensus,1,1.565624159129013,0.5441633627680663,1.565566497443704,11.517488945235309,53.403549854213466,358
noon_consensus,3,1.6634753196124519,0.3929311587673455,1.662316407174605,24.53440831122962,70.77521532808777,358
noon_consensus,5,1.7051184110007642,0.33910389259326,1.7024546391279316,31.120851853525675,81.66918734699773,358
noon_consensus,10,1.7866244690597153,0.2704766624617048,1.781016304885404,39.01125198948845,99.99630135428426,358
noon_consensus,20,1.8901988805525782,0.1891557037304019,1.8891077036277202,51.475658026829,124.9993155572696,358
state,1,1.0226157348848977,0.5440107893867664,1.0241031090410568,23.25998480242408,-15.31543319332905,293
state,3,1.1570491458238326,0.39231256192887815,1.1601950591277248,47.6737172912644,-0.05563998539974173,293
state,5,1.1599625818521981,0.33836562809644394,1.171650011225113,49.14099168079776,4.648515928342967,293
state,10,1.2025316455696202,0.2696245733788396,1.2129342934798506,34.79424456552842,16.168463201936795,293
state,20,1.081159630894427,0.18940603324892658,1.0935146431131744,7.630122953310159,28.5837674822412,293
noon90_state10,1,1.5554208440195851,0.5438476364374112,1.5540076662336983,14.303821878418672,52.72771055624527,318
noon90_state10,3,1.666795915729611,0.39242239805234325,1.6615499519653363,28.415023402766145,66.83445986276597,318
noon90_state10,5,1.6906768550773492,0.33851947656725506,1.6856498014563113,35.476431681018546,78.21732861245638,318
noon90_state10,10,1.8410073294493519,0.2698823290728342,1.825993556984693,44.75358243823815,100.25004800897175,318
noon90_state10,20,1.9308678434794277,0.18892016636234532,1.9228089445086407,59.68650556542418,126.41279077255491,318
noon75_state25,1,1.5547902869757178,0.543634792626728,1.5535617154441919,16.51270489769474,50.829451867026805,336
noon75_state25,3,1.6399204041022502,0.39200508832565284,1.6395212322243868,34.74947880621118,63.81048266028922,336
noon75_state25,5,1.6731766209786239,0.3379656298003072,1.6741647656468612,41.82986707984436,73.70263288722974,336
noon75_state25,10,1.845632798573975,0.2692972350230415,1.837190376270263,52.553330674362726,102.78006564938012,336
noon75_state25,20,1.8755640292341913,0.18883208525345624,1.8737976802993686,64.80142416118089,132.10545015753019,336
noon60_state40,1,1.534796823914059,0.5429600324609454,1.5357623829366036,19.538410967230323,47.55780374833831,318
noon60_state40,3,1.6166045078644398,0.3909895516331913,1.6195643647256106,44.294283521155286,61.40234976051986,318
noon60_state40,5,1.6339746244493807,0.33679498884155,1.6414593020171224,53.71680603874643,73.10639343176386,318
noon60_state40,10,1.7933642121183475,0.2682846419151958,1.7979455401960203,62.47379388031525,105.08933534643825,318
noon60_state40,20,1.737068965517241,0.18827348346520595,1.7395447632175198,69.76995407404874,135.52654871406853,318
