hypothesis,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better,control_benefit_bps,challenger_benefit_bps,benefit_difference_bps,benefit_difference_ci_low,benefit_difference_ci_high,circular_p_unadjusted,p_holm_four_hypotheses,lift_ci_above_zero,benefit_ci_above_zero,increment_supported
primary_survival_increment,logit50_extra50,primary75_survival25,1.8463221702729151,1.8846932488337294,0.03837107856081423,-0.08275460461547325,0.19943806540901352,0.2831792051987003,71.28443344868988,81.12941506122687,9.844981612536984,-1.4464998572980423,25.57996354684867,0.1994501374656336,1.0,False,False,False
shadow_survival_vs_shadow,shadow_close_basis,shadow75_survival25,1.6413277880468267,1.6115165307946817,-0.02981125725214495,-0.09871887634621815,0.10016147228761023,0.5003749062734316,68.8103790884441,66.47750878534727,-2.3328703030968256,-6.983591187670849,7.100036355220157,0.7423144213946513,1.0,False,False,False
shadow_survival_vs_survival,survival_cumulative_geometric,shadow75_survival25,1.685819258216054,1.6115165307946817,-0.07430272742137234,-0.2614574939975246,0.10571025128436362,0.8125468632841789,67.26353069783659,66.47750878534727,-0.7860219124893177,-18.568041039308223,16.38035781734537,0.7513121719570107,1.0,False,False,False
three_expert_increment,logit50_extra50,primary50_survival25_shadow25,1.8463221702729151,1.8531351672111913,0.006812996938276195,-0.20766632684918818,0.2622514628937872,0.4868782804298925,71.28443344868988,79.50881807434473,8.22438462565485,-9.982418331627835,31.362499081766316,0.4731317170707323,1.0,False,False,False
