hypothesis,subset,n,share,lift,benefit_bps
primary_survival_increment,control,544,0.2693069306930693,1.8463221702729151,71.28443344868988
primary_survival_increment,challenger,525,0.2599009900990099,1.8846932488337294,81.12941506122687
primary_survival_increment,intersection,483,0.2391089108910891,1.8707783684075574,80.0806160040237
primary_survival_increment,control_only,61,0.030198019801980197,1.6526771916002545,1.6359715761287057
primary_survival_increment,challenger_only,42,0.020792079207920793,2.0447143737347067,93.19060421906326
primary_survival_increment,neither,1434,0.7099009900990099,0.6483422145569572,-39.80577660497373
shadow_survival_vs_shadow,control,480,0.2376237623762376,1.6413277880468267,68.8103790884441
shadow_survival_vs_shadow,challenger,519,0.25693069306930694,1.6115165307946817,66.47750878534727
shadow_survival_vs_shadow,intersection,465,0.2301980198019802,1.6139765070657681,68.19110426379544
shadow_survival_vs_shadow,control_only,15,0.007425742574257425,2.4892174984596425,88.00789865255248
shadow_survival_vs_shadow,challenger_only,54,0.026732673267326732,1.5903334017936606,51.721547720932506
shadow_survival_vs_shadow,neither,1486,0.7356435643564356,0.7713894064876617,-33.78916017337005
shadow_survival_vs_survival,control,567,0.2806930693069307,1.685819258216054,67.26353069783659
shadow_survival_vs_survival,challenger,519,0.25693069306930694,1.6115165307946817,66.47750878534727
shadow_survival_vs_survival,intersection,396,0.19603960396039605,1.7726245822364122,86.20942975738123
shadow_survival_vs_survival,control_only,171,0.08465346534653466,1.484796402589962,23.388817086259508
shadow_survival_vs_survival,challenger_only,123,0.06089108910891089,1.0928271944456966,2.950348582701379
shadow_survival_vs_survival,neither,1330,0.6584158415841584,0.6990396508832154,-39.76696335307518
three_expert_increment,control,544,0.2693069306930693,1.8463221702729151,71.28443344868988
three_expert_increment,challenger,542,0.26831683168316833,1.8531351672111913,79.50881807434473
three_expert_increment,intersection,444,0.2198019801980198,1.9594178281793806,88.23925359831341
three_expert_increment,control_only,100,0.04950495049504951,1.3441774491682068,-3.9949680156386016
three_expert_increment,challenger_only,98,0.048514851485148516,1.3716096420083745,39.954599986160055
three_expert_increment,neither,1378,0.6821782178217822,0.6394651628844075,-41.42454939983697
