metric,block_dates,mean_delta,ci_low,ci_high
brier,20,-0.005940358267924672,-0.012155100178444667,0.0008846398303797039
auc,20,0.1823966730965825,0.07826655451248679,0.2837516055505225
brier,50,-0.005858750200531395,-0.013561957907428352,0.0024428573584500727
auc,50,0.17898605644390717,0.06998839367013662,0.30056061434457093
