period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1230,10,model,50,248,-86.17096048962244,-127.07346605281077,-40.076218785427905,1.0
screen_2024,cutoff_1230,10,prior,20,248,-4.669040451946441,-21.10669605052822,11.967913335250902,0.712
screen_2024,cutoff_1230,10,prior,50,248,-4.669040451946441,-25.647942940050264,16.946019805406298,0.688
screen_2024,cutoff_1330,10,model,20,248,-88.33870749554369,-124.5740968010526,-52.91988780631574,1.0
screen_2024,cutoff_1330,10,model,50,248,-88.33870749554369,-126.23949859120313,-44.12424147187215,1.0
screen_2024,cutoff_1330,10,prior,20,248,-5.04308160581225,-21.59130272363032,11.115757721964197,0.721
screen_2024,cutoff_1330,10,prior,50,248,-5.04308160581225,-25.423839043020617,18.20898258261506,0.698
screen_2024,cutoff_1430,10,model,20,248,-87.02361010977907,-119.5909731933746,-54.70036328314484,1.0
screen_2024,cutoff_1430,10,model,50,248,-87.02361010977907,-126.17100524430452,-50.72288168637851,1.0
screen_2024,cutoff_1430,10,prior,20,248,-5.21324185734328,-22.929661491748757,12.705491686569268,0.745
screen_2024,cutoff_1430,10,prior,50,248,-5.21324185734328,-24.261747485217125,16.62890062640071,0.695
screen_2024,cutoff_1500,10,model,20,248,-86.36569532933059,-118.60774409941561,-54.69021676325539,1.0
screen_2024,cutoff_1500,10,model,50,248,-86.36569532933059,-126.18924958846013,-41.80333954070117,1.0
screen_2024,cutoff_1500,10,prior,20,248,-5.526242726286708,-21.8558401023499,11.012836727006373,0.746
screen_2024,cutoff_1500,10,prior,50,248,-5.526242726286708,-26.062244223108628,15.805630383747879,0.718
screen_2024,cutoff_1520,10,model,20,248,-85.66422776313098,-118.0854464719807,-53.20875677467159,1.0
screen_2024,cutoff_1520,10,model,50,248,-85.66422776313098,-123.7866924503449,-50.74397077926283,1.0
screen_2024,cutoff_1520,10,prior,20,248,-5.673482191430022,-23.342208407416386,12.08980407840871,0.767
screen_2024,cutoff_1520,10,prior,50,248,-5.673482191430022,-24.661922559317937,15.992074898246475,0.712
screen_2024,cutoff_1530,10,model,20,248,-85.16713039359142,-118.88689131352439,-48.869935588459114,1.0
screen_2024,cutoff_1530,10,model,50,248,-85.16713039359142,-124.68857868447165,-46.16839283592439,1.0
screen_2024,cutoff_1530,10,prior,20,248,-5.710532108595368,-21.916641003337773,12.071665546165246,0.734
screen_2024,cutoff_1530,10,prior,50,248,-5.710532108595368,-26.556617331041107,16.454204839207677,0.711
screen_2024,early_1000,10,model,20,248,-192.20966620082555,-292.8425844808205,-90.70269834811337,1.0
screen_2024,early_1000,10,model,50,248,-192.20966620082555,-328.7003511992929,-68.56074699063808,1.0
screen_2024,early_1000,10,prior,20,248,15.523134233742491,-4.031753882660628,39.76364411069626,0.069
screen_2024,early_1000,10,prior,50,248,15.523134233742491,-7.808302707340508,46.242205216048376,0.148
screen_2024,premarket,10,model,20,248,-79.02012978893242,-111.63283259533598,-44.798612585127294,1.0
screen_2024,premarket,10,model,50,248,-79.02012978893242,-124.80263619477776,-38.82222067662782,1.0
screen_2024,premarket,10,prior,20,248,1.7198074745266962,-12.208609167600015,16.29555530064333,0.418
screen_2024,premarket,10,prior,50,248,1.7198074745266962,-15.805199869798892,21.770849433996936,0.42
screen_2024,update_1630,10,model,20,248,-75.79059955157922,-106.48700069699721,-45.31170871312974,1.0
screen_2024,update_1630,10,model,50,248,-75.79059955157922,-113.31124803085075,-33.561143836436905,1.0
screen_2024,update_1630,10,prior,20,248,-6.501240281070902,-21.780015011923226,8.946804013050585,0.803
screen_2024,update_1630,10,prior,50,248,-6.501240281070902,-26.074430312436526,13.826326487012023,0.758
screen_2024,update_1730,10,model,20,248,-80.82383798308368,-115.97314777823459,-45.614499568007766,1.0
screen_2024,update_1730,10,model,50,248,-80.82383798308368,-116.96653616003798,-36.51593558723987,1.0
screen_2024,update_1730,10,prior,20,248,-7.091366607561715,-22.774273752589586,8.610474413254405,0.802
screen_2024,update_1730,10,prior,50,248,-7.091366607561715,-26.97562864897297,15.127912571789041,0.754
screen_2024,cutoff_1030,20,model,20,248,-114.49552089379281,-207.71295599996702,-26.78578120497514,0.997
screen_2024,cutoff_1030,20,model,50,248,-114.49552089379281,-238.24875151458488,-12.401436015244684,0.99
screen_2024,cutoff_1030,20,prior,20,248,19.089376801722782,-7.252101559923165,51.86350558610397,0.101
screen_2024,cutoff_1030,20,prior,50,248,19.089376801722782,-10.400839664922069,59.7081754837237,0.2
screen_2024,cutoff_1130,20,model,20,248,-105.54662958545975,-197.44045770831605,-27.52709562519821,0.999
screen_2024,cutoff_1130,20,model,50,248,-105.54662958545975,-228.06055385145677,-1.3422635852130864,0.976
screen_2024,cutoff_1130,20,prior,20,248,17.233819908676022,-7.8851225666837275,47.86802201908734,0.117
screen_2024,cutoff_1130,20,prior,50,248,17.233819908676022,-10.130208360297878,56.35766426906125,0.188
screen_2024,cutoff_1230,20,model,20,248,-105.27323711137235,-199.67410810030015,-22.357752090559483,0.995
screen_2024,cutoff_1230,20,model,50,248,-105.27323711137235,-223.9138577337897,-3.08365576139768,0.981
screen_2024,cutoff_1230,20,prior,20,248,16.958010711351406,-8.298674453224113,47.085966588123505,0.13
screen_2024,cutoff_1230,20,prior,50,248,16.958010711351406,-8.80312828091066,56.086901544236035,0.198
screen_2024,cutoff_1330,20,model,20,248,-106.24859452814721,-196.99137236636417,-31.453103470666747,0.994
