state,h,origin,n_train,n_query,selected_weight,mae_weight_0,mae_weight_0.25,mae_weight_0.5,mae_weight_0.75,mae_weight_1,last_target_maturity
premarket,1,2023-01-01,0,280,0.0,,,,,,
premarket,1,2023-04-01,265,305,0.0,,,,,,2023-03-29
premarket,1,2023-07-01,570,330,0.0,61.468017391968345,67.28216711977635,79.35019769013698,94.65433240056826,112.03613594811718,2023-06-28
premarket,1,2023-10-01,900,320,0.0,67.38728783177498,70.4093518266341,80.35847545673376,94.06587985120265,110.08842824547813,2023-09-28
premarket,1,2024-01-01,1225,285,0.0,67.24250802296383,68.41803364680541,75.66771148896287,86.77485618385846,100.3373368647297,2023-12-29
premarket,1,2024-04-01,1510,300,0.0,61.77497238900057,62.223494876912476,68.26508626097849,78.48485193454043,91.05717283694028,2024-03-29
premarket,1,2024-07-01,1810,325,0.0,62.464805911498026,63.43995813482757,69.52062094623496,79.35569826458695,91.33528387679618,2024-06-28
premarket,1,2024-10-01,2140,330,0.0,62.21080633886448,62.523949988638336,68.44694896492847,78.19540424609964,90.16553746827653,2024-09-28
premarket,1,2025-01-01,2470,285,0.0,64.8617849288191,64.86201997599954,69.81295702055219,78.15223891734284,88.41025829326057,2024-12-29
premarket,1,2025-04-01,2470,295,0.25,69.72322517793806,68.44529959666764,71.37939863445793,77.35588138671538,85.00416017838845,2025-03-29
premarket,1,2025-07-01,2460,330,0.25,68.22844310398636,67.11130320079585,69.64330138698715,74.74306262479647,81.28959947595445,2025-06-28
premarket,1,2025-10-01,2460,325,0.25,65.96336560208121,64.96748702040445,66.80554749283488,70.71905400500515,75.85739643882671,2025-09-27
premarket,1,2026-01-01,2460,270,0.25,67.24365711226166,66.57729292187274,68.31628623778616,71.66670226916695,76.01640209597804,2025-12-27
premarket,1,2026-04-01,2450,310,0.25,69.61892488126526,69.2390858780434,70.87437272800895,73.70694147274838,77.36820083309853,2026-03-28
premarket,1,2026-07-01,2460,230,0.25,70.01588825296797,69.30106820221165,70.23254204571452,72.12289550076534,74.68122766007933,2026-06-27
cutoff_1030,1,2023-01-01,0,280,0.0,,,,,,
