hypothesis,horizon,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_lift_not_better,control_symmetric,challenger_symmetric,symmetric_difference,symmetric_difference_ci_low,symmetric_difference_ci_high,p_symmetric_not_better,control_future,challenger_future,future_difference,future_difference_ci_low,future_difference_ci_high,p_future_not_better,n_challenger,p_lift_holm_10,lift_increment_supported,p_symmetric_holm_10,symmetric_increment_supported,p_future_holm_10,future_increment_supported
online_vs_noon,1,noon_consensus,online_global_w250_eta5,1.7138720541352086,1.7138695154353647,-2.5386998439014263e-06,-0.02861375504457307,0.02930596901310522,0.4951262184453887,19.722902199207486,21.32620000861513,1.6032978094076462,-0.5355271389140649,4.628817520295331,0.08922769307673081,71.76573570461352,72.69389764362687,0.92816193901335,-2.139524391649955,4.2273121896731105,0.2856785803549113,540,1.0,False,0.5353661584603848,False,1.0,False
online_vs_noon,3,noon_consensus,online_global_w250_eta5,1.9539377250735395,1.9526776558203016,-0.00126006925323785,-0.048736935447078564,0.05601754508014804,0.5368657835541115,33.835216463806525,36.290194445897555,2.4549779820910302,-1.7182435923040886,8.069537909894747,0.14996250937265684,82.22574768560375,85.7596721101877,3.533924424583944,-2.1933398875791137,11.253636139082365,0.14446388402899274,540,1.0,False,0.7498125468632842,False,0.8667833041739564,False
online_vs_noon,5,noon_consensus,online_global_w250_eta5,1.9612104006180966,1.9546879624011095,-0.006522438216987059,-0.08492063601704171,0.08624337500535664,0.5718570357410647,41.1542206921564,43.56318129533725,2.4089606031808515,-2.2631466209438593,9.07289240694092,0.2086978255436141,86.14591164780279,89.33298846574365,3.187076817940863,-3.969862203802901,12.920363341195468,0.25818545363659084,540,1.0,False,0.8347913021744564,False,1.0,False
online_vs_noon,10,noon_consensus,online_global_w250_eta5,2.0096751656009837,1.9957689000505001,-0.013906265550483576,-0.13185845771624208,0.13376376530536283,0.5601099725068733,55.44315591296929,58.99303769665721,3.5498817836879226,-3.5477462445990753,13.432347095946742,0.22069482629342665,89.3998262639286,91.62246747572175,2.222641211793146,-6.212295216905821,13.484479005676636,0.332416895776056,535,1.0,False,0.8347913021744564,False,1.0,False
online_vs_noon,20,noon_consensus,online_global_w250_eta5,1.8189233607336222,1.8738438076101411,0.05492044687651898,-0.06802111281515658,0.24773663738918786,0.20644838790302425,77.06819450153439,78.92871394187341,1.8605194403390186,-6.018898376738744,12.979172014654967,0.3686578355411147,70.75305246623316,73.38017943031775,2.627126964084596,-9.041257625137229,16.241474246513864,0.3736565858535366,523,1.0,False,0.8347913021744564,False,1.0,False
fresh_vs_stale,1,matched_stale20,online_global_w250_eta5,1.6765667084835527,1.7138695154353647,0.037302806951811984,-0.027690458081812013,0.11720961664760923,0.12446888277930518,17.601594840595904,21.32620000861513,3.7246051680192274,-0.06354283834972022,8.276817600694775,0.0284928767808048,66.95424797472182,72.69389764362687,5.739649668905045,-1.240938950453215,14.471413418137953,0.05598600349912522,540,1.0,False,0.2279430142464384,False,0.39190202449387657,False
fresh_vs_stale,3,matched_stale20,online_global_w250_eta5,1.9302222086456733,1.9526776558203016,0.02245544717462833,-0.07668786792902112,0.16328928621344638,0.2519370157460635,28.35462784048452,36.290194445897555,7.935566605413037,1.4268361440536075,16.24707885725543,0.00899775056235941,77.01597078117247,85.7596721101877,8.743701329015224,-1.4594000255531558,21.465399331897594,0.04448887778055486,540,1.0,False,0.08097975506123468,False,0.3891527118220445,False
fresh_vs_stale,5,matched_stale20,online_global_w250_eta5,1.9373778290261008,1.9546879624011095,0.01731013337500875,-0.11311606948420216,0.21883935773656552,0.3309172706823294,33.7811571368714,43.56318129533725,9.782024158465852,2.0669616783230644,20.19003445683478,0.005248687828042989,78.97261445804907,89.33298846574365,10.360374007694588,-0.20655276219135732,24.082147525730672,0.028242939265183703,540,1.0,False,0.052486878280429895,False,0.28242939265183703,False
fresh_vs_stale,10,matched_stale20,online_global_w250_eta5,1.9859097886468293,1.9957689000505001,0.009859111403670795,-0.15421755753493335,0.22947193322469756,0.3739065233691577,46.266476850698425,58.99303769665721,12.726560845958787,-1.1551676336267143,28.30339193759709,0.03399150212446888,81.60416426334268,91.62246747572175,10.018303212379067,-1.6041315685939492,27.062547361334975,0.04323919020244939,535,1.0,False,0.23794051487128215,False,0.3891527118220445,False
fresh_vs_stale,20,matched_stale20,online_global_w250_eta5,1.8242801455074458,1.8738438076101411,0.04956366210269536,-0.18414982593717144,0.29819482671605335,0.38765308672831794,73.00320265821351,78.92871394187341,5.925511283659901,-18.338306386540673,28.595020827631885,0.2826793301674581,72.5142330921684,73.38017943031775,0.8659463381493566,-29.96735277855732,26.096691862132086,0.5606098475381155,523,1.0,False,0.8347913021744564,False,1.0,False
