hypothesis,aggregate,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_challenger_not_better
online_vs_noon,minimum,noon_consensus,online_global_w250_eta5,1.7138720541352086,1.7138695154353647,-2.5386998439014263e-06,-0.04772668555694133,0.12334398377051864,0.3994001499625094
online_vs_noon,mean,noon_consensus,online_global_w250_eta5,1.8915237412322903,1.8981695682634832,0.006645827031192875,-0.04454656595724398,0.07570048344690046,0.39165208697825543
fresh_vs_stale,minimum,matched_stale20,online_global_w250_eta5,1.6765667084835527,1.7138695154353647,0.037302806951811984,-0.08211510607612496,0.15611926325683778,0.19270182454386403
fresh_vs_stale,mean,matched_stale20,online_global_w250_eta5,1.8708713360619202,1.8981695682634832,0.02729823220156291,-0.06235596140605004,0.14533712153336112,0.2361909522619345
