rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,period,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap
0.18,277,1.0954802259887007,20,0,0.5487364620938628,0.3379032258064516,1.6239456157431742,0.6762228959967906,73.62643976002775,1.6239456157431742,1.6239456157431742,1,1,0.9887005649717514,1.1666666666666667,1.545492314083922,0.7830882352941176,1.6239456157431742,1.0954802259887007,1.0954802259887007,0.7795454545454547,1.75,4,screen_2024,rolling,0.18,20,0,0,0.0,0.0,0,0
0.18,267,1.052957746478873,20,0,0.40823970037453183,0.22186234817813766,1.8400585035129444,0.7406176656007657,56.17331358830927,1.8400585035129444,1.8400585035129444,1,1,1.0056338028169014,1.123943661971831,1.6802721088435373,0.767175572519084,1.8400585035129444,1.052957746478873,1.052957746478873,0.9153846153846154,1.353846153846154,4,retrospective_2025,rolling,0.18,20,0,0,0.0,0.0,0,0
0.18,187,1.1635555555555555,20,0,0.6363636363636364,0.3401273885350318,1.8709567585972082,0.7497867048428846,122.2070893892408,1.8709567585972082,1.8709567585972082,1,1,1.1199999999999999,1.2133333333333332,1.3399715504978664,0.8131868131868132,1.8709567585972082,1.1635555555555555,1.1635555555555555,0.9022222222222221,1.3636363636363635,3,retrospective_2026,rolling,0.18,20,0,0,0.0,0.0,0,0
0.18,215,0.8502824858757062,40,0,0.5162790697674419,0.3379032258064516,1.527890325803408,0.6762228959967906,55.0602590174745,1.527890325803408,1.527890325803408,1,1,0.7711864406779662,0.9293785310734464,1.3986157395539607,0.719047619047619,1.527890325803408,0.8502824858757062,0.8502824858757062,0.503370786516854,1.7659090909090909,4,screen_2024,rolling,0.18,40,0,0,0.0,0.0,0,0
0.18,267,1.052957746478873,40,0,0.45318352059925093,0.22186234817813766,2.042633751606113,0.7406176656007657,53.93776341788312,2.042633751606113,2.042633751606113,1,1,1.0253521126760563,1.084507042253521,1.6777358490566037,0.7824427480916031,2.042633751606113,1.052957746478873,1.052957746478873,0.6615384615384615,1.6153846153846154,4,retrospective_2025,rolling,0.18,40,0,0,0.0,0.0,0,0
0.18,192,1.1946666666666665,40,0,0.6770833333333334,0.3401273885350318,1.9906757178526844,0.7497867048428846,130.49635690187586,1.9906757178526844,1.9906757178526844,1,1,1.0266666666666666,1.3066666666666666,1.5023923444976077,0.8181818181818182,1.9906757178526844,1.1946666666666665,1.1946666666666665,0.7933333333333332,1.725,3,retrospective_2026,rolling,0.18,40,0,0,0.0,0.0,0,0
0.18,194,0.7672316384180791,60,0,0.5412371134020618,0.3379032258064516,1.6017518391850996,0.6762228959967906,58.29715797115493,1.6017518391850996,1.6017518391850996,1,1,0.711864406779661,0.8107344632768362,1.5304143402879813,0.7724867724867724,1.6017518391850996,0.7672316384180791,0.7672316384180791,0.4404494382022472,1.7340909090909091,4,screen_2024,rolling,0.18,60,0,0,0.0,0.0,0,0
0.18,252,0.9938028169014084,60,0,0.44841269841269843,0.22186234817813766,2.0211302282470167,0.7406176656007657,56.26215957458591,2.0211302282470167,2.0211302282470167,1,1,0.9267605633802817,1.0253521126760563,1.5498039215686275,0.7449392712550608,2.0211302282470167,0.9938028169014084,0.9938028169014084,0.6307692307692307,1.6615384615384616,4,retrospective_2025,rolling,0.18,60,0,0,0.0,0.0,0,0
0.18,197,1.2257777777777776,60,0,0.6751269035532995,0.3401273885350318,1.9849236677503377,0.7497867048428846,131.57265314464192,1.9849236677503377,1.9849236677503377,1,1,1.182222222222222,1.3377777777777777,1.6950067476383268,0.8333333333333334,1.9849236677503377,1.2257777777777776,1.2257777777777776,0.5288888888888889,2.05,3,retrospective_2026,rolling,0.18,60,0,0,0.0,0.0,0,0
0.2,295,1.1666666666666667,20,0,0.535593220338983,0.3379032258064516,1.585049148497229,0.6762228959967906,67.36355298165654,1.585049148497229,1.585049148497229,1,1,1.0480225988700564,1.225988700564972,1.5364686003942554,0.803448275862069,1.585049148497229,1.1666666666666667,1.1666666666666667,0.8272727272727273,1.8772727272727274,4,screen_2024,rolling,0.2,20,0,0,0.0,0.0,0,0
0.2,292,1.1515492957746478,20,0,0.4178082191780822,0.22186234817813766,1.8831866813318667,0.7406176656007657,53.87080792554704,1.8831866813318667,1.8831866813318667,1,1,1.123943661971831,1.2225352112676056,1.5935483870967742,0.794425087108014,1.8831866813318667,1.1515492957746478,1.1515492957746478,0.9871794871794872,1.4923076923076921,4,retrospective_2025,rolling,0.2,20,0,0,0.0,0.0,0,0
0.2,199,1.2382222222222221,20,0,0.628140703517588,0.3401273885350318,1.8467807200798,0.7497867048428846,118.99752826137973,1.8467807200798,1.8467807200798,1,1,1.2133333333333332,1.2755555555555553,1.341880341880342,0.845360824742268,1.8467807200798,1.2382222222222221,1.2382222222222221,0.9644444444444444,1.4545454545454546,3,retrospective_2026,rolling,0.2,20,0,0,0.0,0.0,0,0
0.2,235,0.9293785310734464,40,0,0.5106382978723404,0.3379032258064516,1.511196871984969,0.6762228959967906,55.821763086080686,1.511196871984969,1.511196871984969,1,1,0.8700564971751413,0.9689265536723164,1.3415293828374724,0.7304347826086957,1.511196871984969,0.9293785310734464,0.9293785310734464,0.525,1.9090909090909092,4,screen_2024,rolling,0.2,40,0,0,0.0,0.0,0,0
0.2,285,1.123943661971831,40,0,0.45614035087719296,0.22186234817813766,2.0559610705596105,0.7406176656007657,53.26978193253119,2.0559610705596105,2.0559610705596105,1,1,1.064788732394366,1.1830985915492958,1.73943661971831,0.7964285714285714,2.0559610705596105,1.123943661971831,1.123943661971831,0.7384615384615384,1.6615384615384616,4,retrospective_2025,rolling,0.2,40,0,0,0.0,0.0,0,0
0.2,208,1.2942222222222222,40,0,0.6490384615384616,0.3401273885350318,1.908221694036301,0.7497867048428846,124.99293016383753,1.908221694036301,1.908221694036301,1,1,1.182222222222222,1.4,1.4496768236380424,0.8522167487684729,1.908221694036301,1.2942222222222222,1.2942222222222222,0.8555555555555555,1.85,3,retrospective_2026,rolling,0.2,40,0,0,0.0,0.0,0,0
0.2,213,0.8423728813559322,60,0,0.5352112676056338,0.3379032258064516,1.5839187871861238,0.6762228959967906,56.95964853609054,1.5839187871861238,1.5839187871861238,1,1,0.7909604519774012,0.9293785310734464,1.493975903614458,0.7980769230769231,1.5839187871861238,0.8423728813559322,0.8423728813559322,0.4931818181818182,1.8295454545454546,4,screen_2024,rolling,0.2,60,0,0,0.0,0.0,0,0
0.2,273,1.0766197183098591,60,0,0.4358974358974359,0.22186234817813766,1.964720194647202,0.7406176656007657,50.15902695335038,1.964720194647202,1.964720194647202,1,1,1.0056338028169014,1.123943661971831,1.6167272727272728,0.7723880597014925,1.964720194647202,1.0766197183098591,1.0766197183098591,0.7076923076923076,1.723076923076923,4,retrospective_2025,rolling,0.2,60,0,0,0.0,0.0,0,0
0.2,219,1.3626666666666665,60,0,0.6438356164383562,0.3401273885350318,1.8929249397157664,0.7497867048428846,125.76460804792674,1.8929249397157664,1.8929249397157664,1,1,1.2755555555555553,1.4,1.6654426764585883,0.8644859813084113,1.8929249397157664,1.3626666666666665,1.3626666666666665,0.6066666666666666,2.375,3,retrospective_2026,rolling,0.2,60,0,0,0.0,0.0,0,0
0.22,315,1.2457627118644068,20,0,0.5492063492063493,0.3379032258064516,1.6253362124483846,0.6762228959967906,69.07768827646522,1.6253362124483846,1.6253362124483846,1,1,1.1271186440677967,1.305084745762712,1.539247900693684,0.8258064516129032,1.6253362124483846,1.2457627118644068,1.2457627118644068,0.9068181818181819,1.940909090909091,4,screen_2024,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,331,1.3053521126760563,20,0,0.4078549848942598,0.22186234817813766,1.8383244757095287,0.7406176656007657,41.709708520480184,1.8383244757095287,1.8383244757095287,1,1,1.2225352112676056,1.3408450704225352,1.6958208955223881,0.8496932515337423,1.8383244757095287,1.3053521126760563,1.3053521126760563,1.1384615384615384,1.6,4,retrospective_2025,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,213,1.3253333333333333,20,0,0.6291079812206573,0.3401273885350318,1.8496245889820824,0.7497867048428846,117.24327829018004,1.8496245889820824,1.8496245889820824,1,1,1.2755555555555553,1.4,1.410783055198973,0.8605769230769231,1.8496245889820824,1.3253333333333333,1.3253333333333333,1.011111111111111,1.5636363636363635,3,retrospective_2026,rolling,0.22,20,0,0,0.0,0.0,0,0
0.22,262,1.0361581920903955,40,0,0.4961832061068702,0.3379032258064516,1.468418080125344,0.6762228959967906,50.958399581177744,1.468418080125344,1.468418080125344,1,1,0.9887005649717514,1.0677966101694916,1.3279785809906293,0.7470817120622568,1.468418080125344,1.0361581920903955,1.0361581920903955,0.5886363636363636,2.0045454545454544,4,screen_2024,rolling,0.22,40,0,0,0.0,0.0,0,0
0.22,297,1.1712676056338027,40,0,0.4444444444444444,0.22186234817813766,2.003244120032441,0.7406176656007657,51.60840911873658,2.003244120032441,2.003244120032441,1,1,1.143661971830986,1.2028169014084507,1.700655737704918,0.8047945205479452,2.003244120032441,1.1712676056338027,1.1712676056338027,0.7538461538461539,1.723076923076923,4,retrospective_2025,rolling,0.22,40,0,0,0.0,0.0,0,0
0.22,223,1.3875555555555554,40,0,0.6457399103139013,0.3401273885350318,1.8985237063536051,0.7497867048428846,123.7848725156035,1.8985237063536051,1.8985237063536051,1,1,1.3066666666666666,1.462222222222222,1.4732762137902897,0.8761467889908257,1.8985237063536051,1.3875555555555554,1.3875555555555554,0.9333333333333333,2.0,3,retrospective_2026,rolling,0.22,40,0,0,0.0,0.0,0,0
0.22,229,0.9056497175141243,60,0,0.537117903930131,0.3379032258064516,1.5895613385999106,0.6762228959967906,56.59802428203377,1.5895613385999106,1.5895613385999106,1,1,0.8502824858757062,0.9491525423728814,1.4990328820116052,0.7857142857142857,1.5895613385999106,0.9056497175141243,0.9056497175141243,0.5409090909090909,1.8613636363636363,4,screen_2024,rolling,0.22,60,0,0,0.0,0.0,0,0
