rate,rolling,corridor_lift_min,corridor_lift_min,corridor_lift_min,frequency,frequency,frequency,lift,lift,lift,quarter_frequency_min,quarter_frequency_min,quarter_frequency_min,passes_both_years
,,retrospective_2025,retrospective_2026,screen_2024,retrospective_2025,retrospective_2026,screen_2024,retrospective_2025,retrospective_2026,screen_2024,retrospective_2025,retrospective_2026,screen_2024,
0.18,20,1.6802721088435373,1.3399715504978664,1.545492314083922,1.052957746478873,1.1635555555555555,1.0954802259887007,1.8400585035129444,1.8709567585972082,1.6239456157431742,0.9153846153846154,0.9022222222222221,0.7795454545454547,True
0.18,40,1.6777358490566037,1.5023923444976077,1.3986157395539607,1.052957746478873,1.1946666666666665,0.8502824858757062,2.042633751606113,1.9906757178526844,1.527890325803408,0.6615384615384615,0.7933333333333332,0.503370786516854,True
0.18,60,1.5498039215686275,1.6950067476383268,1.5304143402879813,0.9938028169014084,1.2257777777777776,0.7672316384180791,2.0211302282470167,1.9849236677503377,1.6017518391850996,0.6307692307692307,0.5288888888888889,0.4404494382022472,False
0.2,20,1.5935483870967742,1.341880341880342,1.5364686003942554,1.1515492957746478,1.2382222222222221,1.1666666666666667,1.8831866813318667,1.8467807200798,1.585049148497229,0.9871794871794872,0.9644444444444444,0.8272727272727273,True
0.2,40,1.73943661971831,1.4496768236380424,1.3415293828374724,1.123943661971831,1.2942222222222222,0.9293785310734464,2.0559610705596105,1.908221694036301,1.511196871984969,0.7384615384615384,0.8555555555555555,0.525,True
0.2,60,1.6167272727272728,1.6654426764585883,1.493975903614458,1.0766197183098591,1.3626666666666665,0.8423728813559322,1.964720194647202,1.8929249397157664,1.5839187871861238,0.7076923076923076,0.6066666666666666,0.4931818181818182,True
0.22,20,1.6958208955223881,1.410783055198973,1.539247900693684,1.3053521126760563,1.3253333333333333,1.2457627118644068,1.8383244757095287,1.8496245889820824,1.6253362124483846,1.1384615384615384,1.011111111111111,0.9068181818181819,True
0.22,40,1.700655737704918,1.4732762137902897,1.3279785809906293,1.1712676056338027,1.3875555555555554,1.0361581920903955,2.003244120032441,1.8985237063536051,1.468418080125344,0.7538461538461539,0.9333333333333333,0.5886363636363636,True
0.22,60,1.8325806451612905,1.6765827612509536,1.4990328820116052,1.155492957746479,1.431111111111111,0.9056497175141243,2.0613587105453277,1.853525484448787,1.5895613385999106,0.7692307692307693,0.6222222222222222,0.5409090909090909,True
0.25,20,1.624109589041096,1.437070938215103,1.5150178177498728,1.396056338028169,1.4559999999999997,1.344632768361582,1.8207451853684686,1.8344057108102052,1.6189807665309564,1.2307692307692308,1.1199999999999999,0.9227272727272727,True
0.25,40,1.6882767191383596,1.6202270381836947,1.2735532293106853,1.3447887323943661,1.5368888888888887,1.1666666666666667,1.929811417685211,1.8925988263658282,1.4446017555924113,0.9384615384615385,0.9955555555555555,0.6681818181818182,True
0.25,60,1.7642857142857145,1.7077192982456142,1.425287356321839,1.2935211267605633,1.549333333333333,1.0757062146892655,2.033781377959765,1.8183595806446762,1.57763582760073,0.9538461538461539,0.6688888888888889,0.6045454545454545,True
0.3,20,1.6750130412102242,1.4031777557100298,1.529950248756219,1.5656338028169015,1.7173333333333332,1.4909604519774013,1.8165437864274026,1.693738804754926,1.57783784810367,1.4461538461538461,1.4155555555555555,1.0181818181818183,True
0.3,40,1.6765654165959614,1.5812215724496428,1.3279785809906293,1.5419718309859156,1.6924444444444442,1.384180790960452,1.821363899415685,1.7835013218770654,1.4458915785884758,1.1384615384615384,1.0577777777777777,0.7954545454545455,True
0.3,60,1.71,1.6333543505674655,1.3824851645387521,1.4946478873239435,1.7733333333333332,1.344632768361582,1.902817633803902,1.6815165253958868,1.5319387898357435,1.1384615384615384,0.8244444444444444,0.7318181818181818,True
