subset,n,share_of_valid,target_rate,lift,benefit_bps
logit,567,0.2806930693069307,0.4479717813051146,1.6726487952612412,64.8449912941891
extra,536,0.26534653465346536,0.47574626865671643,1.776353905150771,59.18899219185559
ensemble,544,0.2693069306930693,0.4944852941176471,1.8463221702729151,71.28443344868988
intersection,333,0.16485148514851486,0.5345345345345346,1.9958590753415153,95.46256396193237
union,770,0.3811881188118812,0.42987012987012985,1.6050603740067695,47.66672218093031
logit_only,234,0.11584158415841585,0.3247863247863248,1.2126957043777746,21.273830190092905
extra_only,203,0.1004950495049505,0.3793103448275862,1.4162789215373828,-0.31396051472356795
neither,1250,0.6188118811881188,0.168,0.6272828096118299,-40.87369804604857
