currency,year,rows,cny_available,local_available,local_quality_mean,cny_age_median
AMD,2022,247,0.9959514170040485,0.5384615384615384,0.35597821595912643,20.016666666666666
AMD,2023,247,1.0,1.0,0.7326549153516878,20.016666666666666
AMD,2024,248,1.0,1.0,0.7336306399416107,20.016666666666666
AMD,2025,247,1.0,1.0,0.6889432197827215,20.016666666666666
AMD,2026,162,1.0,1.0,0.696894141762317,20.016666666666666
KGS,2022,247,0.9959514170040485,0.012145748987854255,6.021312371022632e-05,20.016666666666666
KGS,2023,247,1.0,0.7854251012145749,0.21557656294960803,20.016666666666666
KGS,2024,248,1.0,0.9838709677419355,0.1321848441395523,20.016666666666666
KGS,2025,247,1.0,0.8825910931174089,0.06395218848696486,20.016666666666666
KGS,2026,162,1.0,0.9135802469135803,0.06414987480640062,20.016666666666666
KZT,2022,247,0.9959514170040485,0.979757085020243,0.6834616910147959,20.016666666666666
KZT,2023,247,1.0,1.0,0.8440743959493102,20.016666666666666
KZT,2024,248,1.0,1.0,0.8326615966133573,20.016666666666666
KZT,2025,247,1.0,1.0,0.6952281908824874,20.016666666666666
KZT,2026,162,1.0,1.0,0.6008798982970617,20.016666666666666
TJS,2022,247,0.9959514170040485,0.004048582995951455,1.3845074008320243e-05,20.016666666666666
TJS,2023,247,1.0,0.0080971659919028,5.625292950001214e-06,20.016666666666666
TJS,2024,248,1.0,0.08064516129032262,8.841256202035402e-05,20.016666666666666
TJS,2025,247,1.0,0.0,0.0,20.016666666666666
TJS,2026,162,1.0,0.0,0.0,20.016666666666666
UZS,2022,247,0.9959514170040485,0.07692307692307687,0.0003448381411640676,20.016666666666666
UZS,2023,247,1.0,0.9109311740890689,0.08116513704770567,20.016666666666666
UZS,2024,248,1.0,0.75,0.03417077168334985,20.016666666666666
UZS,2025,247,1.0,0.5101214574898785,0.010111697737288898,20.016666666666666
UZS,2026,162,1.0,0.41975308641975306,0.009715384504548757,20.016666666666666
