candidate,subset,n,target_rate,lift,benefit_bps
primary75_all_gam25,control,544,0.4944852941176471,1.8463221702729151,71.28443344868988
primary75_all_gam25,challenger,517,0.5067698259187621,1.892190477552494,80.3871224235884
primary75_all_gam25,intersection,493,0.5091277890466531,1.9009947021704976,80.04094511369273
primary75_all_gam25,control_only,51,0.35294117647058826,1.3178210285962815,-13.361845979670885
primary75_all_gam25,challenger_only,24,0.4583333333333333,1.7113370301910042,87.49818133102879
primary75_all_gam25,neither,1452,0.1797520661157025,0.6711629825392218,-38.06297150569997
primary75_local_gam25,control,544,0.4944852941176471,1.8463221702729151,71.28443344868988
primary75_local_gam25,challenger,510,0.503921568627451,1.881555579718024,81.82028009994306
primary75_local_gam25,intersection,483,0.5134575569358178,1.917161303161464,83.59640452487011
primary75_local_gam25,control_only,61,0.3442622950819672,1.2854155934668645,-26.202157203687936
primary75_local_gam25,challenger_only,27,0.3333333333333333,1.2446087492298212,50.04738760958162
primary75_local_gam25,neither,1449,0.18150448585231194,0.6777062133487433,-37.625091607860845
