rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,passed_2025,robustness
0.12,217,1.350222222222222,40,0,0.4976958525345622,0.3401273885350318,1.4632630870398178,0.5845154946278541,74.24270338739045,1.4632630870398178,1.4632630870398178,1,1,1.151111111111111,1.4933333333333332,1.3209134615384617,0.8726415094339622,1.4632630870398178,1.350222222222222,1.350222222222222,0.7466666666666666,2.85,3,quarterly_crossfit_hist_q1_anchor50,False,1.3209134615384617
0.3,368,2.2897777777777772,20,0,0.45108695652173914,0.3401273885350318,1.3262294414590459,0.5862073951961593,61.29466820218422,1.3262294414590459,1.3262294414590459,1,1,2.0533333333333332,2.4888888888888885,1.2647222222222223,0.9641873278236914,1.3262294414590459,2.2897777777777772,2.2897777777777772,1.5818181818181818,4.4,3,quarterly_crossfit_extra_q1_anchor50,False,1.2647222222222223
0.35,381,2.3706666666666667,20,0,0.44881889763779526,0.3401273885350318,1.3195611784481995,0.5826645264847512,58.7613511700249,1.3195611784481995,1.3195611784481995,1,1,2.1777777777777776,2.6133333333333333,1.2641558441558443,0.9521276595744681,1.3195611784481995,2.3706666666666667,2.3706666666666667,1.6545454545454545,4.575,3,quarterly_crossfit_extra_q1_anchor25,False,1.2641558441558443
0.3,206,1.2817777777777777,250,0,0.470873786407767,0.3401273885350318,1.3844042034835098,0.5779250357902044,74.51882410331886,1.3844042034835098,1.3844042034835098,1,1,0.9955555555555554,1.4933333333333332,1.252659574468085,0.9353233830845771,1.3844042034835098,1.2817777777777777,1.2817777777777777,0.13999999999999999,4.325,3,quarterly_crossfit_extra_q1,False,1.252659574468085
0.18,213,1.3253333333333333,40,0,0.4694835680751174,0.3401273885350318,1.3803168574493152,0.5716129452084509,63.04570714107096,1.3803168574493152,1.3803168574493152,1,1,1.2133333333333332,1.462222222222222,1.2253658536585368,0.8221153846153846,1.3803168574493152,1.3253333333333333,1.3253333333333333,0.8088888888888889,2.55,3,quarterly_crossfit_hist_q1_anchor25,False,1.2253658536585368
0.35,386,2.401777777777778,20,0,0.41968911917098445,0.3401273885350318,1.2339174477498982,0.5543938802365769,46.10708103399911,1.2339174477498982,1.2339174477498982,1,1,2.1777777777777776,2.4888888888888885,1.161242603550296,0.9501312335958005,1.2339174477498982,2.401777777777778,2.401777777777778,1.5272727272727273,4.85,3,quarterly_crossfit_extra_q2,False,1.161242603550296
0.22,290,1.8044444444444443,20,0,0.4482758620689655,0.3401273885350318,1.3179646131990186,0.5850613856231834,54.022472199621866,1.3179646131990186,1.3179646131990186,1,1,1.6488888888888886,2.0844444444444443,1.1433300231711354,0.8912280701754386,1.3179646131990186,1.8044444444444443,1.8044444444444443,1.2909090909090908,3.3,3,quarterly_crossfit_tree_anchor25,False,1.1433300231711354
0.25,145,0.9022222222222221,60,3,0.4896551724137931,0.3401273885350318,1.4396228851866202,0.5777117406330889,77.66126169912057,1.4396228851866202,1.4396228851866202,1,1,0.84,0.9333333333333332,1.0466666666666666,0.9285714285714286,1.4396228851866202,0.9022222222222221,0.9022222222222221,0.2955555555555555,1.95,3,anchor_multiscale_locked,False,1.0466666666666666
0.3,312,1.9413333333333331,20,0,0.41346153846153844,0.3401273885350318,1.2156078939786805,0.5745050829320493,44.24079705241813,1.2156078939786805,1.2156078939786805,1,1,1.8355555555555554,2.0844444444444443,0.9803746654772525,0.9055374592833876,1.2156078939786805,1.9413333333333331,1.9413333333333331,1.3272727272727272,3.55,3,quarterly_crossfit_tree_consensus,False,0.9803746654772525
0.3,277,1.7235555555555553,20,0,0.36823104693140796,0.3401273885350318,1.082626860828297,0.5439171113328416,28.736494198199136,1.082626860828297,1.082626860828297,1,1,1.6488888888888886,1.8666666666666665,0.9560897435897436,0.8970588235294118,1.082626860828297,1.7235555555555553,1.7235555555555553,1.4727272727272727,2.4,3,quarterly_crossfit_hist_q2,False,0.9560897435897436
0.35,148,0.9208888888888889,40,3,0.3783783783783784,0.3401273885350318,1.1124607753821238,0.5607312770234119,35.41578602252596,1.1124607753821238,1.1124607753821238,1,1,0.8711111111111111,0.9644444444444443,0.8971428571428571,0.7202797202797203,1.1124607753821238,0.9208888888888889,0.9208888888888889,0.84,1.15,3,quarterly_crossfit_hist_q1,False,0.8971428571428571
