rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,rate,rolling,cooldown,robustness
0.25,261,1.0322033898305085,60,3,0.38697318007662834,0.3379032258064516,1.1452189577446759,0.5386788915084055,24.422626861918275,1.1452189577446759,1.1452189577446759,1,1,0.9689265536723164,1.0875706214689267,1.0767978290366351,0.890625,1.1452189577446759,1.0322033898305085,1.0322033898305085,0.4931818181818182,1.4477272727272728,4,anchor_multiscale_locked,0.25,60,3,1.0767978290366351
0.12,250,0.9887005649717514,40,0,0.388,0.3379032258064516,1.148257756563246,0.5943185881354306,30.11915039394847,1.148257756563246,1.148257756563246,1,1,0.8898305084745763,1.0875706214689267,1.024793388429752,0.8857142857142857,1.148257756563246,0.9887005649717514,0.9887005649717514,0.35,2.3863636363636362,4,quarterly_crossfit_hist_q1_anchor50,0.12,40,0,1.024793388429752
0.35,230,0.9096045197740114,40,3,0.3869565217391304,0.3379032258064516,1.1451696586074505,0.5729348050430378,15.890398063786629,1.1451696586074505,1.1451696586074505,1,1,0.7909604519774012,0.9887005649717514,0.9981060606060607,0.7644444444444445,1.1451696586074505,0.9096045197740114,0.9096045197740114,0.525,1.4795454545454547,4,quarterly_crossfit_hist_q1,0.35,40,3,0.9981060606060607
0.35,443,1.7519774011299434,20,0,0.3476297968397291,0.3379032258064516,1.0287850789528976,0.5709478806624437,28.85535186470267,1.0287850789528976,1.0287850789528976,1,1,1.6610169491525424,1.9180790960451979,0.9878163074039361,0.9246575342465754,1.0287850789528976,1.7519774011299434,1.7519774011299434,0.7,2.259090909090909,4,quarterly_crossfit_extra_q2,0.35,20,0,0.9878163074039361
0.18,263,1.0401129943502825,40,0,0.3612167300380228,0.3379032258064516,1.0689946187282775,0.5874711845092574,17.17377524874977,1.0689946187282775,1.0689946187282775,1,1,0.8898305084745763,1.1073446327683616,0.9561688311688311,0.8992248062015504,1.0689946187282775,1.0401129943502825,1.0401129943502825,0.315,2.3863636363636362,4,quarterly_crossfit_hist_q1_anchor25,0.18,40,0,0.9561688311688311
0.35,422,1.6689265536723166,20,0,0.36018957345971564,0.3379032258064516,1.0659548236039318,0.5691746196936618,26.9128557091941,1.0659548236039318,1.0659548236039318,1,1,1.5819209039548023,1.7005649717514124,0.9337349397590362,0.894484412470024,1.0659548236039318,1.6689265536723166,1.6689265536723166,1.0675,2.481818181818182,4,quarterly_crossfit_extra_q1_anchor25,0.35,20,0,0.9337349397590362
0.3,236,0.9333333333333335,250,0,0.3644067796610169,0.3379032258064516,1.0784353383762793,0.5611745964377804,41.62164445838979,1.0784353383762793,1.0784353383762793,1,1,0.711864406779661,1.1666666666666667,0.927536231884058,0.7878787878787878,1.0784353383762793,0.9333333333333335,0.9333333333333335,0.3659090909090909,1.8454545454545455,4,quarterly_crossfit_extra_q1,0.3,250,0,0.927536231884058
0.22,293,1.1587570621468928,20,0,0.3515358361774744,0.3379032258064516,1.0403447180431225,0.5873229282643263,21.916523684278474,1.0403447180431225,1.0403447180431225,1,1,1.1073446327683616,1.1864406779661016,0.8924242424242423,0.8472222222222222,1.0403447180431225,1.1587570621468928,1.1587570621468928,0.3675,1.9886363636363638,4,quarterly_crossfit_tree_anchor25,0.22,20,0,0.8924242424242423
0.3,390,1.5423728813559323,20,0,0.31025641025641026,0.3379032258064516,0.9181812618566796,0.5427951825441353,4.2254041642037805,0.9181812618566796,0.9181812618566796,0,1,1.4830508474576272,1.6610169491525424,0.8642424242424241,0.8727272727272727,0.9181812618566796,1.5423728813559323,1.5423728813559323,0.8575,2.3068181818181817,4,quarterly_crossfit_hist_q2,0.3,20,0,0.8642424242424241
0.3,409,1.6175141242937854,20,0,0.36185819070904646,0.3379032258064516,1.070892974890734,0.5664594955217893,25.290800029716337,1.070892974890734,1.070892974890734,1,1,1.463276836158192,1.7401129943502827,0.8320878450510905,0.8836633663366337,1.070892974890734,1.6175141242937854,1.6175141242937854,1.0853932584269663,2.434090909090909,4,quarterly_crossfit_extra_q1_anchor50,0.3,20,0,0.8320878450510905
0.3,384,1.5186440677966102,20,0,0.3177083333333333,0.3379032258064516,0.9402346857597454,0.5723999197672086,10.185304369822482,0.9402346857597454,0.9402346857597454,0,1,1.463276836158192,1.5621468926553672,0.8256182625237795,0.8786279683377308,0.9402346857597454,1.5186440677966102,1.5186440677966102,0.315,2.418181818181818,4,quarterly_crossfit_tree_consensus,0.3,20,0,0.8256182625237795
