rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,passed_2025
0.25,306,0.7224283305227657,60,3,0.38235294117647056,0.26782178217821784,1.4276394476459713,0.5619998525256237,34.43168870708155,1.2877997914494264,1.3637113383180233,2,2,0.672849915682968,0.7672849915682969,1.0787031150667514,0.8704318936877077,1.3637113383180233,0.6349295774647887,0.9022222222222221,0.0,1.95,7,anchor_multiscale_locked,False
0.3,699,1.6502529510961217,250,0,0.3061516452074392,0.26782178217821784,1.1431170486488487,0.5505287206347897,-0.7304381242471002,1.0696835995913594,1.2270439015374346,2,2,1.5935919055649241,1.7470489038785837,0.9778040141676506,0.9351585014409222,1.2270439015374346,1.2817777777777777,1.944225352112676,0.0,4.325,7,quarterly_crossfit_extra_q1,False
0.12,455,1.0741989881956155,40,0,0.34285714285714286,0.26782178217821784,1.2801689992078162,0.5705727379867748,17.53465243142502,0.9090351469054775,1.1861491169726477,1,2,0.9443507588532885,1.2276559865092749,1.1799065420560748,0.8622222222222222,1.1861491169726477,0.9385915492957747,1.350222222222222,0.1846153846153846,2.85,7,quarterly_crossfit_hist_q1_anchor50,False
0.35,883,2.084654300168634,20,0,0.32389580973952437,0.26782178217821784,1.2093706759220688,0.5582586275634609,14.55520112448437,1.0325486375665223,1.176054908007361,2,2,1.9949409780775718,2.231028667790894,1.0181665441562533,0.929384965831435,1.176054908007361,1.979718309859155,2.3706666666666667,1.2,4.575,7,quarterly_crossfit_extra_q1_anchor25,False
0.3,772,1.8225969645868467,20,0,0.3290155440414508,0.26782178217821784,1.2284868742397976,0.5728029754830098,21.461870588593968,0.9817879598178796,1.1540087006384627,1,2,1.7234401349072515,1.9123102866779091,1.055320136994253,0.9204693611473272,1.1540087006384627,1.5932394366197182,2.2897777777777772,0.7897435897435898,4.4,7,quarterly_crossfit_extra_q1_anchor50,False
0.18,535,1.2630691399662732,40,0,0.30467289719626167,0.26782178217821784,1.1375956605109954,0.5475954802853005,-0.2965248923037945,0.8818629006664551,1.1310898790578852,1,2,1.1568296795952784,1.33389544688027,0.8740048459674628,0.8603773584905661,1.1310898790578852,1.2698591549295775,1.3253333333333333,0.3230769230769231,2.9076923076923076,7,quarterly_crossfit_hist_q1_anchor25,False
0.3,765,1.806070826306914,20,0,0.2980392156862745,0.26782178217821784,1.112826646370193,0.5366305104488095,-0.32259904886485663,0.9850389133272103,1.1003234036529455,1,2,1.676222596964587,2.006745362563238,0.9061682242990653,0.8921052631578947,1.1003234036529455,1.7864788732394365,1.9413333333333331,1.0615384615384615,3.55,7,quarterly_crossfit_tree_consensus,False
0.22,624,1.47318718381113,20,0,0.3060897435897436,0.26782178217821784,1.1428859187639224,0.5542730700540781,3.5036303134207274,0.8231893876480615,1.07057700042354,1,2,1.3575042158516022,1.558178752107926,0.9294033069734005,0.8626817447495961,1.07057700042354,1.3171830985915491,1.8044444444444443,0.676923076923077,3.3,7,quarterly_crossfit_tree_anchor25,False
0.35,942,2.2239460370994943,20,0,0.2898089171974522,0.26782178217821784,1.0820961418463095,0.5056646407686665,-1.2232335701021853,0.8998385233419104,1.0668779855459043,1,2,2.0775716694772344,2.337268128161889,1.039451114922813,0.9295624332977588,1.0668779855459043,2.192676056338028,2.401777777777778,1.5113636363636365,4.85,7,quarterly_crossfit_extra_q2,False
0.35,409,0.9655986509274874,40,3,0.2787286063569682,0.26782178217821784,1.0407241863975523,0.5324324898548878,-3.09088218217906,1.0016220600162205,1.057041417699172,2,2,0.9089376053962901,1.026981450252951,0.9552015928322549,0.7995049504950495,1.057041417699172,0.9208888888888889,1.0292957746478875,0.525,1.723076923076923,7,quarterly_crossfit_hist_q1,False
0.3,733,1.730522765598651,20,0,0.25375170532060026,0.26782178217821784,0.9474647777220194,0.4891306385515517,-19.84997971038758,0.8302919708029196,0.9564594158156083,1,2,1.6526138279932547,1.806070826306914,0.8967813540510543,0.8695054945054945,0.9564594158156083,1.7235555555555553,1.7983098591549296,1.1772727272727272,2.707692307692308,7,quarterly_crossfit_hist_q2,False
