rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,rate,rolling,cooldown
0.12,228,0.9016949152542374,0,0,0.5,0.3379032258064516,1.4797136038186158,0.5729348050430378,63.48776568098235,1.4797136038186158,1.4797136038186158,1,1,0.731638418079096,1.0282485875706215,1.3037037037037036,0.9103139013452914,1.4797136038186158,0.9016949152542374,0.9016949152542374,0.105,2.815909090909091,4,quarterly_crossfit_hist_q1,0.12,0,0
0.12,258,1.0203389830508476,20,0,0.35658914728682173,0.3379032258064516,1.0552996244287802,0.5729348050430378,13.236903136719103,1.0552996244287802,1.0552996244287802,1,1,0.9491525423728814,1.1468926553672316,0.8888888888888888,0.8221343873517787,1.0552996244287802,1.0203389830508476,1.0203389830508476,0.5075,1.638636363636364,4,quarterly_crossfit_hist_q1,0.12,20,0
0.12,193,0.7632768361581922,40,0,0.36787564766839376,0.3379032258064516,1.0887012007370125,0.5729348050430378,9.067263393741714,1.0887012007370125,1.0887012007370125,1,1,0.652542372881356,0.8107344632768362,0.9641148325358851,0.8031914893617021,1.0887012007370125,0.7632768361581922,0.7632768361581922,0.1575,1.638636363636364,4,quarterly_crossfit_hist_q1,0.12,40,0
0.12,192,0.7593220338983051,60,0,0.4166666666666667,0.3379032258064516,1.2330946698488465,0.5729348050430378,27.468338971167668,1.2330946698488465,1.2330946698488465,1,1,0.672316384180791,0.8305084745762712,0.9863636363636362,0.8663101604278075,1.2330946698488465,0.7593220338983051,0.7593220338983051,0.07,2.0522727272727272,4,quarterly_crossfit_hist_q1,0.12,60,0
0.12,208,0.8225988700564972,120,0,0.4519230769230769,0.3379032258064516,1.3374334496052873,0.5729348050430378,47.62282495785315,1.3374334496052873,1.3374334496052873,1,1,0.7909604519774012,0.8502824858757062,1.1141649048625792,0.9064039408866995,1.3374334496052873,0.8225988700564972,0.8225988700564972,0.0875,2.7045454545454546,4,quarterly_crossfit_hist_q1,0.12,120,0
0.12,181,0.7158192090395481,250,0,0.5138121546961326,0.3379032258064516,1.520589670222445,0.5729348050430378,66.51845862078353,1.520589670222445,1.520589670222445,1,1,0.5932203389830508,0.7909604519774012,1.3693693693693694,0.8522727272727273,1.520589670222445,0.7158192090395481,0.7158192090395481,0.105,2.259090909090909,4,quarterly_crossfit_hist_q1,0.12,250,0
0.12,125,0.4943502824858757,40,3,0.344,0.3379032258064516,1.0180429594272076,0.5729348050430378,-5.570209623765861,1.0180429594272076,1.0180429594272076,1,1,0.43502824858757067,0.5338983050847458,0.8484848484848485,0.6666666666666666,1.0180429594272076,0.4943502824858757,0.4943502824858757,0.1575,0.875,4,quarterly_crossfit_hist_q1,0.12,40,3
0.12,113,0.44689265536723166,60,3,0.40707964601769914,0.3379032258064516,1.204722580100112,0.5729348050430378,18.30790247076599,1.204722580100112,1.204722580100112,1,1,0.3559322033898305,0.4745762711864407,1.0568181818181817,0.7592592592592593,1.204722580100112,0.44689265536723166,0.44689265536723166,0.07,1.05,4,quarterly_crossfit_hist_q1,0.12,60,3
0.15,240,0.9491525423728814,0,0,0.49583333333333335,0.3379032258064516,1.4673826571201274,0.5729348050430378,61.89014006718594,1.4673826571201274,1.4673826571201274,1,1,0.731638418079096,1.0480225988700564,1.3333333333333333,0.9276595744680851,1.4673826571201274,0.9491525423728814,0.9491525423728814,0.105,2.990909090909091,4,quarterly_crossfit_hist_q1,0.15,0,0
0.15,278,1.0994350282485876,20,0,0.34532374100719426,0.3379032258064516,1.0219604745797635,0.5729348050430378,10.109099512972605,1.0219604745797635,1.0219604745797635,1,1,1.0480225988700564,1.225988700564972,0.9039451114922812,0.8388278388278388,1.0219604745797635,1.0994350282485876,1.0994350282485876,0.5425,1.7181818181818183,4,quarterly_crossfit_hist_q1,0.15,20,0
