policy,n,frequency,lift,forward_benefit_bps,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high,lift_diff_vs_anchor_ci_low,lift_diff_vs_anchor_ci_high,lift_diff_vs_anchor,finite_bootstrap_lift,finite_bootstrap_difference,period
anchor_multiscale_locked,161,0.6349295774647887,1.2877997914494264,-4.501777652208243,0.6584733494701323,1.677830765323748,0.16370907273181703,-64.7851613620934,29.448219382248055,0.0,0.0,0.0,4000,4000,2025
quarterly_crossfit_hist_q1,261,1.0292957746478875,1.0016220600162205,-24.926081010900678,0.7156327739978098,1.4412127000758421,0.47638090477380657,-71.71405317247536,21.14549642365629,-0.7382702213184164,0.34832731574874787,-0.2861777314332059,4000,4000,2025
quarterly_crossfit_tree_consensus,453,1.7864788732394365,0.9850389133272103,-31.015269211337905,0.8040135599766702,1.2778609779059824,0.47488127968008,-69.10254060709387,4.393786323388043,-0.733081808607967,0.3764588314054982,-0.3027608781222161,4000,4000,2025
quarterly_crossfit_extra_q2,556,2.192676056338028,0.8998385233419104,-34.08204910460417,0.7101266511746944,1.1234026843737162,0.8167958010497376,-75.36911845624012,3.999463299251338,-0.8201871886950096,0.22258061255235015,-0.38796126810751597,4000,4000,2025
quarterly_crossfit_extra_q1,493,1.944225352112676,1.0696835995913594,-32.17333471426452,0.7218327116718474,1.4148518403443668,0.34941264683829043,-86.11582041048122,24.725687870587304,-0.6024104354220888,0.2898680194583785,-0.21811619185806697,4000,4000,2025
anchor_multiscale_locked,145,0.9022222222222221,1.4396228851866202,77.66126169912057,1.1183448328274297,1.9813624777940837,0.0017495626093476631,8.986143605427088,126.29970390214162,0.0,0.0,0.0,4000,4000,2026
quarterly_crossfit_hist_q1,148,0.9208888888888889,1.1124607753821238,35.41578602252596,0.9309036258827678,1.327869119613866,0.10047488127968009,-22.375214853235168,93.9692663820449,-0.855732461529314,-0.0045626009064512795,-0.32716210980449634,4000,4000,2026
quarterly_crossfit_tree_consensus,312,1.9413333333333331,1.2156078939786805,44.24079705241813,0.8879953022875817,1.4867455808080807,0.14421394651337166,-18.77957716908115,96.05205798141301,-0.8860876249298043,0.10285834367571343,-0.22401499120793966,4000,4000,2026
quarterly_crossfit_extra_q2,386,2.401777777777778,1.2339174477498982,46.10708103399911,0.9054809571992558,1.5301882300445133,0.08972756810797301,-32.32774265588849,97.52219771220189,-0.8369365423260627,0.01573720122303249,-0.20570543743672198,4000,4000,2026
quarterly_crossfit_extra_q1,206,1.2817777777777777,1.3844042034835098,74.51882410331886,0.7066433970821174,1.9351533682540583,0.12746813296675832,-29.548994106868744,108.05428471114959,-1.036605384418193,0.2925325511101871,-0.055218681703110395,4000,4000,2026
anchor_multiscale_locked,306,0.7224283305227657,1.4276394476459713,34.43168870708155,1.1779161077106282,1.7145838528608448,0.0029992501874531365,-14.63872014823206,67.39429849279331,0.0,0.0,0.0,4000,4000,2025_2026
quarterly_crossfit_hist_q1,409,0.9655986509274874,1.0407241863975523,-3.09088218217906,0.8504799329038268,1.2971837271632307,0.30942264433891525,-40.86390309522793,37.64300149156374,-0.7056833479388467,-0.05140736130728387,-0.386915261248419,4000,4000,2025_2026
quarterly_crossfit_tree_consensus,765,1.806070826306914,1.112826646370193,-0.32259904886485663,0.8967499202499755,1.372788764785657,0.1704573856535866,-38.632851214681025,40.989971170630845,-0.6776147386050152,0.039623392674877154,-0.31481280127577826,4000,4000,2025_2026
quarterly_crossfit_extra_q2,942,2.2239460370994943,1.0820961418463095,-1.2232335701021853,0.8695207521628558,1.291484549213285,0.21944513871532118,-44.86066088059095,39.6473279078185,-0.7069995716422872,-0.048174659831182555,-0.34554330579966175,4000,4000,2025_2026
quarterly_crossfit_extra_q1,699,1.6502529510961217,1.1431170486488487,-0.7304381242471002,0.7802138782238998,1.4978178098685098,0.2036990752311922,-59.070775097244216,50.942361495211856,-0.7511492688576754,0.09804950724435366,-0.2845223989971226,4000,4000,2025_2026
