breakdown,group,n_scope,n_signals,frequency,base_rate,hit_rate,lift,forward_benefit_bps,chosen_rows_benefit_ranker_anchor25,signals_benefit_ranker_anchor25,chosen_rows_broad75_baseload25,signals_broad75_baseload25,chosen_rows_cbr_baseload,signals_cbr_baseload
overall,all,2020,492,1.161551433389545,0.26782178217821784,0.3780487804878049,1.4115684594923583,32.20891909286507,743,181,727,199,550,112
year,2025,1235,284,1.1199999999999999,0.22186234817813766,0.31338028169014087,1.4124987149172408,7.133901747174828,497,120,218,77,520,87
quarter,2025Q1,285,55,0.9871794871794872,0.15087719298245614,0.14545454545454545,0.9640591966173361,-77.58732234140055,84,42,52,12,149,1
quarter,2025Q2,295,11,0.17500000000000002,0.16610169491525423,0.36363636363636365,2.189239332096475,5.867792169334543,59,11,0,0,236,0
quarter,2025Q3,330,142,2.1846153846153844,0.34545454545454546,0.38028169014084506,1.100815418828762,26.92454089138182,100,10,95,46,135,86
quarter,2025Q4,325,76,1.169230769230769,0.20923076923076922,0.3026315789473684,1.4464009287925697,31.65131979652345,254,57,71,19,0,0
year,2026,785,208,1.2942222222222222,0.3401273885350318,0.46634615384615385,1.3710926246038606,66.44596200717288,246,61,509,122,30,25
quarter,2026Q1,270,73,1.3272727272727272,0.2851851851851852,0.3972602739726027,1.3929905710727626,63.17433175729143,150,41,120,32,0,0
quarter,2026Q2,310,18,0.27999999999999997,0.3032258064516129,0.1111111111111111,0.3664302600472813,-143.6409074154701,56,16,254,2,0,0
quarter,2026Q3,205,117,2.925,0.4682926829268293,0.5641025641025641,1.204594017094017,100.80829241613803,40,4,135,88,30,25
currency,TJS,404,97,1.1450252951096123,0.2995049504950495,0.4020618556701031,1.3424214024026584,54.439430243275176,98,26,165,43,141,28
currency,UZS,404,102,1.2040472175379429,0.2698019801980198,0.37254901960784315,1.380823889188703,27.872105458063828,96,32,177,49,131,21
currency,KGS,404,99,1.1686340640809445,0.24257425742574257,0.32323232323232326,1.3325087610801898,16.81337985769372,130,32,135,37,139,30
currency,AMD,404,98,1.1568296795952784,0.2623762376237624,0.3877551020408163,1.477859068155564,28.05132887421501,169,38,121,41,114,19
currency,KZT,404,96,1.1332209106239461,0.26485148514851486,0.40625,1.533878504672897,34.47556112275686,250,53,129,29,25,14
