n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,chosen_weeks_benefit_ranker_anchor25,chosen_weeks_broad75_baseload25,chosen_weeks_cbr_baseload,period,scope,window_signals,prior_strength
341,1.348587570621469,0.4574780058651026,0.3379032258064516,1.3538728574528096,59.48365744456315,1.262514848124894,1.225988700564972,1.423728813559322,0.7635746606334841,0.755056179775281,1.9727272727272729,1.3538728574528096,1.3538728574528096,1.348587570621469,1.348587570621469,134,97,24,screen_2024,hierarchical,20,20.0
284,1.1199999999999999,0.31338028169014087,0.22186234817813766,1.4124987149172408,7.133901747174828,1.1676363636363636,0.9464788732394366,1.3014084507042254,0.9640591966173361,0.17500000000000002,2.1846153846153844,1.4124987149172408,1.4124987149172408,1.1199999999999999,1.1199999999999999,106,44,110,retrospective_2025,hierarchical,20,20.0
208,1.2942222222222222,0.46634615384615385,0.3401273885350318,1.3710926246038606,66.44596200717288,1.1662857142857144,1.0888888888888888,1.5555555555555554,0.3664302600472813,0.27999999999999997,2.925,1.3710926246038606,1.3710926246038606,1.2942222222222222,1.2942222222222222,53,106,6,retrospective_2026,hierarchical,20,20.0
492,1.161551433389545,0.3780487804878049,0.26782178217821784,1.4115684594923583,32.20891909286507,1.3325087610801898,1.1332209106239461,1.2040472175379429,0.3664302600472813,0.17500000000000002,2.925,1.3917956697605507,1.3710926246038606,1.1199999999999999,1.2942222222222222,159,150,116,combined_2025_2026,hierarchical,20,20.0
