n,frequency,hit_rate,base_rate,lift,forward_benefit_bps,corridor_lift_min,corridor_freq_min,corridor_freq_max,quarter_lift_min,quarter_frequency_min,quarter_frequency_max,macro_year_lift,year_lift_min,year_frequency_min,year_frequency_max,chosen_weeks_benefit_ranker_anchor25,chosen_weeks_broad75_baseload25,chosen_weeks_cbr_baseload,scope,window_signals,prior_strength
399,1.5779661016949154,0.42355889724310775,0.3379032258064516,1.2534917245380754,41.91891213735534,1.1757682177348552,1.463276836158192,1.6807909604519775,1.0879120879120878,1.4000000000000001,1.8295454545454546,1.2534917245380754,1.2534917245380754,1.5779661016949154,1.5779661016949154,125,90,40,global,10,5.0
399,1.5779661016949154,0.42355889724310775,0.3379032258064516,1.2534917245380754,41.91891213735534,1.1757682177348552,1.463276836158192,1.6807909604519775,1.0879120879120878,1.4000000000000001,1.8295454545454546,1.2534917245380754,1.2534917245380754,1.5779661016949154,1.5779661016949154,125,90,40,global,10,20.0
399,1.5779661016949154,0.42355889724310775,0.3379032258064516,1.2534917245380754,41.91891213735534,1.1757682177348552,1.463276836158192,1.6807909604519775,1.0879120879120878,1.4000000000000001,1.8295454545454546,1.2534917245380754,1.2534917245380754,1.5779661016949154,1.5779661016949154,125,90,40,global,10,50.0
328,1.2971751412429378,0.4298780487804878,0.3379032258064516,1.2721927935269806,54.1025971995258,1.1049231454666963,1.1864406779661016,1.384180790960452,0.34965034965034963,0.525,1.9886363636363638,1.2721927935269806,1.2721927935269806,1.2971751412429378,1.2971751412429378,110,65,80,global,20,5.0
328,1.2971751412429378,0.4298780487804878,0.3379032258064516,1.2721927935269806,54.1025971995258,1.1049231454666963,1.1864406779661016,1.384180790960452,0.34965034965034963,0.525,1.9886363636363638,1.2721927935269806,1.2721927935269806,1.2971751412429378,1.2971751412429378,110,65,80,global,20,20.0
328,1.2971751412429378,0.4298780487804878,0.3379032258064516,1.2721927935269806,54.1025971995258,1.1049231454666963,1.1864406779661016,1.384180790960452,0.34965034965034963,0.525,1.9886363636363638,1.2721927935269806,1.2721927935269806,1.2971751412429378,1.2971751412429378,110,65,80,global,20,50.0
341,1.348587570621469,0.44281524926686217,0.3379032258064516,1.3104794966370146,54.850589422326664,1.2307692307692308,1.2853107344632768,1.5028248587570623,0.3205128205128205,0.5727272727272728,2.4022727272727273,1.3104794966370146,1.3104794966370146,1.348587570621469,1.348587570621469,105,100,50,global,40,5.0
341,1.348587570621469,0.44281524926686217,0.3379032258064516,1.3104794966370146,54.850589422326664,1.2307692307692308,1.2853107344632768,1.5028248587570623,0.3205128205128205,0.5727272727272728,2.4022727272727273,1.3104794966370146,1.3104794966370146,1.348587570621469,1.348587570621469,105,100,50,global,40,20.0
341,1.348587570621469,0.44281524926686217,0.3379032258064516,1.3104794966370146,54.850589422326664,1.2307692307692308,1.2853107344632768,1.5028248587570623,0.3205128205128205,0.5727272727272728,2.4022727272727273,1.3104794966370146,1.3104794966370146,1.348587570621469,1.348587570621469,105,100,50,global,40,50.0
344,1.3604519774011299,0.44476744186046513,0.3379032258064516,1.316256868513071,54.53745399908534,1.2394366197183098,1.3248587570621468,1.4039548022598871,0.6572541382667965,0.802247191011236,1.8613636363636363,1.316256868513071,1.316256868513071,1.3604519774011299,1.3604519774011299,145,110,0,global,80,5.0
