rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,clears_1p30_gate
0.3,298,1.1752112676056339,250.0,0.0,0.32550335570469796,0.22186234817813766,1.4671410375740948,0.6174301404406907,14.5787876436076,1.4671410375740948,1.4671410375740948,1.0,1.0,1.123943661971831,1.2422535211267605,1.3173333333333332,0.8600682593856656,1.4671410375740948,1.1752112676056339,1.1752112676056339,0.26153846153846155,1.7977272727272728,4.0,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0,1.3173333333333332,False
,250,0.9859154929577465,,,0.264,0.22186234817813766,1.18992700729927,0.47596026037354644,-30.485266384151757,1.18992700729927,,,,0.9859154929577465,0.9859154929577465,1.1089795918367347,0.7918367346938775,1.18992700729927,0.9859154929577465,0.9859154929577465,0.875,1.0769230769230769,,packet_e_cbr_macro,weekly,0.0,0,0,20,0.9,0.0,4,1,1.1089795918367347,False
0.35,370,1.4591549295774648,120.0,0.0,0.3,0.22186234817813766,1.3521897810218977,0.48891247711857333,1.1679360469672908,1.3521897810218977,1.3521897810218977,1.0,1.0,1.2225352112676056,1.676056338028169,1.1042352941176472,0.9561643835616438,1.3521897810218977,1.4591549295774648,1.4591549295774648,0.0,3.769230769230769,4.0,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.1042352941176472,False
0.3,423,1.668169014084507,20.0,0.0,0.2624113475177305,0.22186234817813766,1.1827664751255371,0.5841618751756459,-11.386738552219931,1.1827664751255371,1.1827664751255371,1.0,1.0,1.5183098591549296,1.7352112676056337,1.0843241265776478,0.854066985645933,1.1827664751255371,1.668169014084507,1.668169014084507,1.4461538461538461,2.0204545454545455,4.0,broad_full_tree_consensus,rolling,0.3,20,0,0,0.0,0.0,0,0,1.0843241265776478,False
,308,1.2146478873239437,,,0.2305194805194805,0.22186234817813766,1.03902028628306,0.6063065389610882,-32.83119515511395,1.03902028628306,,,,1.2028169014084507,1.2225352112676056,0.9561290322580646,0.7788778877887789,1.03902028628306,1.2146478873239437,1.2146478873239437,1.0153846153846153,1.4795454545454547,,broad_compact_extra,weekly,0.0,0,0,10,0.8,0.65,4,2,0.9561290322580646,False
,263,1.0371830985915493,,,0.2585551330798479,0.22186234817813766,1.165385362604424,0.5853486711682631,-23.124250251636784,1.165385362604424,,,,0.9464788732394366,1.064788732394366,0.9334845049130762,0.7286821705426356,1.165385362604424,1.0371830985915493,1.0371830985915493,0.7538461538461539,1.3045454545454545,,broad_compact_tree_consensus,weekly,0.0,0,0,10,0.85,0.65,3,2,0.9334845049130762,False
0.25,363,1.4315492957746478,20.0,0.0,0.209366391184573,0.22186234817813766,0.9436769821640425,0.5178095353836104,-33.21495008266651,0.9436769821640425,0.9436769821640425,0.0,1.0,1.3014084507042254,1.5183098591549296,0.8981818181818182,0.8435754189944135,0.9436769821640425,1.4315492957746478,1.4315492957746478,1.323076923076923,1.6512820512820512,4.0,broad_full_hist_anchor50,rolling,0.25,20,0,0,0.0,0.0,0,0,0.8981818181818182,False
0.35,470,1.8535211267605634,20.0,0.0,0.22127659574468084,0.22186234817813766,0.9973598384842366,0.5011507173944416,-25.68195641646629,0.9973598384842366,0.9973598384842366,0.0,1.0,1.7943661971830986,1.952112676056338,0.8685714285714287,0.8903225806451613,0.9973598384842366,1.8535211267605634,1.8535211267605634,1.2461538461538462,2.7282051282051283,4.0,broad_full_hist,rolling,0.35,20,0,0,0.0,0.0,0,0,0.8685714285714287,False
,366,1.4433802816901409,,,0.21584699453551912,0.22186234817813766,0.9728870009173946,0.5935005354823519,-34.866541432637476,0.9728870009173946,,,,1.380281690140845,1.4985915492957746,0.8450000000000001,0.8337950138504155,0.9728870009173946,1.4433802816901409,1.4433802816901409,1.2615384615384615,1.6692307692307695,,broad_factor_extra,weekly,0.0,0,0,10,0.75,0.5,3,2,0.8450000000000001,False
,311,1.2264788732394367,,,0.24437299035369775,0.22186234817813766,1.1014622010467763,0.47891110992958974,-33.94173719651552,1.1014622010467763,,,,1.1830985915492958,1.2619718309859154,0.8401360544217686,0.8594771241830066,1.1014622010467763,1.2264788732394367,1.2264788732394367,1.1136363636363638,1.4538461538461538,,broad_full_hist_packet_e50,weekly,0.0,0,0,40,0.9,0.0,4,2,0.8401360544217686,False
