rate_target,n,frequency,rolling_window,cooldown_days,hit_rate,base_rate,lift,auc,forward_benefit_bps,year_lift_min,year_lift_median,year_lift_positive,years,corridor_freq_min,corridor_freq_max,corridor_lift_min,cluster_share_7d,macro_year_lift,year_frequency_min,year_frequency_max,quarter_frequency_min,quarter_frequency_max,quarters,candidate,policy_type,rate,rolling,cooldown,history,strong,late,late_weekday,weekly_cap,robustness,passed_2025
0.3,410,0.9679595278246207,250.0,0.0,0.3951219512195122,0.26782178217821784,1.4753167125016906,0.5768685190948073,43.39669388400966,1.4671410375740948,1.5867172550096265,2.0,2.0,0.9089376053962901,1.003372681281619,1.2881803188565146,0.8641975308641975,1.5867172550096265,0.6968888888888888,1.1752112676056339,0.03111111111111111,2.15,7.0,broad_full_extra,rolling,0.3,250,0,0,0.0,0.0,0,0,1.2881803188565146,False
0.35,677,1.5983136593591907,120.0,0.0,0.36779911373707536,0.26782178217821784,1.3732979847484144,0.5647574983846557,34.33273328715097,1.3215971891812759,1.3368934851015868,2.0,2.0,1.4991568296795954,1.6998313659359192,1.153686396677051,0.9434523809523809,1.3368934851015868,1.4591549295774648,1.910222222222222,0.0,4.425,7.0,packet_e_cbr_anchor50,rolling,0.35,120,0,0,0.0,0.0,0,0,1.153686396677051,False
0.3,735,1.7352445193929176,20.0,0.0,0.34285714285714286,0.26782178217821784,1.2801689992078162,0.5868330377596893,19.314292591275745,1.1827664751255371,1.2557270865976289,2.0,2.0,1.6290050590219225,1.806070826306914,1.2581147442807523,0.8602739726027397,1.2557270865976289,1.668169014084507,1.9413333333333331,1.4155555555555555,2.525,7.0,broad_full_tree_consensus,rolling,0.3,20,0,0,0.0,0.0,0,0,1.2581147442807523,False
,445,1.0505902192242833,,,0.32808988764044944,0.26782178217821784,1.2250306340733972,0.5778558475464888,2.644940434080294,1.165385362604424,,,,0.9915682967959528,1.0741989881956155,1.060590150162764,0.7068181818181818,1.212708732666578,1.0371830985915493,1.1324444444444444,0.7538461538461539,1.375,,broad_compact_tree_consensus,weekly,0.0,0,0,10,0.85,0.65,3,2,1.060590150162764,False
0.25,632,1.4920741989881958,20.0,0.0,0.33069620253164556,0.26782178217821784,1.234762161023889,0.584144754848845,11.774297643394497,0.9436769821640425,1.1986599828047284,1.0,2.0,1.3929173693086003,1.5463743676222599,1.1528857815509739,0.8516746411483254,1.1986599828047284,1.4315492957746478,1.6737777777777776,1.0733333333333333,2.125,7.0,broad_full_hist_anchor50,rolling,0.25,20,0,0,0.0,0.0,0,0,1.1528857815509739,False
,516,1.218212478920742,,,0.312015503875969,0.26782178217821784,1.1650116780581465,0.5426069720386084,-5.8070009160822895,1.1014622010467763,,,,1.2040472175379429,1.239460370994941,1.0435557139039813,0.8454011741682974,1.1602588250141161,1.2264788732394367,1.2755555555555553,1.1136363636363638,1.4538461538461538,,broad_full_hist_packet_e50,weekly,0.0,0,0,40,0.9,0.0,4,2,1.0435557139039813,False
,410,0.9679595278246207,,,0.3097560975609756,0.26782178217821784,1.156575447455029,0.5239989551815372,-11.99219849704243,1.1209035580524345,,,,0.9679595278246207,0.9679595278246207,1.099375125982665,0.7753086419753087,1.1554152826758521,0.9859154929577465,0.9955555555555554,0.875,1.0769230769230769,,packet_e_cbr_macro,weekly,0.0,0,0,20,0.9,0.0,4,1,1.099375125982665,False
0.35,785,1.8532883642495785,20.0,0.0,0.310828025477707,0.26782178217821784,1.1605778400461517,0.5297060885671114,3.3218018540492418,0.9973598384842366,1.152029898434794,1.0,2.0,1.8178752107925802,1.9359190556492414,1.12430426716141,0.8846153846153846,1.152029898434794,1.8535211267605634,1.9599999999999997,1.2461538461538462,2.7282051282051283,7.0,broad_full_hist,rolling,0.35,20,0,0,0.0,0.0,0,0,1.12430426716141,False
0.35,805,1.900505902192243,20.0,0.0,0.30807453416149067,0.26782178217821784,1.1502967818968781,0.5694629308157707,5.235210861032356,0.9464391398697968,1.1401810070274216,1.0,2.0,1.8650927487352447,1.9477234401349075,1.107908163265306,0.88625,1.1401810070274216,1.8969014084507043,2.0159999999999996,1.3844444444444444,2.6743589743589746,7.0,broad_full_hist_anchor25,rolling,0.35,20,0,0,0.0,0.0,0,0,1.107908163265306,False
0.25,635,1.4991568296795954,20.0,0.0,0.29763779527559053,0.26782178217821784,1.111327812304423,0.5322418979702277,1.2288790485053005,0.9754602897919162,1.1312658540149243,1.0,2.0,1.451939291736931,1.558178752107926,1.030612244897959,0.8428571428571429,1.1312658540149243,1.4497777777777776,1.5853521126760564,1.0615384615384615,2.2615384615384615,7.0,broad_factor_tree_consensus,rolling,0.25,20,0,0,0.0,0.0,0,0,1.030612244897959,False
