packet,period,candidate,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps,reference,known_next_lower_signal_share
ap1/publication,early,known_next_not_lower_cd3,1,7290,2114,2017-01-09,2023-12-01,1.0,0.5054869684499315,1.9782903663500677,1.9730310860447078,1.4046511627906977,1.3820598006644518,1.435215946843854,31.2918331045133,76.24049345110636,effective,0.0
ap1/publication,early,known_next_not_lower_cd3,1,7290,2114,2017-01-09,2023-12-01,0.5312204351939451,0.5061728395061729,1.04948427440755,1.046621947989948,1.4046511627906977,1.3820598006644518,1.435215946843854,-23.618553289809785,5.007278886270657,publication,0.0
ap1/publication,early,known_next_not_lower_cd3,3,7290,2114,2017-01-09,2023-12-01,0.6556291390728477,0.3344307270233196,1.960433315767457,1.9509004126468465,1.4046511627906977,1.3820598006644518,1.435215946843854,45.943946172757244,82.88114770333561,effective,0.0
ap1/publication,early,known_next_not_lower_cd3,3,7290,2114,2017-01-09,2023-12-01,0.3609271523178808,0.3347050754458162,1.0783438280317013,1.0729789670139982,1.4046511627906977,1.3820598006644518,1.435215946843854,-20.735651684025715,9.966998324980258,publication,0.0
ap1/publication,early,known_next_not_lower_cd3,5,7290,2114,2017-01-09,2023-12-01,0.5316934720908231,0.27325102880658436,1.9458059294890062,1.9352681601181418,1.4046511627906977,1.3820598006644518,1.435215946843854,49.09519803552036,84.65351565478215,effective,0.0
ap1/publication,early,known_next_not_lower_cd3,5,7290,2114,2017-01-09,2023-12-01,0.293282876064333,0.27352537722908093,1.0722327815992916,1.0662791941626684,1.4046511627906977,1.3820598006644518,1.435215946843854,-20.785553864491856,10.859026062602567,publication,0.0
ap1/publication,early,known_next_not_lower_cd3,10,7290,2114,2017-01-09,2023-12-01,0.39829706717123936,0.20219478737997257,1.9698681273258718,1.9568454990478175,1.4046511627906977,1.3820598006644518,1.435215946843854,55.595895073208126,88.89045945864845,effective,0.0
ap1/publication,early,known_next_not_lower_cd3,10,7290,2114,2017-01-09,2023-12-01,0.2185430463576159,0.20205761316872428,1.0815877854358587,1.0742415880630483,1.4046511627906977,1.3820598006644518,1.435215946843854,-18.137969340958794,13.84473455839112,publication,0.0
ap1/publication,early,known_next_not_lower_cd3,20,7290,2114,2017-01-09,2023-12-01,0.29848628192999055,0.15294924554183814,1.9515381123494449,1.9315570539307736,1.4046511627906977,1.3820598006644518,1.435215946843854,63.624940187417444,92.83696503411281,effective,0.0
ap1/publication,early,known_next_not_lower_cd3,20,7290,2114,2017-01-09,2023-12-01,0.16792809839167455,0.15281207133058985,1.098919063981425,1.087402818299005,1.4046511627906977,1.3820598006644518,1.435215946843854,-12.412835814713265,15.732999309247583,publication,0.0
ap1/publication,later,known_next_not_lower_cd3,1,3280,967,2024-01-09,2026-08-31,1.0,0.5161585365853658,1.9373892498523333,1.9309277439165895,1.4356309650053023,1.3955461293743372,1.4772004241781547,26.56403232616659,63.21552328836044,effective,0.0
ap1/publication,later,known_next_not_lower_cd3,1,3280,967,2024-01-09,2026-08-31,0.5408479834539814,0.5161585365853658,1.0478330689480562,1.044204455753546,1.4356309650053023,1.3955461293743372,1.4772004241781547,-18.100350508060895,8.517244661145591,publication,0.0
ap1/publication,later,known_next_not_lower_cd3,3,3270,962,2024-01-09,2026-08-27,0.6881496881496881,0.354434250764526,1.9415439864102504,1.9316842258501448,1.4342917997870075,1.3940362087326943,1.476038338658147,41.10111569663991,69.97117307419252,effective,0.0
ap1/publication,later,known_next_not_lower_cd3,3,3270,962,2024-01-09,2026-08-27,0.3607068607068607,0.354434250764526,1.0176975276198743,1.012490784637722,1.4342917997870075,1.3940362087326943,1.476038338658147,-15.356498531219167,10.004495909403463,publication,0.0
ap1/publication,later,known_next_not_lower_cd3,5,3260,957,2024-01-09,2026-08-25,0.5778474399164054,0.294478527607362,1.9622735980494599,1.949809964084837,1.4298826040554962,1.3895410885805763,1.471718249733191,44.424363611080274,71.48041241752762,effective,0.0
ap1/publication,later,known_next_not_lower_cd3,5,3260,957,2024-01-09,2026-08-25,0.30616509926854757,0.294478527607362,1.0396856495994427,1.032878447248416,1.4298826040554962,1.3895410885805763,1.471718249733191,-13.319716662589903,11.754601597894943,publication,0.0
ap1/publication,later,known_next_not_lower_cd3,10,3235,951,2024-01-09,2026-08-18,0.4426919032597266,0.22812982998454404,1.9405261613078804,1.9225442543502889,1.4316129032258063,1.3924731182795698,1.475268817204301,46.841083218503854,72.94801765357498,effective,0.0
ap1/publication,later,known_next_not_lower_cd3,10,3235,951,2024-01-09,2026-08-18,0.22292323869610936,0.22812982998454404,0.9771770693521867,0.9681220473212856,1.4316129032258063,1.3924731182795698,1.475268817204301,-13.211993853953446,11.322808371778786,publication,0.0
ap1/publication,later,known_next_not_lower_cd3,20,3185,931,2024-01-09,2026-08-04,0.317937701396348,0.165149136577708,1.9251550930558337,1.909219539011066,1.4229257641921396,1.3831877729257642,1.467248908296943,55.00354473092315,74.11017150510715,effective,0.0
ap1/publication,later,known_next_not_lower_cd3,20,3185,931,2024-01-09,2026-08-04,0.16326530612244897,0.16577708006279435,0.9848484848484848,0.9765950839892029,1.4229257641921396,1.3831877729257642,1.467248908296943,-6.326546693730589,12.452588233813215,publication,0.0
ap1/effective,early,known_next_not_lower_cd3,1,7295,2119,2017-01-09,2023-12-04,1.0,0.5058259081562714,1.9769647696476966,1.9712736475013584,1.4059715639810426,1.3834123222748815,1.4364928909952606,31.17948083686892,76.26042843739855,effective,0.0
ap1/effective,early,known_next_not_lower_cd3,1,7295,2119,2017-01-09,2023-12-04,0.5323265691363851,0.5065113091158328,1.0509667988768414,1.0478568783479438,1.4059715639810426,1.3834123222748815,1.4364928909952606,-23.551598742739557,5.226656497878586,publication,0.0
ap1/effective,early,known_next_not_lower_cd3,3,7295,2119,2017-01-09,2023-12-04,0.656441717791411,0.3348869088416724,1.9601892473550322,1.9495348935309567,1.4059715639810426,1.3834123222748815,1.4364928909952606,45.90904033772232,83.13754912388247,effective,0.0
ap1/effective,early,known_next_not_lower_cd3,3,7295,2119,2017-01-09,2023-12-04,0.3624351109013686,0.33516106922549693,1.0813759239368033,1.0753559490976115,1.4059715639810426,1.3834123222748815,1.4364928909952606,-20.671710651148366,10.355807077784695,publication,0.0
ap1/effective,early,known_next_not_lower_cd3,5,7295,2119,2017-01-09,2023-12-04,0.5327984898537046,0.27374914324880056,1.946301944658375,1.9344095909377985,1.4059715639810426,1.3834123222748815,1.4364928909952606,49.078094384241155,84.94786336457281,effective,0.0
ap1/effective,early,known_next_not_lower_cd3,5,7295,2119,2017-01-09,2023-12-04,0.2949504483246815,0.27402330363262506,1.0763699452368942,1.069620803894213,1.4059715639810426,1.3834123222748815,1.4364928909952606,-20.788498696233535,11.148490341030794,publication,0.0
ap1/effective,early,known_next_not_lower_cd3,10,7295,2119,2017-01-09,2023-12-04,0.39830108541764986,0.20233036326250856,1.968568033957829,1.953744599686463,1.4059715639810426,1.3834123222748815,1.4364928909952606,55.43992503106612,88.95776315080062,effective,0.0
ap1/effective,early,known_next_not_lower_cd3,10,7295,2119,2017-01-09,2023-12-04,0.21802737140160453,0.20191912268677176,1.0797757463507842,1.0714823896953198,1.4059715639810426,1.3834123222748815,1.4364928909952606,-18.307338978952124,13.880610851458064,publication,0.0
ap1/effective,early,known_next_not_lower_cd3,20,7295,2119,2017-01-09,2023-12-04,0.2987258140632374,0.15311857436600412,1.9509443272975082,1.928604762702809,1.4059715639810426,1.3834123222748815,1.4364928909952606,63.629761571670336,92.89387012430961,effective,0.0
ap1/effective,early,known_next_not_lower_cd3,20,7295,2119,2017-01-09,2023-12-04,0.16753185464841908,0.1527073337902673,1.0970779889229958,1.0842875223622848,1.4059715639810426,1.3834123222748815,1.4364928909952606,-12.444497788911839,15.769216382647425,publication,0.0
ap1/effective,later,known_next_not_lower_cd3,1,3280,967,2024-01-09,2026-08-31,1.0,0.5161585365853658,1.9373892498523333,1.9309277439165895,1.4356309650053023,1.3955461293743372,1.4772004241781547,26.56403232616659,63.21552328836044,effective,0.0
ap1/effective,later,known_next_not_lower_cd3,1,3280,967,2024-01-09,2026-08-31,0.5408479834539814,0.5161585365853658,1.0478330689480562,1.044204455753546,1.4356309650053023,1.3955461293743372,1.4772004241781547,-18.100350508060895,8.517244661145591,publication,0.0
ap1/effective,later,known_next_not_lower_cd3,3,3270,962,2024-01-09,2026-08-27,0.6881496881496881,0.354434250764526,1.9415439864102504,1.9316842258501448,1.4342917997870075,1.3940362087326943,1.476038338658147,41.10111569663991,69.97117307419252,effective,0.0
ap1/effective,later,known_next_not_lower_cd3,3,3270,962,2024-01-09,2026-08-27,0.3607068607068607,0.354434250764526,1.0176975276198743,1.012490784637722,1.4342917997870075,1.3940362087326943,1.476038338658147,-15.356498531219167,10.004495909403463,publication,0.0
ap1/effective,later,known_next_not_lower_cd3,5,3260,957,2024-01-09,2026-08-25,0.5778474399164054,0.294478527607362,1.9622735980494599,1.949809964084837,1.4298826040554962,1.3895410885805763,1.471718249733191,44.424363611080274,71.48041241752762,effective,0.0
ap1/effective,later,known_next_not_lower_cd3,5,3260,957,2024-01-09,2026-08-25,0.30616509926854757,0.294478527607362,1.0396856495994427,1.032878447248416,1.4298826040554962,1.3895410885805763,1.471718249733191,-13.319716662589903,11.754601597894943,publication,0.0
ap1/effective,later,known_next_not_lower_cd3,10,3235,951,2024-01-09,2026-08-18,0.4426919032597266,0.22812982998454404,1.9405261613078804,1.9225442543502889,1.4316129032258063,1.3924731182795698,1.475268817204301,46.841083218503854,72.94801765357498,effective,0.0
