packet,period,candidate,previously_selected,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps,reference,known_next_lower_signal_share
ap1/publication,early,sign_cd0,False,1,7290,3685,2017-01-09,2023-12-01,1.0,0.5054869684499315,1.9782903663500677,1.9658580728469328,2.448504983388704,2.362126245847176,2.5083056478405314,21.127464869951083,74.18897019180213,effective,0.0
ap1/publication,early,sign_cd0,False,1,7290,3685,2017-01-09,2023-12-01,0.5449118046132971,0.5061728395061729,1.0765330774067576,1.0696391394430675,2.448504983388704,2.362126245847176,2.5083056478405314,-21.269918861317986,9.725844865879486,publication,0.0
ap1/publication,early,sign_cd0,False,3,7290,3685,2017-01-09,2023-12-01,0.6616010854816825,0.3344307270233196,1.978290366350068,1.952342405536383,2.448504983388704,2.362126245847176,2.5083056478405314,30.87064513127116,82.50126706536142,effective,0.0
ap1/publication,early,sign_cd0,False,3,7290,3685,2017-01-09,2023-12-01,0.36824966078697424,0.3347050754458162,1.1002213225971484,1.0855128611698013,2.448504983388704,2.362126245847176,2.5083056478405314,-29.057268966376864,13.673888426817202,publication,0.0
ap1/publication,early,sign_cd0,False,5,7290,3685,2017-01-09,2023-12-01,0.5405698778833107,0.27325102880658436,1.9782903663500677,1.947752197255934,2.448504983388704,2.362126245847176,2.5083056478405314,35.404895577747645,86.83291629899874,effective,0.0
ap1/publication,early,sign_cd0,False,5,7290,3685,2017-01-09,2023-12-01,0.3001356852103121,0.27352537722908093,1.0972864318872493,1.0800134207786858,2.448504983388704,2.362126245847176,2.5083056478405314,-29.25182578336702,17.055271243522192,publication,0.0
ap1/publication,early,sign_cd0,False,10,7290,3685,2017-01-09,2023-12-01,0.4,0.20219478737997257,1.978290366350068,1.939183555291293,2.448504983388704,2.362126245847176,2.5083056478405314,42.32664583292229,92.07071901358196,effective,0.0
ap1/publication,early,sign_cd0,False,10,7290,3685,2017-01-09,2023-12-01,0.21818181818181817,0.20205761316872428,1.0798000370301795,1.0582634296577904,2.448504983388704,2.362126245847176,2.5083056478405314,-28.256986469581573,19.297448199180874,publication,0.0
ap1/publication,early,sign_cd0,False,20,7290,3685,2017-01-09,2023-12-01,0.30257801899592945,0.15294924554183814,1.9782903663500677,1.9255218839407922,2.448504983388704,2.362126245847176,2.5083056478405314,49.54584131497355,92.87447087552395,effective,0.0
ap1/publication,early,sign_cd0,False,20,7290,3685,2017-01-09,2023-12-01,0.166078697421981,0.15281207133058985,1.0868166105980623,1.0575696252738835,2.448504983388704,2.362126245847176,2.5083056478405314,-23.778421817425432,18.035493318506592,publication,0.0
ap1/publication,early,sign_cd3,False,1,7290,2114,2017-01-09,2023-12-01,1.0,0.5054869684499315,1.9782903663500677,1.9730310860447078,1.4046511627906977,1.3820598006644518,1.435215946843854,31.2918331045133,76.24049345110636,effective,0.0
ap1/publication,early,sign_cd3,False,1,7290,2114,2017-01-09,2023-12-01,0.5312204351939451,0.5061728395061729,1.04948427440755,1.046621947989948,1.4046511627906977,1.3820598006644518,1.435215946843854,-23.618553289809785,5.007278886270657,publication,0.0
ap1/publication,early,sign_cd3,False,3,7290,2114,2017-01-09,2023-12-01,0.6556291390728477,0.3344307270233196,1.960433315767457,1.9509004126468465,1.4046511627906977,1.3820598006644518,1.435215946843854,45.943946172757244,82.88114770333561,effective,0.0
ap1/publication,early,sign_cd3,False,3,7290,2114,2017-01-09,2023-12-01,0.3609271523178808,0.3347050754458162,1.0783438280317013,1.0729789670139982,1.4046511627906977,1.3820598006644518,1.435215946843854,-20.735651684025715,9.966998324980258,publication,0.0
ap1/publication,early,sign_cd3,False,5,7290,2114,2017-01-09,2023-12-01,0.5316934720908231,0.27325102880658436,1.9458059294890062,1.9352681601181418,1.4046511627906977,1.3820598006644518,1.435215946843854,49.09519803552036,84.65351565478215,effective,0.0
ap1/publication,early,sign_cd3,False,5,7290,2114,2017-01-09,2023-12-01,0.293282876064333,0.27352537722908093,1.0722327815992916,1.0662791941626684,1.4046511627906977,1.3820598006644518,1.435215946843854,-20.785553864491856,10.859026062602567,publication,0.0
ap1/publication,early,sign_cd3,False,10,7290,2114,2017-01-09,2023-12-01,0.39829706717123936,0.20219478737997257,1.9698681273258718,1.9568454990478175,1.4046511627906977,1.3820598006644518,1.435215946843854,55.595895073208126,88.89045945864845,effective,0.0
ap1/publication,early,sign_cd3,False,10,7290,2114,2017-01-09,2023-12-01,0.2185430463576159,0.20205761316872428,1.0815877854358587,1.0742415880630483,1.4046511627906977,1.3820598006644518,1.435215946843854,-18.137969340958794,13.84473455839112,publication,0.0
ap1/publication,early,sign_cd3,False,20,7290,2114,2017-01-09,2023-12-01,0.29848628192999055,0.15294924554183814,1.9515381123494449,1.9315570539307736,1.4046511627906977,1.3820598006644518,1.435215946843854,63.624940187417444,92.83696503411281,effective,0.0
ap1/publication,early,sign_cd3,False,20,7290,2114,2017-01-09,2023-12-01,0.16792809839167455,0.15281207133058985,1.098919063981425,1.087402818299005,1.4046511627906977,1.3820598006644518,1.435215946843854,-12.412835814713265,15.732999309247583,publication,0.0
ap1/publication,early,sign_cd4,False,1,7290,1680,2017-01-09,2023-12-01,1.0,0.5054869684499315,1.9782903663500677,1.9733002846901848,1.116279069767442,1.079734219269103,1.1395348837209303,34.686025010688006,73.72142852089895,effective,0.0
ap1/publication,early,sign_cd4,False,1,7290,1680,2017-01-09,2023-12-01,0.5386904761904762,0.5061728395061729,1.0642421602787455,1.0614851294733174,1.116279069767442,1.079734219269103,1.1395348837209303,-20.775605975561422,11.029762429011853,publication,0.0
ap1/publication,early,sign_cd4,False,3,7290,1680,2017-01-09,2023-12-01,0.6589285714285714,0.3344307270233196,1.9702991327786241,1.9606734081805268,1.116279069767442,1.079734219269103,1.1395348837209303,53.622237250443625,82.31743509429586,effective,0.0
ap1/publication,early,sign_cd4,False,3,7290,1680,2017-01-09,2023-12-01,0.35595238095238096,0.3347050754458162,1.0634806791569087,1.0581209695643414,1.116279069767442,1.079734219269103,1.1395348837209303,-14.933990390942949,11.761315980079706,publication,0.0
ap1/publication,early,sign_cd4,False,5,7290,1680,2017-01-09,2023-12-01,0.5297619047619048,0.27325102880658436,1.938737091222031,1.9280899189388785,1.116279069767442,1.079734219269103,1.1395348837209303,57.18920498418347,83.0764273679396,effective,0.0
ap1/publication,early,sign_cd4,False,5,7290,1680,2017-01-09,2023-12-01,0.29583333333333334,0.27352537722908093,1.0815571715145436,1.0754140785521629,1.116279069767442,1.079734219269103,1.1395348837209303,-12.500263650238187,11.692455305287556,publication,0.0
ap1/publication,early,sign_cd4,False,10,7290,1680,2017-01-09,2023-12-01,0.4023809523809524,0.20219478737997257,1.9900659042450088,1.9767476518820624,1.116279069767442,1.079734219269103,1.1395348837209303,64.66366013445125,87.05609289909631,effective,0.0
ap1/publication,early,sign_cd4,False,10,7290,1680,2017-01-09,2023-12-01,0.21607142857142858,0.20205761316872428,1.0693555426243817,1.061984020964269,1.116279069767442,1.079734219269103,1.1395348837209303,-7.917615652160718,13.865715567833488,publication,0.0
