packet,period,candidate,previously_selected,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps,reference,known_next_lower_signal_share
ap1/publication,early,change_z_r25,True,1,7290,1886,2017-01-09,2023-12-01,1.0,0.5054869684499315,1.9782903663500677,1.9764164903567905,1.253156146179402,1.2259136212624584,1.2990033222591362,33.02934883976359,120.10056484622012,effective,0.0
ap1/publication,early,change_z_r25,True,1,7290,1886,2017-01-09,2023-12-01,0.5726405090137858,0.5061728395061729,1.1313141763443084,1.1302730558476866,1.253156146179402,1.2259136212624584,1.2990033222591362,-33.032316879941305,20.349373832669386,publication,0.0
ap1/publication,early,change_z_r25,True,3,7290,1886,2017-01-09,2023-12-01,0.7794273594909862,0.3344307270233196,2.3306092906846962,2.3261259133667167,1.253156146179402,1.2259136212624584,1.2990033222591362,46.530955158689444,135.82609657659435,effective,0.0
ap1/publication,early,change_z_r25,True,3,7290,1886,2017-01-09,2023-12-01,0.38759278897136795,0.3347050754458162,1.1580128818038002,1.1558425478683596,1.253156146179402,1.2259136212624584,1.2990033222591362,-46.88606127372239,27.47075158642085,publication,0.0
ap1/publication,early,change_z_r25,True,5,7290,1886,2017-01-09,2023-12-01,0.6595970307529162,0.27325102880658436,2.4138867239903408,2.404482178966969,1.253156146179402,1.2259136212624584,1.2990033222591362,50.58930788939934,145.05466165436465,effective,0.0
ap1/publication,early,change_z_r25,True,5,7290,1886,2017-01-09,2023-12-01,0.31336161187698836,0.27352537722908093,1.145639995277455,1.141247951277938,1.253156146179402,1.2259136212624584,1.2990033222591362,-50.90592551869166,33.68083495225037,publication,0.0
ap1/publication,early,change_z_r25,True,10,7290,1886,2017-01-09,2023-12-01,0.5005302226935313,0.20219478737997257,2.4754852940541676,2.458297676130664,1.253156146179402,1.2259136212624584,1.2990033222591362,55.256517829298616,154.3778940095833,effective,0.0
ap1/publication,early,change_z_r25,True,10,7290,1886,2017-01-09,2023-12-01,0.23223753976670203,0.20205761316872428,1.1493629768494622,1.1413605509546012,1.253156146179402,1.2259136212624584,1.2990033222591362,-56.797503168563495,37.42146609237489,publication,0.0
ap1/publication,early,change_z_r25,True,20,7290,1886,2017-01-09,2023-12-01,0.38812301166489926,0.15294924554183814,2.53759350227544,2.5131467076697667,1.253156146179402,1.2259136212624584,1.2990033222591362,59.5210743367369,155.94786134304627,effective,0.0
ap1/publication,early,change_z_r25,True,20,7290,1886,2017-01-09,2023-12-01,0.18133616118769882,0.15281207133058985,1.1866612343431997,1.1751960514696538,1.253156146179402,1.2259136212624584,1.2990033222591362,-58.480054734359726,35.659776451989835,publication,0.0
ap1/publication,later,change_z_r25,True,1,3280,878,2024-01-09,2026-08-31,1.0,0.5161585365853658,1.9373892498523333,1.9204306815040317,1.3034994697773064,1.2841993637327678,1.3287380699893954,28.949874815656607,101.97583621193132,effective,0.0
ap1/publication,later,change_z_r25,True,1,3280,878,2024-01-09,2026-08-31,0.5933940774487472,0.5161585365853658,1.1496353065752456,1.1389618835884214,1.3034994697773064,1.2841993637327678,1.3287380699893954,-27.505405405984018,19.14129368100835,publication,0.0
ap1/publication,later,change_z_r25,True,3,3270,874,2024-01-09,2026-08-27,0.8192219679633868,0.354434250764526,2.311351022640444,2.269037072027031,1.3030883919062834,1.2896698615548456,1.326943556975506,46.804159876738304,117.79272203361555,effective,0.0
