candidate,horizon_lift_min,horizon_lift_mean,symmetric_benefit_min,future_benefit_min
incumbent,1.424175824175824,1.4780910090963848,2.039553329844701,46.38983128414809
incumbent60_nbrb40,1.3860254849847242,1.6249784246655445,8.07948656481607,42.164548444563266
incumbent70_nbrb30,1.4270394685219574,1.5922438662363838,3.431248236050649,46.102276382332334
incumbent80_nbrb20,1.4395315970119118,1.5818361234334333,2.4843051289445657,47.93381928713453
incumbent90_nbrb10,1.4330261519302614,1.5501633268503021,2.45402675282182,47.628101914266004
incumbent95_nbrb5,1.4184704896208276,1.5107148590715735,2.2377675486089044,46.13272604041289
incumbent_raw_nbrb_w10,1.1183558808309306,1.204686126619616,7.347900278557151,21.248800196023147
incumbent_raw_nbrb_w2,1.156799425905992,1.2456640425452128,7.57867171285631,25.106347576610148
incumbent_raw_nbrb_w5,1.0993387108495023,1.2076588295468862,7.039601472185133,23.06919451780047
nbrb_selected,1.0915924826904055,1.1917876943928543,5.041610871383752,14.566548635333847
