clock,candidate,period,h,currency,year,bin_left,bin_right,n,predicted,actual
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.0,0.1,364,0.05100406053529099,0.11813186813186813
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.1,0.2,245,0.1446589762592941,0.24489795918367346
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.2,0.30000000000000004,152,0.24894649498803298,0.34868421052631576
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.30000000000000004,0.4,103,0.34954628909059143,0.44660194174757284
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.4,0.5,61,0.45105598984671663,0.7213114754098361
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.5,0.6000000000000001,67,0.5517061829442318,0.7014925373134329
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.6000000000000001,0.7000000000000001,58,0.6461474682910996,0.603448275862069
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.7000000000000001,0.8,77,0.7494853442257836,0.7272727272727273
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.8,0.9,52,0.8518942658115727,0.8461538461538461
perp_2000,perp_cny_logit,screen_2024,3,ALL,ALL,0.9,1.0,61,0.9515061473602315,0.8852459016393442
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.0,0.1,417,0.05962660892048247,0.08393285371702638
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.1,0.2,427,0.14774472831065902,0.15456674473067916
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.2,0.30000000000000004,316,0.2463674668077398,0.2468354430379747
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.30000000000000004,0.4,213,0.34854976889299844,0.40375586854460094
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.4,0.5,164,0.44948029673567,0.38414634146341464
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.5,0.6000000000000001,128,0.54596324702639,0.5390625
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.6000000000000001,0.7000000000000001,87,0.6490529433498229,0.5632183908045977
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.7000000000000001,0.8,117,0.7503575364998972,0.7435897435897436
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.8,0.9,82,0.8523467672409123,0.8658536585365854
perp_2000,perp_cny_logit,opened_2025_2026,3,ALL,ALL,0.9,1.0,79,0.9430289854266249,0.9240506329113924
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.0,0.1,351,0.048273759402993055,0.12535612535612536
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.1,0.2,225,0.14690200070974868,0.2577777777777778
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.2,0.30000000000000004,144,0.24612097491335783,0.3055555555555556
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.30000000000000004,0.4,105,0.34604229174280793,0.4857142857142857
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.4,0.5,92,0.4474399624951185,0.45652173913043476
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.5,0.6000000000000001,61,0.5471703516183944,0.6229508196721312
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.6000000000000001,0.7000000000000001,68,0.644424719031198,0.7058823529411765
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.7000000000000001,0.8,54,0.7537704598101487,0.7222222222222222
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.8,0.9,64,0.8544091421818902,0.8125
perp_2000,perp_dual_logit,screen_2024,3,ALL,ALL,0.9,1.0,76,0.9443097717229144,0.868421052631579
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.0,0.1,452,0.056057368819017954,0.09070796460176991
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.1,0.2,435,0.14620802049566928,0.167816091954023
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.2,0.30000000000000004,280,0.24607718228975345,0.2857142857142857
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.30000000000000004,0.4,226,0.34701059223321856,0.34513274336283184
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.4,0.5,153,0.4463504752466685,0.38562091503267976
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.5,0.6000000000000001,126,0.547390238057948,0.5555555555555556
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.6000000000000001,0.7000000000000001,76,0.6502198063516006,0.5263157894736842
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.7000000000000001,0.8,102,0.7505717565238879,0.7843137254901961
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.8,0.9,97,0.8504471482548033,0.8350515463917526
perp_2000,perp_dual_logit,opened_2025_2026,3,ALL,ALL,0.9,1.0,83,0.942028030713991,0.9036144578313253
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.0,0.1,74,0.08131351441983561,0.16216216216216217
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.1,0.2,401,0.15597197064445545,0.2144638403990025
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.2,0.30000000000000004,236,0.2453698094872513,0.2966101694915254
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.30000000000000004,0.4,149,0.3463486179555468,0.4563758389261745
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.4,0.5,109,0.44942713429237635,0.5412844036697247
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.5,0.6000000000000001,91,0.5470101120091724,0.5824175824175825
perp_2000,perp_dual_hgb,screen_2024,3,ALL,ALL,0.6000000000000001,0.7000000000000001,72,0.6503604231361395,0.7361111111111112
