clock,candidate,h,period,slice,group,physical_availability,usable_share,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
perp_2000,perp_cny_logit,3,screen_2024,ALL,ALL,1.0,1.0,1240,0.38870967741935486,0.1822426294062455,0.5643292480493565,0.08806331419890877,0.7963712105453311,0.7238115711889382,0.1822426294062455,0.5643292480493565,0.08806331419890877,0.7963712105453311,0.7238115711889382,0.17013912240317924,0.5181408788312696,0.059909340601456036,0.8111184707518146,0.7558582229466388
perp_2000,perp_cny_logit,3,screen_2024,currency,AMD,1.0,1.0,248,0.4032258064516129,0.1846290771094535,0.5657292245891898,0.0997016369832857,0.8052027027027027,0.7453603881152819,0.1846290771094535,0.5657292245891898,0.0997016369832857,0.8052027027027027,0.7453603881152819,0.16738293652298844,0.5117958615617887,0.09935369212252625,0.8283108108108108,0.7832308786205806
perp_2000,perp_cny_logit,3,screen_2024,currency,KGS,1.0,1.0,248,0.4153225806451613,0.1948538193345317,0.5936668428282699,0.10378604751329373,0.7785738198861735,0.7235791480263445,0.1948538193345317,0.5936668428282699,0.10378604751329373,0.7785738198861735,0.7235791480263445,0.18276717568078235,0.5464516600228417,0.08054196023087085,0.797723468362906,0.7623355248573026
perp_2000,perp_cny_logit,3,screen_2024,currency,KZT,1.0,1.0,248,0.3346774193548387,0.1734289904112463,0.5408929349989711,0.0997631687066759,0.798977729098211,0.6620662716090454,0.1734289904112463,0.5408929349989711,0.0997631687066759,0.798977729098211,0.6620662716090454,0.15881399251444825,0.48847129854311694,0.0831347981130624,0.8292077400511135,0.7000577402225392
perp_2000,perp_cny_logit,3,screen_2024,currency,TJS,1.0,1.0,248,0.4032258064516129,0.17949362824538023,0.5521957012853915,0.11259107236252239,0.8106756756756758,0.7474714801024269,0.17949362824538023,0.5521957012853915,0.11259107236252239,0.8106756756756758,0.7474714801024269,0.17119574196462137,0.5201267943585972,0.07870283994104384,0.8177027027027026,0.7723859719093671
perp_2000,perp_cny_logit,3,screen_2024,currency,UZS,1.0,1.0,248,0.3870967741935484,0.1788076319306159,0.5691615365449604,0.09037479369871244,0.7850191885964911,0.7420526626898817,0.1788076319306159,0.5691615365449604,0.09037479369871244,0.7850191885964911,0.7420526626898817,0.17053576533305584,0.523858779670004,0.0884810445440703,0.7928316885964911,0.7693689776025258
perp_2000,perp_cny_logit,3,screen_2024,year,2024,1.0,1.0,1240,0.38870967741935486,0.1822426294062455,0.5643292480493565,0.08806331419890877,0.7963712105453311,0.7238115711889382,0.1822426294062455,0.5643292480493565,0.08806331419890877,0.7963712105453311,0.7238115711889382,0.17013912240317924,0.5181408788312696,0.059909340601456036,0.8111184707518146,0.7558582229466388
perp_2000,perp_cny_logit,3,opened_2025_2026,ALL,ALL,1.0,1.0,2030,0.3334975369458128,0.1620337697556403,0.4948201165876545,0.023359528013276794,0.8017044021655472,0.7046510062956531,0.1620337697556403,0.4948201165876545,0.023359528013276794,0.8017044021655472,0.7046510062956531,0.15919934119680904,0.49007522257512476,0.051055367674835254,0.8144088141566255,0.7209832620638944
perp_2000,perp_cny_logit,3,opened_2025_2026,currency,AMD,1.0,1.0,406,0.33251231527093594,0.16712674399924346,0.5065115464346753,0.04688659296637375,0.791253245865792,0.6860025485448462,0.16712674399924346,0.5065115464346753,0.04688659296637375,0.791253245865792,0.6860025485448462,0.16446333082682751,0.5020284375502181,0.06536985059164782,0.8018860188601886,0.6980858784008304
perp_2000,perp_cny_logit,3,opened_2025_2026,currency,KGS,1.0,1.0,406,0.3078817733990148,0.15416336200508624,0.4788312882699122,0.03924623963857854,0.8111601423487544,0.6795255172825987,0.15416336200508624,0.4788312882699122,0.03924623963857854,0.8111601423487544,0.6795255172825987,0.15178216069247935,0.4743918754034671,0.07663743032469005,0.8280711743772242,0.7038078844739719
perp_2000,perp_cny_logit,3,opened_2025_2026,currency,KZT,1.0,1.0,406,0.3275862068965517,0.15354505932005658,0.47034674869918164,0.0444289047039548,0.8225784240821835,0.7283664588291172,0.15354505932005658,0.47034674869918164,0.0444289047039548,0.8225784240821835,0.7283664588291172,0.15229516347930275,0.4717203795376528,0.06669258161065976,0.8327411936434492,0.7468780821045309
perp_2000,perp_cny_logit,3,opened_2025_2026,currency,TJS,1.0,1.0,406,0.3620689655172414,0.17517671040355157,0.5284568989229983,0.04079742563145894,0.7864628476873374,0.7066148919045098,0.17517671040355157,0.5284568989229983,0.04079742563145894,0.7864628476873374,0.7066148919045098,0.17017659141027955,0.5170539091920988,0.06756173958971515,0.7982297165970635,0.7235953229316946
perp_2000,perp_cny_logit,3,opened_2025_2026,currency,UZS,1.0,1.0,406,0.3374384236453202,0.16015697305026363,0.48995410061150485,0.03390691662698746,0.7998263370688953,0.7279762241877287,0.16015697305026363,0.48995410061150485,0.03390691662698746,0.7998263370688953,0.7279762241877287,0.15727945957515602,0.4851815111921867,0.06953283465458418,0.811277236588609,0.7403342068795791
perp_2000,perp_cny_logit,3,opened_2025_2026,year,2025,1.0,1.0,1235,0.28582995951417006,0.15836987486111598,0.4844403445893057,0.06454568814887698,0.7915020588027468,0.665895565887596,0.15836987486111598,0.4844403445893057,0.06454568814887698,0.7915020588027468,0.665895565887596,0.15640952554563278,0.4836374531382925,0.09936190255363424,0.8028977407771418,0.6770849357446312
perp_2000,perp_cny_logit,3,opened_2025_2026,year,2026,1.0,1.0,795,0.4075471698113208,0.16772548069241708,0.5109446680567874,0.10618890915912893,0.8468323241854736,0.8129665695577929,0.16772548069241708,0.5109446680567874,0.10618890915912893,0.8468323241854736,0.8129665695577929,0.16353320576184388,0.5000760342159899,0.08773946288730725,0.8483460459752038,0.812002949374136
perp_2000,perp_dual_logit,3,screen_2024,ALL,ALL,1.0,1.0,1240,0.38870967741935486,0.18267745624835477,0.5665483253350654,0.07662716367522072,0.7901854629457297,0.7208560938262705,0.18267745624835477,0.5665483253350654,0.07662716367522072,0.7901854629457297,0.7208560938262705,0.17013912240317924,0.5181408788312696,0.059909340601456036,0.8111184707518146,0.7558582229466388
perp_2000,perp_dual_logit,3,screen_2024,currency,AMD,1.0,1.0,248,0.4032258064516129,0.1850131499091486,0.5681324984489691,0.10101857159664619,0.7971621621621622,0.7409983372377831,0.1850131499091486,0.5681324984489691,0.10101857159664619,0.7971621621621622,0.7409983372377831,0.16738293652298844,0.5117958615617887,0.09935369212252625,0.8283108108108108,0.7832308786205806
perp_2000,perp_dual_logit,3,screen_2024,currency,KGS,1.0,1.0,248,0.4153225806451613,0.19566593829889595,0.5913082121830354,0.09808412460515485,0.7711416136591899,0.7186647099097542,0.19566593829889595,0.5913082121830354,0.09808412460515485,0.7711416136591899,0.7186647099097542,0.18276717568078235,0.5464516600228417,0.08054196023087085,0.797723468362906,0.7623355248573026
perp_2000,perp_dual_logit,3,screen_2024,currency,KZT,1.0,1.0,248,0.3346774193548387,0.17117722777096367,0.5388199655727606,0.0995738028518052,0.7964950711938662,0.6647318310214851,0.17117722777096367,0.5388199655727606,0.0995738028518052,0.7964950711938662,0.6647318310214851,0.15881399251444825,0.48847129854311694,0.0831347981130624,0.8292077400511135,0.7000577402225392
