clock,candidate,h,period,slice,group,physical_availability,usable_share,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
perp_2000,perp_dual_ridge,3,screen_2024,ALL,ALL,1.0,1.0,1240,53.978751813538594,58.076866280176816,75.9067648915049,81.32669408411505,0.7999050509603695,0.8080645161290323,-1.1032097540838182,7.256533989141921
perp_2000,perp_dual_ridge,3,screen_2024,currency,AMD,1.0,1.0,248,52.69343438803385,57.520960287450194,74.48275677181365,79.88822684017553,0.8035626900969425,0.8024193548387096,0.6643239379077377,11.260059967559435
perp_2000,perp_dual_ridge,3,screen_2024,currency,KGS,1.0,1.0,248,51.96272901865482,57.31265111924663,73.38075823428655,79.06150521361442,0.7955512791665551,0.8064516129032258,-0.17523157636805817,11.60782084090222
perp_2000,perp_dual_ridge,3,screen_2024,currency,KZT,1.0,1.0,248,59.53862455743364,60.72850041377158,82.1203842478924,87.32193619831544,0.7924758981072519,0.8145161290322581,-2.8759386226942163,-2.197734357613567
perp_2000,perp_dual_ridge,3,screen_2024,currency,TJS,1.0,1.0,248,52.698868600627726,57.08521426034396,75.00773113731147,80.23153858404807,0.8036633932884468,0.8346774193548387,1.7886348508349355,9.693947773216033
perp_2000,perp_dual_ridge,3,screen_2024,currency,UZS,1.0,1.0,248,53.00010250294291,57.73700532007175,74.20815862635556,79.84413024111525,0.8051550593126061,0.782258064516129,-4.917837360099492,5.918575721645483
perp_2000,perp_dual_ridge,3,screen_2024,year,2024,1.0,1.0,1240,53.978751813538594,58.076866280176816,75.9067648915049,81.32669408411505,0.7999050509603695,0.8080645161290323,-1.1032097540838182,7.256533989141921
perp_2000,perp_dual_ridge,3,opened_2025_2026,ALL,ALL,1.0,1.0,2030,55.47181112546329,55.53430629143419,71.51851888581702,71.72542053461646,0.8087208363306854,0.7940886699507389,2.042402597969469,-4.411496765229121
perp_2000,perp_dual_ridge,3,opened_2025_2026,currency,AMD,1.0,1.0,406,52.27470491991417,52.630765942192575,66.54771198477563,67.10133904518054,0.8143044074078558,0.7832512315270936,3.487097374250285,-4.765557526548862
perp_2000,perp_dual_ridge,3,opened_2025_2026,currency,KGS,1.0,1.0,406,52.80342580434784,52.895237606890426,67.76013037425658,67.60964976931031,0.8105356588115209,0.8029556650246306,0.7461482369057708,-9.207471563629
perp_2000,perp_dual_ridge,3,opened_2025_2026,currency,KZT,1.0,1.0,406,60.25628957077338,59.35941808336346,78.5497828924521,77.76476013338977,0.7914019707123156,0.7881773399014779,1.8458227553991298,-2.7481206850542206
perp_2000,perp_dual_ridge,3,opened_2025_2026,currency,TJS,1.0,1.0,406,53.615943568964276,54.33703301144172,70.22411623122812,70.84640106407682,0.8092616575375198,0.7931034482758621,4.517459691414801,-0.7410216886755443
perp_2000,perp_dual_ridge,3,opened_2025_2026,currency,UZS,1.0,1.0,406,58.4086917633168,58.44907681328278,73.84419128443024,74.71582729527366,0.8176591280039557,0.8029556650246306,-0.3845150681226343,-4.595312362237992
perp_2000,perp_dual_ridge,3,opened_2025_2026,year,2025,1.0,1.0,1235,57.63590838768904,56.87828871717607,74.9956743603364,74.69366920190721,0.7944923255554832,0.7773279352226721,2.9492651917421524,-16.815124020400106
perp_2000,perp_dual_ridge,3,opened_2025_2026,year,2026,1.0,1.0,795,52.10997449798053,53.44648453572195,65.75321065112156,66.8534948493418,0.8516543794969333,0.820125786163522,0.6336286315427254,14.857031109155992
perp_2000,perp_dual_ridge,5,screen_2024,ALL,ALL,1.0,1.0,1240,84.17833628906536,87.87514671276244,115.94530466773196,121.69576012756228,0.6559366909057565,0.7120967741935483,-3.9908050870653136,11.693101668126104
perp_2000,perp_dual_ridge,5,screen_2024,currency,AMD,1.0,1.0,248,82.84685695991418,87.3391412928252,115.1889172925934,120.76237522136496,0.6746405761481342,0.7016129032258065,-1.0652198273349658,17.68793781096913
perp_2000,perp_dual_ridge,5,screen_2024,currency,KGS,1.0,1.0,248,83.49849969801281,87.40913249926375,111.12751902441444,117.37586284819783,0.6524032659303795,0.6975806451612904,-5.346929638449958,18.194445755761237
perp_2000,perp_dual_ridge,5,screen_2024,currency,KZT,1.0,1.0,248,87.54351094673397,89.16437495026155,124.58948916555164,129.72896602767636,0.6322996045826245,0.7661290322580645,-2.2696595308120067,-2.6030078912328514
perp_2000,perp_dual_ridge,5,screen_2024,currency,TJS,1.0,1.0,248,83.77569755646333,88.76741447125234,115.33714165781966,121.62737060311369,0.6603706192144836,0.7016129032258065,-1.1531461755847094,15.363422758682368
perp_2000,perp_dual_ridge,5,screen_2024,currency,UZS,1.0,1.0,248,83.22711628420254,86.69567035020943,113.02017149418657,118.59942584272503,0.6610747548113309,0.6935483870967742,-10.119070263144922,9.822709906450632
perp_2000,perp_dual_ridge,5,screen_2024,year,2024,1.0,1.0,1240,84.17833628906536,87.87514671276244,115.94530466773196,121.69576012756228,0.6559366909057565,0.7120967741935483,-3.9908050870653136,11.693101668126104
perp_2000,perp_dual_ridge,5,opened_2025_2026,ALL,ALL,1.0,1.0,2020,86.48033346445315,85.98929425070257,108.65198382702587,108.05114687483474,0.6854009275578051,0.7475247524752475,1.4042664838487164,-7.332304159835645
perp_2000,perp_dual_ridge,5,opened_2025_2026,currency,AMD,1.0,1.0,404,82.38621612231051,82.39565463677893,102.38921992848982,102.39452259586838,0.6936118094853324,0.7425742574257426,4.264281160278199,-8.010649327759916
perp_2000,perp_dual_ridge,5,opened_2025_2026,currency,KGS,1.0,1.0,404,83.24766032778294,82.7321361849979,103.90011313680617,102.65111851952943,0.6876095219116617,0.7599009900990099,-1.1212814857483921,-14.64849780273534
perp_2000,perp_dual_ridge,5,opened_2025_2026,currency,KZT,1.0,1.0,404,90.47575000787432,88.01524337160446,117.08787415290502,114.87939829440782,0.6665975116949246,0.7475247524752475,2.984376078123698,-4.553345960029018
perp_2000,perp_dual_ridge,5,opened_2025_2026,currency,TJS,1.0,1.0,404,85.50958389545175,86.18468561400806,106.96517383023969,106.9298373815728,0.6924012335063118,0.7574257425742574,4.424296870051282,-1.929147663157653
perp_2000,perp_dual_ridge,5,opened_2025_2026,currency,UZS,1.0,1.0,404,90.78245696884623,90.61875144612351,112.23352170432759,112.79226497838617,0.6861279676354732,0.7301980198019802,-3.5303402034611975,-7.519880045496305
