kind,clock,h,best_screen_candidate,screen_loss,control_loss,adopted,selected
probability,perp_2000,3,perp_cny_logit,0.1822426294062455,0.17013912240317924,False,control
benefit,perp_2000,3,perp_dual_ridge,53.978751813538594,58.076866280176816,True,perp_dual_ridge
probability,perp_2000,5,perp_dual_logit,0.18725943723999758,0.16669721421917805,False,control
benefit,perp_2000,5,perp_dual_ridge,84.17833628906536,87.87514671276244,False,control
probability,perp_2000,10,perp_dual_logit,0.1924049622537375,0.1776578519163666,False,control
benefit,perp_2000,10,perp_dual_ridge,133.37526925827092,131.95591823040957,False,control
probability,perp_2000,20,perp_dual_logit,0.15616502942355592,0.13815963472546428,False,control
benefit,perp_2000,20,perp_dual_ridge,179.388269866908,176.2028322235762,False,control
probability,perp_2100,3,perp_dual_logit,0.1769043665965653,0.17013912240317924,False,control
benefit,perp_2100,3,perp_dual_ridge,53.717030273209055,58.076866280176816,True,perp_dual_ridge
probability,perp_2100,5,perp_dual_logit,0.18353014980656385,0.16669721421917805,False,control
benefit,perp_2100,5,perp_dual_ridge,83.00344801626451,87.87514671276244,True,perp_dual_ridge
probability,perp_2100,10,perp_dual_logit,0.19111774640419402,0.1776578519163666,False,control
benefit,perp_2100,10,perp_dual_ridge,132.00884987709296,131.95591823040957,False,control
probability,perp_2100,20,perp_dual_logit,0.15721641257216556,0.13815963472546428,False,control
benefit,perp_2100,20,perp_dual_ridge,177.66366243029776,176.2028322235762,False,control
probability,perp_2200,3,perp_dual_logit,0.17796215186793293,0.17013912240317924,False,control
benefit,perp_2200,3,perp_dual_ridge,53.94872201218616,58.076866280176816,True,perp_dual_ridge
probability,perp_2200,5,perp_dual_logit,0.18301358867543552,0.16669721421917805,False,control
benefit,perp_2200,5,perp_dual_ridge,82.08757886857035,87.87514671276244,True,perp_dual_ridge
probability,perp_2200,10,perp_dual_logit,0.19012790598299287,0.1776578519163666,False,control
benefit,perp_2200,10,perp_dual_ridge,129.9367925577723,131.95591823040957,False,control
probability,perp_2200,20,perp_dual_logit,0.15514030631936337,0.13815963472546428,False,control
benefit,perp_2200,20,perp_dual_ridge,175.7986352318842,176.2028322235762,False,control
probability,perp_2300,3,perp_dual_logit,0.1772005962690905,0.17013912240317924,False,control
benefit,perp_2300,3,perp_dual_ridge,53.14358543653313,58.076866280176816,True,perp_dual_ridge
probability,perp_2300,5,perp_dual_logit,0.184561260462075,0.16669721421917805,False,control
benefit,perp_2300,5,perp_dual_ridge,80.84655982476484,87.87514671276244,True,perp_dual_ridge
probability,perp_2300,10,perp_dual_logit,0.19120483884491804,0.1776578519163666,False,control
benefit,perp_2300,10,perp_dual_ridge,126.83187569656877,131.95591823040957,False,control
probability,perp_2300,20,perp_dual_logit,0.1549984685984562,0.13815963472546428,False,control
benefit,perp_2300,20,perp_dual_ridge,171.6470340513205,176.2028322235762,False,control
