clock,candidate,h,origin,n_train,n_query,constant_prediction,weighted_train_mean,target_clip_lo,target_clip_hi,coefficients,last_target_maturity,min_train_date
perp_2000,perp_dual_ridge,3,2023-01-01,1055,285,False,-12.96899879704078,-842.7719877545255,1192.6259129933699,"[13.535158674203013, 29.440301929169944, 10.01354846220451, 19.063981238268173, -29.1039215896304, -24.32441579890533, -11.856133436437805, -8.027241777415398, 267.4038237267382, -14.108394399615994, 73.4450973148998, -65.54832557868036, 23.945367221268462, -34.458517077399684, -3.582816181985148, 14.357280159591385, 0.26657872702281266, -5.776522131825679, 10.27711075280419, -7.398618397286604, 1.504887643114611, -3.163240562112352, -1.2136212270589202, 2.469514587723452, 0.40245955833452157, 0.0, 4.168011617186255, 23.27872570877128, 6.313913076926107, 69.5818235970618, -6.160819516629839, 2.1259918420923802, 17.513963074690274, -6.9720145432041285, -54.99159263694497, 23.290762867610418, 3.2103224618393806, 7.755770962468344, 12.708844495999601, 3.231711649259304]",2022-12-29,2022-02-24
perp_2000,perp_dual_ridge,3,2023-04-01,1335,305,False,-3.0791376987464445,-801.3518422066961,1056.9217188253947,"[16.364588866976362, 15.886901607322052, 13.079542948494977, 16.77085339940335, -35.220559079447895, -1.785132932171762, -13.463993080831143, -5.215764113407994, 234.32448344122167, -11.267201915764694, 69.10845224956556, -62.29770394599055, 10.208962978642836, -10.321976303714221, -10.155543032992515, 20.313584125207775, 15.401877265787242, 2.2541306229483604, -1.1734481639791536, -10.73433995923118, -0.8691678305992836, -1.7567234571429737, -1.3724442957545644, 3.103779170619442, 0.8945564128777145, -5.356977093000358, 3.9168015864580856, 20.70704383284712, 6.8469325679872695, 55.42271977496229, -1.2584189912049635, 0.7602588856612372, 15.957108887371241, -4.204910423890398, -51.18777429337143, 22.001414650240672, 3.7198232452806836, 6.893985353423975, 11.39280734965106, 6.2324891452461735]",2023-03-29,2022-02-24
perp_2000,perp_dual_ridge,3,2023-07-01,1640,325,False,5.008419034113076,-771.6693577022261,1031.6887730187964,"[12.72287292933235, 6.126145384216577, 9.044389041555938, 10.429524866315555, -29.132915085211238, 4.937923623577069, -15.526421875026843, -0.10921237295109339, 213.24872568390236, -13.180973059465977, 51.285776327360004, -41.89388169035214, 15.826829189930281, -13.413292547434379, -7.364412738616239, 14.236336563211559, 15.693167748603802, 9.236603186145649, -0.598060873397495, -10.667562002225187, -0.5358703644250028, -1.46203531401305, -0.745397829281133, 1.8409224848836796, 0.9023810228368989, -1.114305804265653, 3.813246859595902, 18.167475373527232, 4.420304285645237, 52.16898043990337, 0.3130509223866426, 3.8440914025415234, 12.839220390958905, -5.534373505601462, -44.558207775668684, 20.09812320709333, 1.7783362424518958, 7.182998670552588, 9.641472931693986, 3.720269133210345]",2023-06-28,2022-02-24
perp_2000,perp_dual_ridge,3,2023-10-01,1970,320,False,10.008684603865223,-757.8615025300123,1018.4048138366958,"[16.580977960577524, 8.18971212714361, 5.110385374376249, 11.02785109592446, -20.316505514060555, 4.906125345575948, -10.588842305574383, -1.581524712876587, 197.9550110548197, -9.778795363194435, 45.36590604576431, -36.8030440263955, 16.46055523347201, -14.465222445820983, -3.7481834664609757, 11.996322723683184, 14.181015340833207, 12.093097613646007, 2.995578447651016, -6.886550582796231, 0.1440879840251616, -1.7856378217728126, -0.31221006688609043, 1.6629503131687426, 0.290809591464773, -4.0581914265999846, 5.631493139497015, 16.03416116844708, 0.5882117580759897, 38.95103977613419, 2.489247809058451, 9.991886744206179, 9.811510762224106, -13.289111460650247, -26.883051939270096, 20.06546838237081, -0.43503151280610936, 7.746574625415953, 9.89474845429065, 1.710959947586865]",2023-09-28,2022-02-24
perp_2000,perp_dual_ridge,3,2024-01-01,2295,285,False,5.0482469793745715,-742.5718062969838,958.9101521024478,"[20.296855165437524, -0.9739600298683093, 0.29747082882681625, 8.384886141445305, -4.919284635167153, -1.3283508883946047, -2.1001067037780876, 2.5852291041319697, 184.5162582451416, -8.07626022658435, 32.786585616037094, -25.650882288959906, 19.52788803244821, -17.22141856300642, -3.4420253605077793, 6.145273581865984, 4.145363027282595, 10.092144148810346, 9.70680074665369, -3.610220364770309, 0.18047927830005064, -1.7353882279744344, 0.11652194494677846, 0.379323317294355, 1.0590636874317856, -0.5140477705690302, 6.1237825378114925, 13.965491693244722, 2.340699178599255, 16.584251112903395, 10.399489785832973, 8.8398210145532, 8.402560452995159, -9.141605829224206, -21.45130948487704, 21.506598801884383, 0.707568320949137, 7.017470034810569, 9.218221494774381, 1.7739550269360829]",2023-12-29,2022-02-24
perp_2000,perp_dual_ridge,3,2024-04-01,2580,300,False,5.078179946618289,-727.5348092166499,933.740774794699,"[19.787152057566118, 2.472097666298908, 5.4141511391981965, 11.956865722592198, -13.292519899045578, -4.264949847422866, -2.0948377433869454, 1.4202516417421445, 173.1786944490935, -7.117550644251244, 25.800177761963553, -19.02068442772656, 20.76059328410185, -15.539644595262203, -2.709078727406334, 7.19945293298855, 4.899577127295979, 10.798306203150922, 7.755193029906648, -3.30394141598877, 0.11991696396730067, -1.7657637844492915, -0.0022638233459894835, 0.9164265651255165, 0.7316840787030535, -3.5620961424587625, 5.667475624729531, 13.697818569945163, 2.5451798963533214, 12.891382232381739, 9.71852748489234, 8.028299231151617, 8.012509559380904, -8.231461385366371, -19.880963751321126, 20.955704462378026, 0.7221308963286042, 7.026587883683142, 8.956257311043641, 1.8422926885961508]",2024-03-29,2022-02-24
perp_2000,perp_dual_ridge,3,2024-07-01,2880,330,False,1.680308160607269,-706.6365101753589,900.1720306092666,"[18.378657532787294, -4.0094827499312995, -0.21945181602436512, 6.509638790514218, 4.755536399378855, -6.402198123597847, 5.282940189061237, 5.796276288199294, 162.0971105415651, -4.27285003768566, 17.58156408402571, -11.872005659887167, 21.37381271406888, -15.428127773014882, -3.6408580431838353, 2.923528597886313, 11.950176103328017, 11.239634049159616, 4.9486920697695265, -3.7582261906611967, 0.18223791795251065, -1.5501451366121743, 0.28417072048685516, 1.0942363060227214, -0.010499807848681916, -3.556026269968845, 8.09776610593752, 11.951195440831695, 2.2481352430704242, 14.394416589919745, 12.14388816897527, 12.49504143327648, 3.6553090912404107, -6.458139723065491, -12.313832676486273, 20.769719470615254, 0.13730832061595216, 9.480897731465374, 7.709686492037806, -7.231309879498002]",2024-06-28,2022-02-24
perp_2000,perp_dual_ridge,3,2024-10-01,3205,325,False,4.076284620669911,-699.930554164585,863.3942200401884,"[20.884217862763904, -5.407453195918972, 5.852147203590134, 11.581663036033914, 7.873756509864034, -15.188828879149789, 11.161259441220272, -0.38605250163469784, 152.97724359975246, -5.45449826385975, 14.31413449433524, -10.449576251542604, 8.46994455129362, -2.6169630374946524, -2.0665453074272677, -5.295043422203342, 11.749016938048586, 11.40839722563781, 3.607086073138279, -5.233080654486038, 0.16802245111168254, -1.3326162308219616, 0.7741737164140221, 0.8315152909396628, -0.4410952276425251, -3.205680159451246, 6.967611978040209, 10.225628752056643, 0.9328693541823152, 22.469062583530782, 7.757890897577431, 12.107190568168994, 4.13879582259265, -8.252274368420883, -7.35200010488456, 17.53952574069875, -0.9902328309804977, 7.070253855045047, 7.455225605680076, -7.345697489797618]",2024-09-27,2022-02-24
perp_2000,perp_dual_ridge,3,2025-01-01,3535,290,False,4.937649684207203,-686.4704442287211,854.0191462166989,"[22.42017331677744, 1.626109701279331, 9.082330662532446, 13.551679223682644, 5.260132754332939, -13.66644007736246, 8.9174337665503, -11.444859195383113, 150.21735287983287, -3.7750966305986355, 21.13049347225718, -17.74952306280127, 4.001048787450441, 7.528088936786856, -4.597348151656548, -3.446172638559084, 11.201576401720404, 12.039523435900463, 1.598961125181652, -3.998763092585239, 0.016953882232708842, -0.9200696181205819, 0.4855415161857914, 1.3792668454345702, -0.9616926257312793, -4.937635230204554, 6.661631292223961, 8.864547011603204, 1.396898484287799, 24.08135066004434, 4.257280288680613, 13.051357383143056, 3.9609841165517685, -6.257208691433499, -8.208376396794293, 15.80321202657761, -2.3699036531081576, 5.821482166580246, 6.718842004266123, -6.120488801692466]",2024-12-28,2022-02-24
perp_2000,perp_dual_ridge,3,2025-04-01,3820,295,False,-2.414765280309721,-670.5447983553406,816.0471126819657,"[28.109041666874887, 7.430407645600134, 6.523471736079238, 17.165230274421045, 4.545919677418204, -17.49607334283423, 8.887408132561976, -15.29592560651517, 145.784399385715, -1.7062467451193501, 18.409168177775896, -17.481039515744904, 7.693320999280147, 3.261044918174237, -3.207052876173868, 3.5911910773937126, 14.787696520476645, 11.326336444363667, 3.014813004263578, -0.3154184309262973, 0.0011593696213158195, -0.992115511753556, 0.48514929531081175, 1.3650495556329525, -0.8592427088108179, -5.480993953582469, 7.596519980851993, 8.088620909090663, 2.833020953842496, 23.72525836432999, 4.169468205788043, 14.19167174540345, 2.065471604952067, -2.797424638821086, -13.961010451220332, 17.494922677702377, -2.415981820111314, 7.088849829804925, 5.960058963052605, -5.284974296695001]",2025-03-28,2022-02-24
