clock,candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
perp_2000,perp_dual_hgb,3,2023-07-01,0,0,0.5,325,True,0.0,[],,2022-02-24
perp_2000,perp_dual_hgb,3,2023-10-01,305,146,0.4781417572765785,320,False,0.4507534935546519,"[1.0262452427484217, -0.08466313152997362, 0.08709590681887171, 0.25342932141970553, -0.04129118508588092, -0.216754752591713]",2023-09-28,2022-02-24
perp_2000,perp_dual_hgb,3,2024-01-01,630,253,0.3977539695879805,285,False,-0.40919412596799615,"[0.743990650430467, 0.036640197840125364, 0.08405290042356056, 0.22615170947409313, -0.32731365672372886, -0.015106243367261657]",2023-12-29,2022-02-24
perp_2000,perp_dual_hgb,3,2024-04-01,915,364,0.39567383509278337,300,False,-0.08364195721712993,"[0.7052805370186773, 0.01412533476487259, 0.09297347702176624, 0.1171431730153465, -0.13880857710714936, -0.16244412299579683]",2024-03-29,2022-02-24
perp_2000,perp_dual_hgb,3,2024-07-01,1215,441,0.3561938457865919,330,False,-0.1477731591082309,"[0.6864234973054358, -0.01650881597621354, -0.001713810815982619, 0.10976991120473245, -0.14715300110774987, -0.08352645704831026]",2024-06-28,2022-02-24
perp_2000,perp_dual_hgb,3,2024-10-01,1540,582,0.375726115062628,325,False,0.024640356828208393,"[0.6808029770900715, -0.022909906186552368, -0.042978016868704685, 0.21995153869649609, -0.09026446283146058, -0.03951730714809591]",2024-09-27,2022-02-24
perp_2000,perp_dual_hgb,3,2025-01-01,1870,726,0.3882407100000498,290,False,-0.018876214795750742,"[0.66223583487433, 0.033526389177479785, -0.01172479704472303, 0.1430205616877157, -0.060096823262432805, -0.1221943497768557]",2024-12-28,2022-02-24
perp_2000,perp_dual_hgb,3,2025-04-01,2155,791,0.3609792982429203,295,False,-0.09696420527395685,"[0.7053050105405941, 0.0013463745466919756, -0.037419021542852704, 0.08933510801408824, -0.055461800926166156, -0.09042900551248544]",2025-03-28,2022-02-24
perp_2000,perp_dual_hgb,3,2025-07-01,2450,858,0.33971234851847903,330,False,-0.14969932936686384,"[0.708051511423578, 0.09505663494850075, -0.02632502771711147, -0.024259859279837197, -0.08998537104250011, -0.0977730719881712]",2025-06-27,2022-02-24
perp_2000,perp_dual_hgb,3,2025-10-01,2775,1001,0.35608363062718484,320,False,-0.1021333107841464,"[0.7203895913617346, 0.1043234013817746, -0.048394688288450796, 0.015730943398143283, -0.06570896969999761, -0.10384688345279822]",2025-09-26,2022-02-24
perp_2000,perp_dual_hgb,3,2026-01-01,3100,1082,0.340066059868535,275,False,-0.1862724711105691,"[0.7531290085588075, 0.058593273528186135, -0.06856313001592698, -0.01808726199249698, -0.0835910574415147, -0.06841972053083724]",2025-12-29,2022-02-24
perp_2000,perp_dual_hgb,3,2026-04-01,3370,1181,0.3436225966301747,310,False,-0.12541960439753227,"[0.7933926580512599, 0.030063399942545695, -0.01979874534715594, -0.014491682452331808, -0.07255164262911254, -0.04369601019053338]",2026-03-27,2022-02-24
perp_2000,perp_dual_hgb,3,2026-07-01,3680,1273,0.3381453883386383,225,False,-0.10014545022442368,"[0.8014842681175115, 0.052814494346825024, 0.012266883966192795, -0.014446828953504428, -0.05661809096459423, -0.09009999589245005]",2026-06-26,2022-02-24
perp_2000,perp_dual_hgb,5,2023-07-01,0,0,0.5,325,True,0.0,[],,2022-02-24
perp_2000,perp_dual_hgb,5,2023-10-01,295,121,0.40918187448626897,320,False,0.15494384699758845,"[0.7789349565644443, 0.05529888116653845, -0.05210515020709636, 0.21627248058390283, 0.06304829771451269, -0.16158373121898933]",2023-09-28,2022-02-24
perp_2000,perp_dual_hgb,5,2024-01-01,620,209,0.3339523939601101,285,False,-0.43314068030043734,"[0.6696459541149244, 0.13154711221384438, 0.029245317324214086, 0.21954734923785418, -0.284749552007105, -0.09500592402560355]",2023-12-29,2022-02-24
perp_2000,perp_dual_hgb,5,2024-04-01,905,307,0.3382355178830307,300,False,-0.15329729920908375,"[0.5845197733125836, 0.09056564534263697, 0.04362967656690255, 0.11702850022667993, -0.1303833310125439, -0.2621096161515284]",2024-03-29,2022-02-24
perp_2000,perp_dual_hgb,5,2024-07-01,1205,357,0.2891423567231759,330,False,-0.25782847113316926,"[0.6119683001346777, 0.019879124024361643, -0.07601889398465224, 0.10877875791720956, -0.13234234157310226, -0.16270290185756603]",2024-06-28,2022-02-24
perp_2000,perp_dual_hgb,5,2024-10-01,1530,484,0.3151552959322331,325,False,-0.06582439426418926,"[0.6034403323296168, 0.03184843341985037, -0.06615976115292431, 0.24187728261232855, -0.08938251880457439, -0.17976096582182935]",2024-09-27,2022-02-24
perp_2000,perp_dual_hgb,5,2025-01-01,1860,614,0.33189130330613614,290,False,-0.09249740464985606,"[0.6016533781377393, 0.0623469408048708, -0.0035200311482177097, 0.13869060269877923, -0.03948911485119839, -0.24594096829613904]",2024-12-28,2022-02-24
