candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,empty_complete_months,calendar_gap_max,rate_cap_pass,joint_early_pass
extra_ap12_top3125_cap2,1.9084458156575397,2.0206504279310833,1.0489296636085628,1.1345565749235473,108.01545638187962,39.53613409600881,27.43631777190175,2,1.150323466037475,0,40,True,True
extra_ap12_silence14_month24_cap2,1.9099630415978612,2.0555687044415647,1.0061162079510704,1.1131498470948011,109.8017062990703,42.168547838557934,30.586314585326587,2,1.1693463472507664,0,38,True,True
extra_ap12_top3125_month24_cap2,1.9084458156575397,2.0206504279310833,1.0489296636085628,1.1345565749235473,108.01545638187962,39.53613409600881,27.43631777190175,2,1.150323466037475,0,40,True,True
extra_ap12_adaptive100_cap2,1.9074152952565344,2.028547382159444,1.0489296636085628,1.1345565749235473,107.21662429935957,39.911845281034296,27.505388434560544,2,1.141816208643703,0,40,True,True
extra_ap12_adaptive100_month24_cap2,1.9074152952565344,2.028547382159444,1.0489296636085628,1.1345565749235473,107.21662429935957,39.911845281034296,27.505388434560544,2,1.141816208643703,0,40,True,True
extra_h5_r30_nogap_cap2,1.9109240407204386,2.0298302070062504,1.0061162079510704,1.1131498470948011,108.88877923825257,39.69086458041126,27.450304768035778,2,1.159624021798319,0,40,True,True
extra_ap12_silence14_r80_cap2,1.9099630415978612,2.0555687044415647,1.0061162079510704,1.1131498470948011,109.8017062990703,42.168547838557934,30.586314585326587,2,1.1693463472507664,0,38,True,True
extra_ap12_adaptive105_cap2,1.901037980655815,2.0221016296827607,1.0061162079510704,1.1131498470948011,108.02704922359698,39.583788698749075,27.23345077040514,2,1.1504469253859073,0,40,True,True
extra_ap12_top35_cap2,1.8922199473530272,1.9717344594650088,1.1131498470948011,1.1773700305810397,104.64065757916768,38.31509605165219,25.626156601528198,2,1.1143831442913923,0,40,True,True
extra_roll2_silence21_r70_cap2,1.9122499122499121,2.034214233005266,1.0061162079510704,1.1131498470948011,108.7545850657136,41.300769460245085,29.846608978062786,2,1.1581949049770068,0,38,True,True
extra_roll2_primary_cap2,1.9079393891563412,2.029505366237478,0.9847094801223242,1.1131498470948011,108.20462867289824,39.9724544388838,27.623543997690426,2,1.152338078878747,0,40,False,False
local_extra_primary_cap2,1.8763215562646571,1.9680105930350735,0.9204892966360856,1.198776758409786,102.87086027534002,38.517746394875076,27.618503842200223,2,1.0955354771434123,0,40,False,False
extra_roll2_reserve7_cap2,1.8942747260721284,2.0048123831314966,1.1131498470948011,1.198776758409786,107.74427178560164,39.06352314739521,27.66775869158176,2,1.147435453384697,0,38,True,True
known_change_z_urgent_cap2,1.8038329697725148,1.8734933489224685,1.1773700305810397,1.3272171253822629,110.92766220087972,45.47189344658228,2.8837958986028593,2,1.1362578373456118,0,17,True,True
hazard_hist_h5_urgent_cap2,1.8430101657910896,1.9116716507443394,1.1345565749235473,1.2844036697247707,100.04855811682131,47.9671905286277,39.476262979292535,2,1.0654790342051503,0,17,True,True
ap1_change_z_r25_exact_cap2,1.987300976477945,2.131775386401204,0.8348623853211009,0.9418960244648318,141.28243711456196,43.40387988303234,-10.812639088119141,2,1.411644902431625,0,37,False,False
known_next_not_lower_cd3,1.7533151059466847,1.7591109063345092,1.348623853211009,1.4770642201834863,93.90007208490756,40.69317390950933,-10.206092906394302,2,1.0,0,17,True,False
