h,currency,year,bin_left,bin_right,n,predicted,actual
3,ALL,ALL,0.0,0.1,69,0.08296880898265653,0.043478260869565216
3,ALL,ALL,0.1,0.2,716,0.1567796395165086,0.11173184357541899
3,ALL,ALL,0.2,0.30000000000000004,771,0.24895199487798142,0.17898832684824903
3,ALL,ALL,0.30000000000000004,0.4,509,0.34542467742704364,0.27897838899803534
3,ALL,ALL,0.4,0.5,351,0.4467222064748275,0.452991452991453
3,ALL,ALL,0.5,0.6000000000000001,292,0.5477008922039653,0.613013698630137
3,ALL,ALL,0.6000000000000001,0.7000000000000001,224,0.6473923233041873,0.7366071428571429
3,ALL,ALL,0.7000000000000001,0.8,197,0.7487982262579864,0.817258883248731
3,ALL,ALL,0.8,0.9,119,0.8489157121459436,0.9411764705882353
3,ALL,ALL,0.9,1.0,22,0.9158010954684257,0.9090909090909091
5,ALL,ALL,0.0,0.1,80,0.0872057609144458,0.025
5,ALL,ALL,0.1,0.2,881,0.15262344282236806,0.09988649262202043
5,ALL,ALL,0.2,0.30000000000000004,874,0.2462112659219997,0.17505720823798626
5,ALL,ALL,0.30000000000000004,0.4,501,0.34350091889488693,0.3253493013972056
5,ALL,ALL,0.4,0.5,314,0.44588952431461165,0.46496815286624205
5,ALL,ALL,0.5,0.6000000000000001,234,0.5468440755674999,0.5982905982905983
5,ALL,ALL,0.6000000000000001,0.7000000000000001,171,0.6447363926800158,0.6491228070175439
5,ALL,ALL,0.7000000000000001,0.8,138,0.7490633960300229,0.7536231884057971
5,ALL,ALL,0.8,0.9,60,0.8406424399155398,0.8166666666666667
5,ALL,ALL,0.9,1.0,7,0.9155154338627306,0.5714285714285714
10,ALL,ALL,0.0,0.1,162,0.0814004450330415,0.09876543209876543
10,ALL,ALL,0.1,0.2,1212,0.15819316524595364,0.1485148514851485
10,ALL,ALL,0.2,0.30000000000000004,1212,0.24147461953916427,0.2103960396039604
10,ALL,ALL,0.30000000000000004,0.4,419,0.3425698186034628,0.4224343675417661
10,ALL,ALL,0.4,0.5,164,0.4446010154990173,0.43902439024390244
10,ALL,ALL,0.5,0.6000000000000001,51,0.5386371356207938,0.5098039215686274
10,ALL,ALL,0.6000000000000001,0.7000000000000001,15,0.6306386038384303,0.8
20,ALL,ALL,0.0,0.1,280,0.08415445997442675,0.08214285714285714
20,ALL,ALL,0.1,0.2,1905,0.15002696686320818,0.13648293963254593
20,ALL,ALL,0.2,0.30000000000000004,789,0.23630278272950342,0.20659062103929024
20,ALL,ALL,0.30000000000000004,0.4,166,0.3352095556060511,0.3433734939759036
20,ALL,ALL,0.4,0.5,42,0.4353432858686094,0.47619047619047616
20,ALL,ALL,0.5,0.6000000000000001,3,0.5408134488128468,1.0
