h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
3,2023-01-01,630,258,0.4104863057461381,285,False,-0.21662026771598208,"[0.1624973832301053, -0.02384404612732827, -0.022955688963031167, -0.12398443770105519, 0.08625934605601324, -0.11149712529287971]",2022-12-29
3,2023-04-01,910,399,0.4416261488612457,305,False,-0.07098076457715573,"[0.36808278744001416, -0.027938056161519696, -0.001447398819134946, -0.13395482934617858, 0.19196019123323294, -0.09452655684525671]",2023-03-29
3,2023-07-01,1215,534,0.4417801284486275,325,False,-0.14706132513510511,"[0.538867385585279, -0.0033212793471866895, -0.03290290582376058, -0.1400151206533681, 0.13700345706879935, -0.09935744626440857]",2023-06-28
3,2023-10-01,1545,704,0.45973240184503,320,False,-0.08775433884173334,"[0.6880803860385897, 0.005243924144845106, -0.01920990188516558, -0.08979497121715226, 0.16177929265799318, -0.1414019815972777]",2023-09-28
3,2024-01-01,1870,811,0.4317910614665061,285,False,-0.2506873567436193,"[0.7209514417320374, -0.008277031315912623, -0.032896563940379035, -0.08553955325856744, 0.014125622011130946, -0.12796336143913345]",2023-12-29
3,2024-04-01,2155,922,0.42498254577949196,300,False,-0.24133282453772836,"[0.7583101468204474, -0.01568094613925771, -0.008368640043820829, -0.0843694124994459, 0.04969135386962113, -0.17379514227723297]",2024-03-29
3,2024-07-01,2455,999,0.3973178411935986,330,False,-0.3047367446067044,"[0.7994116904183162, -0.040083367416119994, -0.06624045314178155, -0.08187159808137871, 0.007236293378040658, -0.11380013191411477]",2024-06-28
3,2024-10-01,2780,1140,0.40334785487766145,325,False,-0.24403237706227085,"[0.8650914673146222, -0.05734499354162549, -0.10325207953618573, -0.0014004069928507787, 0.0009844244153237006, -0.07457327399000814]",2024-09-27
3,2025-01-01,3110,1284,0.4079402488342924,290,False,-0.21268533879932472,"[0.896254689181119, -0.009510216636269784, -0.07805969698880778, -0.014880704797252842, 0.012286075955607503, -0.11636640261845611]",2024-12-28
3,2025-04-01,3395,1349,0.3853422190943262,295,False,-0.2829197884700635,"[0.9512503560460541, -0.03867110145854269, -0.0992459973853527, -0.044653656740098746, 0.00665892143026683, -0.0982628344126896]",2025-03-28
3,2025-07-01,3690,1416,0.3659505897939273,330,False,-0.34477209191101105,"[0.9614527516774023, 0.03328069999525817, -0.09539129275089867, -0.12480309687626857, -0.030853424617696815, -0.11614509990109069]",2025-06-27
3,2025-10-01,4015,1559,0.37566773120756214,320,False,-0.3218247456301255,"[0.9682820463982135, 0.044775457200838004, -0.1257283421698343, -0.08844922163098098, -0.022457705073558917, -0.11990810861405614]",2025-09-26
3,2026-01-01,4340,1640,0.3600387233060601,275,False,-0.4313504293683609,"[0.990932942878115, 0.009586301138988198, -0.15088395525865436, -0.12407097862141901, -0.0455702542765698, -0.10821172619713054]",2025-12-29
3,2026-04-01,4610,1739,0.3610209934953768,310,False,-0.41469574247940444,"[1.0484088341118223, -0.010272620934600811, -0.1145173340228576, -0.12348853617540788, -0.04427497374099628, -0.10947812092662407]",2026-03-27
3,2026-07-01,4920,1831,0.3543682087384395,225,False,-0.41511563527516504,"[1.0616774835877074, 0.007342294619732569, -0.09336135859500906, -0.12174999891951968, -0.03631293985835854, -0.15830380351106596]",2026-06-26
5,2023-01-01,620,223,0.3614093003991184,285,False,-0.3981786313633174,"[0.16791195103245216, 0.16645813593980346, -0.09313755062325635, -0.11489241441940397, 0.1296047412128217, -0.08923022773768903]",2022-12-29
5,2023-04-01,900,339,0.3792836018917022,305,False,-0.2055917905699553,"[0.3851933163362991, -0.037336877740899097, -0.04463087960158992, -0.2161709584051548, 0.14989008081441468, -0.044528364064851014]",2023-03-29
5,2023-07-01,1205,458,0.38230326512012136,325,False,-0.09613985709012864,"[0.6864240922860434, 0.0027054467819168726, -0.059798502215933205, -0.12432620823253594, 0.17454195565789266, -0.08245774034312041]",2023-06-28
