h,slice,group,n,positive_rate,brier_raw,logloss_raw,ece_raw,auc_raw,average_precision_raw,brier_calibrated,logloss_calibrated,ece_calibrated,auc_calibrated,average_precision_calibrated,brier_prior,logloss_prior,ece_prior,auc_prior,average_precision_prior
3,ALL,ALL,3270,0.354434250764526,0.16895011687231895,0.516211437517174,0.08659707801068042,0.8128489211161878,0.7320769014202276,0.16479114240339207,0.5060853771535551,0.05767938438552502,0.8086730054045348,0.7278305059233527,0.23181305760768414,0.6564786514812708,0.03426869505257549,0.46252527436506014,0.34414981843364184
3,currency,AMD,654,0.35932721712538224,0.17008156707042982,0.5189645623160388,0.08136560459701069,0.812359721728533,0.7306787097893163,0.16711850959495048,0.511911647548315,0.06141784725268055,0.8071903722134769,0.7239074970309871,0.232550662890412,0.6579685353181688,0.029375728691719227,0.471599045346062,0.35914244550408075
3,currency,KGS,654,0.3486238532110092,0.17044766059997363,0.5202547257358396,0.10410081438398379,0.8117226752326826,0.7288559146564052,0.1649989431457515,0.5072858145243951,0.061772452002007004,0.8085207149328721,0.7191171935315829,0.22999702192763555,0.6527406110722974,0.040079092606092326,0.47476011036982124,0.34634002412078435
3,currency,KZT,654,0.3302752293577982,0.15953326347714789,0.49251369895869823,0.09023602496210126,0.8300989345509893,0.7159394051803429,0.1559195568932156,0.48162959879172673,0.06280022363456536,0.8289573820395738,0.7210813023886596,0.2271219839675083,0.64695784329185,0.05842771645930333,0.43976196516150856,0.3066715660918885
3,currency,TJS,654,0.37767584097859325,0.1738736053326036,0.528237400128431,0.07981134454560213,0.8058769111400691,0.7436111640712717,0.17174369459544825,0.5231935678650714,0.06537373073430174,0.8011121169015906,0.7390903990962748,0.2368380744016707,0.6666971717572028,0.037869495313777146,0.4718638402848928,0.36740421351600067
3,currency,UZS,654,0.3562691131498471,0.17081448788143988,0.521086800446862,0.103704290664284,0.8049707930229476,0.747030286324651,0.1641750077875945,0.5064062570382669,0.0699031084586739,0.7998939781635794,0.7425180582340896,0.23255754485119423,0.6580290959668351,0.032433832667254386,0.4534931136778364,0.34472639175395725
3,year,2024,1240,0.38870967741935486,0.16574187550623204,0.5101295991498728,0.05631456462811319,0.8157358849998358,0.7575695149603203,0.17134223627901993,0.5224880163660656,0.07031380973917148,0.8107352828474146,0.7538728143517563,0.2397894575455073,0.6726569887781835,0.05526482378480175,0.45528334008473936,0.376838160614376
3,year,2025,1235,0.28582995951417006,0.17685374185207015,0.5328629728523802,0.16516884802437976,0.806918990447926,0.6801858429082184,0.15845160245055384,0.4917154146281999,0.10566730508179745,0.8031257828910602,0.6777273557440797,0.21578707701163677,0.623817418634513,0.09713036065845096,0.39990235943291386,0.25035653622343035
3,year,2026,795,0.4075471698113208,0.16167620799679075,0.499830095927833,0.08575600798734981,0.8433330712170062,0.8047032176051823,0.16442130018449475,0.5028245357639959,0.08632130703607298,0.8411706115173913,0.8023993463598322,0.24426758605198318,0.6819824053398547,0.04862329468200549,0.4254442871746481,0.3757530869977614
5,ALL,ALL,3260,0.294478527607362,0.16797062004244132,0.51397839299118,0.09278396185446756,0.7909320652173913,0.6169906778179178,0.1629757109473859,0.5002090111816846,0.04477790769809528,0.7870249094202899,0.6073911804528082,0.21103653287303226,0.6135300051411768,0.0586972231295678,0.46461050724637687,0.2889324600541874
