scenario,clock,brier_identity_h20,brier_unified_h20_phase_shadow,logloss_identity_h20,logloss_unified_h20_phase_shadow,ece_identity_h20,ece_unified_h20_phase_shadow,auc_identity_h20,auc_unified_h20_phase_shadow,average_precision_identity_h20,average_precision_unified_h20_phase_shadow,brier_delta,logloss_delta,ece_delta,auc_delta,average_precision_delta,brier_ci_low,brier_ci_high,auc_ci_low,auc_ci_high,route_source,modified,route_source_count,pass
calendar_assumed_replay,00:15,0.12428935098399156,0.11606031166248154,0.4201615955475662,0.3907904733666878,0.036075777056309745,0.042364882269007795,0.3741152962054678,0.6494202451568987,0.10152054427289763,0.22914967626683502,-0.00822903932151002,-0.029371122180878395,0.00628910521269805,0.2753049489514309,0.12762913199393738,-0.014859950792064518,-0.002797069916727665,0.10435134723341946,0.43188610071803035,t34_early_publication,True,1,True
calendar_assumed_replay,06:00,0.12428935098399156,0.11606031166248154,0.4201615955475662,0.3907904733666878,0.036075777056309745,0.042364882269007795,0.3741152962054678,0.6494202451568987,0.10152054427289763,0.22914967626683502,-0.00822903932151002,-0.029371122180878395,0.00628910521269805,0.2753049489514309,0.12762913199393738,-0.0155870221577601,-0.0026448397844146105,0.09921944884911714,0.4310921320663592,t34_early_publication,True,1,True
calendar_assumed_replay,09:15,0.12428935098399156,0.11606031166248154,0.4201615955475662,0.3907904733666878,0.036075777056309745,0.042364882269007795,0.3741152962054678,0.6494202451568987,0.10152054427289763,0.22914967626683502,-0.00822903932151002,-0.029371122180878395,0.00628910521269805,0.2753049489514309,0.12762913199393738,-0.0156187796090295,-0.0026289236530844984,0.09488610571262188,0.43332164744109397,t34_early_publication,True,1,True
calendar_assumed_replay,10:15,0.11875734888999052,0.11606031166248154,0.4000760592456141,0.3907904733666878,0.03182679756896785,0.042364882269007795,0.5664948911506165,0.6494202451568987,0.17520816131024183,0.22914967626683502,-0.0026970372275089832,-0.009285585878926306,0.010538084700039946,0.0829253540062822,0.05394151495659319,-0.006694490138051248,0.0008666853865444827,-0.04650641473884532,0.2017485419725257,t34_early_publication,True,1,False
calendar_assumed_replay,10:45,0.11770455971760314,0.11770455971760314,0.3952768542826707,0.3952768542826707,0.03147655921957627,0.03147655921957627,0.5993069092484298,0.5993069092484298,0.18757891920287384,0.18757891920287384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,11:45,0.11777707207577807,0.11777707207577807,0.3944596237333479,0.3944596237333479,0.03171365247598176,0.03171365247598176,0.6115178427949602,0.6115178427949602,0.19270254644555398,0.19270254644555398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,12:45,0.11761612810734255,0.11761612810734255,0.3935752544573411,0.3935752544573411,0.0316281361789471,0.0316281361789471,0.6166236978347901,0.6166236978347901,0.19912522948597194,0.19912522948597194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,13:45,0.11712235216117395,0.11712235216117395,0.39149584968715967,0.39149584968715967,0.03141475375351321,0.03141475375351321,0.6296336220878761,0.6296336220878761,0.20631369216327045,0.20631369216327045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,14:45,0.11682219225255243,0.11682219225255243,0.39013809669263905,0.39013809669263905,0.031042854593878615,0.031042854593878615,0.6370381349630547,0.6370381349630547,0.2119387794102788,0.2119387794102788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,15:10,0.11573440001112661,0.11573440001112661,0.385663044076101,0.385663044076101,0.031575012584157576,0.031575012584157576,0.6426580190021051,0.6426580190021051,0.2242290907394312,0.2242290907394312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,15:25,0.11559740012808753,0.11559740012808753,0.3852979292391892,0.3852979292391892,0.03156714423630308,0.03156714423630308,0.643303300066175,0.643303300066175,0.22428330454073092,0.22428330454073092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,15:45,0.11559408523676269,0.11559408523676269,0.3851716670705343,0.3851716670705343,0.03173654225936399,0.03173654225936399,0.6439266226098899,0.6439266226098899,0.22449787024965234,0.22449787024965234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,16:45,0.11580200154319217,0.11580200154319217,0.3861549582066332,0.3861549582066332,0.032349341806215716,0.032349341806215716,0.6407431362156886,0.6407431362156886,0.2223295571589361,0.2223295571589361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,17:45,0.11561666060119635,0.11561666060119635,0.38732321482108845,0.38732321482108845,0.033247472267899966,0.033247472267899966,0.642939986365755,0.642939986365755,0.22632738412190875,0.22632738412190875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,t19_market_or_hold,False,1,True
calendar_assumed_replay,18:45,0.12122297986055745,0.11422668559525358,0.40912336286545337,0.3846187000001826,0.04815132918403837,0.0459344665506626,0.5294758201756881,0.6840847638810287,0.1735016048371404,0.24480005021913914,-0.006996294265303876,-0.024504662865270754,-0.0022168626333757685,0.15460894370534062,0.07129844538199875,-0.00963501824392222,-0.00473639576667408,0.11353865759686883,0.2090362708749969,t22_after_receipt_replay,True,1,True
calendar_assumed_replay,19:15,0.12052476340923467,0.11354838484963663,0.40652028628537573,0.3820940272138044,0.04754369127089533,0.04705820952518192,0.5408173959390711,0.6818360117737594,0.18115392738506728,0.25053994921639244,-0.00697637855959804,-0.02442625907157131,-0.0004854817457134106,0.14101861583468833,0.06938602183132517,-0.009169161736154795,-0.004849211730566384,0.10720612329021016,0.18369282151162822,t22_after_receipt_replay,True,1,True
calendar_assumed_replay,20:15,0.1204357065008863,0.11386260646614627,0.40693656865964495,0.3834225428705471,0.04549084480420587,0.04508272780302852,0.5332417064165791,0.6631572958681051,0.18171762118682544,0.24667246802751522,-0.006573100034740029,-0.023514025789097837,-0.0004081170011773494,0.12991558945152604,0.06495484684068978,-0.008420060097495968,-0.0048152614086095615,0.09662805160954921,0.17532856638644945,t22_after_receipt_replay,True,1,True
