family,expert,beta,map_start,map_end_exclusive,cutoff_ord,mapping_rows,latest_mapping_date,latest_mapping_maturity_ord,intercept,slope,objective
all,all_platt_b050,0.5,2022-04-01,2022-08-01,738427,410,2022-07-30,738394,0.301043480678372,0.9981469071587437,108.65993980233019
recent2y,recent2y_platt_b100,1.0,2022-04-01,2022-08-01,738427,410,2022-07-30,738394,-0.07249242513780978,0.5891668226328177,113.80562776744566
