candidate,n,lift,lift_ci_low,lift_ci_high,p_lift_le_1,benefit_ci_low,benefit_ci_high
incumbent,535,1.9471729403838514,1.6472621161473173,2.2883929809416457,0.00024993751562109475,50.11031514514253,114.35451140265049
veto_q70_p15,521,1.8704964503780233,1.5730562022956174,2.2181466961740743,0.00024993751562109475,43.25530059573236,107.82045623816295
veto_q70_p30,512,1.8304499768946394,1.5435463761836021,2.16948820641541,0.00024993751562109475,40.83697732787636,104.08469680640783
veto_q70_p50,504,1.7854208843118269,1.518849408052799,2.1275096863488914,0.00024993751562109475,37.64872364377164,99.24927809371435
confirm_q30_b10,531,1.8774606556178661,1.5931733725593173,2.219320704048835,0.00024993751562109475,44.392082412299786,110.77512020343418
confirm_q30_b20,527,1.8421154163173825,1.5580087367398978,2.1766549418107237,0.00024993751562109475,41.34958895423022,108.20858133808547
veto_q80_p15,533,1.884426380165977,1.5959386395945032,2.2327001668766706,0.00024993751562109475,43.98483785800409,108.87651142510784
veto_q80_p30,531,1.8633972799203538,1.5806583998894697,2.2068405243478573,0.00024993751562109475,42.592697111928224,106.92662625807677
veto_q80_p50,523,1.8419257588984352,1.5569095336580687,2.184586709338691,0.00024993751562109475,41.63285372189914,105.66269795506332
confirm_q19_b10,528,1.888128045706604,1.5950682934660996,2.2392309890411743,0.00024993751562109475,46.13888084820301,111.92996495058362
confirm_q19_b20,525,1.8704691488425313,1.5826799027407246,2.217068915596287,0.00024993751562109475,44.52838472330406,110.91809613980175
veto_q90_p15,537,1.8773428061008477,1.5901217560655936,2.218576940058014,0.00024993751562109475,45.07012895997837,109.83141147717524
veto_q90_p30,532,1.887968535015913,1.599136222185463,2.2362706687872302,0.00024993751562109475,44.662612082229096,109.2137284057073
veto_q90_p50,534,1.8808974918136063,1.5947004740576494,2.2269526435519724,0.00024993751562109475,43.18551487620179,108.1803638055231
confirm_q9_b10,530,1.8950929445820108,1.6013148269068664,2.243198250120643,0.00024993751562109475,46.51003534612128,111.56717572701196
confirm_q9_b20,531,1.898555719164134,1.6027326009353864,2.246932969514145,0.00024993751562109475,46.77081512141726,112.35636165716801
hard_veto_q85,535,1.654050132154024,1.4277246511889397,1.9824303644754897,0.00024993751562109475,13.001767337486315,87.81191308093346
hard_veto_q95,542,1.8806910804782722,1.5996936852724677,2.2418239435143628,0.00024993751562109475,44.24023525029367,107.08607891161033
