hypothesis,horizon,control,challenger,control_lift,challenger_lift,lift_difference,lift_difference_ci_low,lift_difference_ci_high,p_lift_not_better,control_symmetric,challenger_symmetric,symmetric_difference,symmetric_difference_ci_low,symmetric_difference_ci_high,p_symmetric_not_better,control_future,challenger_future,future_difference,future_difference_ci_low,future_difference_ci_high,p_future_not_better,n_challenger,p_lift_holm_10,lift_increment_supported,p_symmetric_holm_10,symmetric_increment_supported,p_future_holm_10,future_increment_supported
online_vs_incumbent,1,incumbent,best_online,1.6230036627345803,1.6431804292958945,0.020176766561314174,-0.03579966024251369,0.0831790932044131,0.24993751562109473,18.007536172632168,18.137742129401886,0.1302059567697178,-3.8649013106654304,3.6355110600409466,0.4988752811797051,70.28340285633575,72.19844487626003,1.9150420199242717,-4.806378885410082,8.324178738030142,0.3026743314171457,519,1.0,False,1.0,False,1.0,False
online_vs_incumbent,3,incumbent,best_online,1.9134256869073194,1.9235563035092795,0.01013061660196013,-0.10519227306721725,0.12323767851306071,0.4316420894776306,31.313342954072297,30.414807140775224,-0.8985358132970731,-9.376431520571286,6.094365286619137,0.6018495376155961,81.4877064222842,79.96975970453782,-1.5179467177463835,-11.334147390069205,7.254202176335983,0.6408397900524869,519,1.0,False,1.0,False,1.0,False
online_vs_incumbent,5,incumbent,best_online,1.9305707003955412,1.9360746771987325,0.005503976803191257,-0.14227258737359727,0.1416097041208964,0.4843789052736816,38.141343349206494,37.200595953869126,-0.9407473953373682,-11.990859932930828,8.538307343911983,0.5816045988502875,85.28894873540864,83.69475486628181,-1.5941938691268263,-12.213447425540151,8.383770045866735,0.6345913521619595,519,1.0,False,1.0,False,1.0,False
online_vs_incumbent,10,incumbent,best_online,1.9265250031338068,1.9107558492674752,-0.015769153866331598,-0.1870906519508224,0.14614941733759773,0.5798550362409398,47.07010942164931,46.20949811477806,-0.860611306871256,-13.5255813182828,10.395169674213907,0.5733566608347913,87.53711963893554,82.58039633189586,-4.956723307039681,-15.883873103614624,6.752161069204061,0.7813046738315421,514,1.0,False,1.0,False,1.0,False
online_vs_incumbent,20,incumbent,best_online,1.8792155066718188,1.8101904958875388,-0.06902501078428003,-0.344929449351587,0.10112129973061625,0.83104223944014,70.30061550609504,64.68305089104278,-5.61756461505226,-18.41833968435818,4.410895165454925,0.8767808047988003,79.40391667072346,66.36705649080457,-13.03686017991889,-29.93056670644413,-0.8221526708551435,0.981254686328418,501,1.0,False,1.0,False,1.0,False
fresh_vs_stale,1,best_online_stale20,best_online,1.4544523601752903,1.6431804292958945,0.18872806912060414,0.08122466056200991,0.31702800936841985,0.00024993751562109475,6.753311100396671,18.137742129401886,11.384431029005215,4.992276924927643,17.22476159214981,0.0004998750312421895,51.70058062287798,72.19844487626003,20.497864253382048,10.357537572240055,30.19680633621134,0.0004998750312421895,519,0.0024993751562109477,True,0.004998750312421895,True,0.004998750312421895,True
fresh_vs_stale,3,best_online_stale20,best_online,1.6423702913172908,1.9235563035092795,0.2811860121919887,0.11770854208188948,0.48275938306506544,0.0004998750312421895,11.841446116984743,30.414807140775224,18.573361023790483,9.182390162043832,26.572484866904198,0.0004998750312421895,58.17737290659374,79.96975970453782,21.792386797944083,9.116478364429348,33.12965661566938,0.000999750062484379,519,0.004498875281179706,True,0.004998750312421895,True,0.008997750562359411,True
fresh_vs_stale,5,best_online_stale20,best_online,1.6178343200666965,1.9360746771987325,0.318240357132036,0.11214616176180905,0.5623919023929411,0.0017495626093476631,13.767629802054168,37.200595953869126,23.43296615181496,10.615777613186909,34.11195295171381,0.0007498125468632841,58.25965096897932,83.69475486628181,25.43510389730249,9.13864838801252,39.31474518992392,0.0022494376405898524,519,0.013996500874781305,True,0.005998500374906273,True,0.01799550112471882,True
fresh_vs_stale,10,best_online_stale20,best_online,1.6032737150315732,1.9107558492674752,0.307482134235902,0.07441629006308884,0.5843350608875875,0.005998500374906273,14.248302525232257,46.20949811477806,31.961195589545802,10.688942099248665,51.794874859581256,0.002749312671832042,59.651890384910146,82.58039633189586,22.92850594698571,1.776658075259605,45.367564721312014,0.01699575106223444,514,0.03599100224943764,True,0.019245188702824295,True,0.11897025743564107,False
fresh_vs_stale,20,best_online_stale20,best_online,1.3807098605964876,1.8101904958875388,0.4294806352910512,0.11893384044484555,0.8242691008739503,0.0017495626093476631,27.849447910576348,64.68305089104278,36.83360298046644,8.771453369638712,61.85206636491947,0.004498875281179705,50.36332478620611,66.36705649080457,16.003731704598465,-14.27047542058772,46.234132231425434,0.14471382154461385,501,0.013996500874781305,True,0.02699325168707823,True,0.868282929267683,False
