origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,eligible_mask_sha256,last_shared_mature20,last_effective_mature20,query_first,query_last,local_counts,n_risk,n_failures,risk_hash
2023-01-01,hazard_hist,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,2022-12-28,1235,1519,,1410.0,379.0,714a74e3152f81f8be485b1d67de43f7bc5da6ab18595f658cc7585fa42af358
2023-01-01,hazard_logit,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,2022-12-28,1235,1519,,1410.0,379.0,714a74e3152f81f8be485b1d67de43f7bc5da6ab18595f658cc7585fa42af358
2023-01-01,margin_q25,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,2022-12-28,1235,1519,,,,
2023-01-01,margin_ridge_local,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,2022-12-28,1235,1519,"{""AMD"": 109, ""KGS"": 108, ""KZT"": 101, ""TJS"": 116, ""UZS"": 105}",,,
2023-04-01,hist,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,,,,
2023-04-01,recent_hist,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,,,,
2023-04-01,logit,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,,,,
2023-04-01,local_logit,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,"{""AMD"": 148, ""KGS"": 143, ""KZT"": 140, ""TJS"": 151, ""UZS"": 143}",,,
2023-04-01,hazard_hist,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,,2028.0,435.0,366f81af42c9219f71494018f7ad01686e7c8debd0ae177465917f753f08d6f6
2023-04-01,hazard_logit,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,,2028.0,435.0,366f81af42c9219f71494018f7ad01686e7c8debd0ae177465917f753f08d6f6
2023-04-01,margin_q25,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,,,,
2023-04-01,margin_ridge_local,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,2023-03-28,1520,1824,"{""AMD"": 148, ""KGS"": 143, ""KZT"": 140, ""TJS"": 151, ""UZS"": 143}",,,
2023-07-01,hist,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,2023-06-27,1825,2149,,,,
