candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value
hist_h5_urgent_cap2,1.9366463576927515,2.0685665630432526,1.3449781659388647,1.3791267305644304,70.9931422051917,32.36948848201935,0.0,1.9366463576927515
hist_mean_urgent_cap2,1.9377399642636473,2.06769236495706,1.3397849462365592,1.3865814696485623,70.89148860335727,32.13712908025528,0.0,1.9377399642636473
recent_hist_h5_urgent_cap2,1.9348010464496328,2.071497230869782,1.3213149522799574,1.3716719914802982,70.37060178459144,31.863908964162853,0.0,1.9348010464496328
recent_hist_mean_urgent_cap2,1.938207373729013,2.0785052317086556,1.3213149522799574,1.356762513312034,71.01802716177215,32.331735545972165,0.0,1.938207373729013
logit_h5_urgent_cap2,1.9369195420717258,2.070108657263162,1.314410480349345,1.4164004259850906,68.77562275343286,31.47570672660475,0.0,1.9369195420717258
logit_mean_urgent_cap2,1.9369607167668437,2.0876768004703923,1.2914847161572052,1.3791267305644304,69.22855916898656,32.13122833475965,0.0,1.9369607167668437
local_logit_h5_urgent_cap2,1.9372826749614176,2.0613715267713815,1.314410480349345,1.3791267305644304,69.47415059019976,31.613327177373957,0.0,1.9372826749614176
local_logit_mean_urgent_cap2,1.9386840589900154,2.0686822723733753,1.3220524017467248,1.349307774227902,69.79489320461444,32.15109758809287,0.0,1.9386840589900154
hazard_hist_h5_urgent_cap2,1.938583866432873,2.110993146942002,1.3064687168610816,1.3602620087336244,70.42719345019508,32.47993359672009,0.0,1.938583866432873
hazard_hist_mean_urgent_cap2,1.9385918033270448,2.1062493492983987,1.3138918345705195,1.3548387096774193,70.34734566856987,32.875722997864635,0.0,1.9385918033270448
hazard_logit_h5_urgent_cap2,1.9378162045516105,2.0460170747024597,1.2991266375545851,1.4164004259850906,69.42494140260548,32.03882414176091,0.0,1.9378162045516105
hazard_logit_mean_urgent_cap2,1.9378162045516105,2.0460170747024597,1.2991266375545851,1.4164004259850906,69.42494140260548,32.03882414176091,0.0,1.9378162045516105
margin_q25_h5_urgent_cap2,1.9374526684993905,2.0350849199400116,1.2838427947598252,1.4014909478168265,68.91320980974837,31.7216060651394,0.0,1.9374526684993905
margin_q25_mean_urgent_cap2,1.9428810153736578,2.0384917331253503,1.3138918345705195,1.3865814696485623,70.81460508623591,32.76701196971786,0.0,1.9428810153736578
margin_ridge_local_h5_urgent_cap2,1.9401480827957747,2.063153361861693,1.3287380699893954,1.3865814696485623,71.47813445523366,30.918307896644134,0.0,1.9401480827957747
margin_ridge_local_mean_urgent_cap2,1.9419808499185107,2.0697444832850893,1.3064687168610816,1.349307774227902,72.49776336444098,31.773217309438703,0.0,1.9419808499185107
known75_hist25_h5_urgent_cap2,1.9351678228271096,2.057170248408396,1.3138918345705195,1.3791267305644304,76.42301807546934,33.16596653232186,0.0,1.9351678228271096
known75_hazard_hist25_h5_urgent_cap2,1.9357879077126514,2.0593402691795935,1.3138918345705195,1.3716719914802982,76.60236535983209,33.25687684069831,0.0,1.9357879077126514
known_change_z_urgent_cap2,1.9357273181508419,2.04270970495567,1.3449781659388647,1.4089456869009584,75.40068522150068,32.186317373771104,0.0,1.9357273181508419
known_next_not_lower_cd3,1.9092195390110664,1.9288371454425852,1.3831877729257642,1.4772004241781547,63.21552328836044,26.56403232616659,0.0,1.9092195390110664
market_hist_gated_urgent_cap2,1.9364833368768861,2.0609235519426976,1.314410480349345,1.4014909478168265,70.27525212776416,32.209747024548534,0.0,1.9364833368768861
market_survival_h5_gated_urgent_cap2,1.9372529654333983,2.070659735209542,1.3138918345705195,1.4089456869009584,70.01719161081968,31.85574708467048,0.0,1.9372529654333983
ap1_change_z_r25_exact,1.9204306815040317,2.178976202838055,1.2532751091703056,1.3287380699893954,101.97583621193132,28.949874815656607,0.0,1.9204306815040317
ap1_change_z_r25_exact_cap2,1.9246588925392183,2.228714347968274,0.9705240174672489,1.031813361611877,99.34189910469361,36.45746428276185,0.029475982532751077,1.8657069274737161
known_change_z_r25w250_cap2,1.9246588925392183,2.228714347968274,0.9705240174672489,1.031813361611877,99.34189910469361,36.45746428276185,0.029475982532751077,1.8657069274737161
