h,origin,n_train,n_positive,n_query,constant_prediction,last_target_maturity
3,2022-07-01,230,141,330,False,2022-06-28
3,2022-10-01,409,261,320,False,2022-09-26
3,2023-01-01,603,404,285,False,2022-12-29
3,2023-04-01,776,545,305,False,2023-03-29
3,2023-07-01,949,680,325,False,2023-06-28
3,2023-10-01,1153,850,320,False,2023-09-28
3,2024-01-01,1310,957,285,False,2023-12-29
3,2024-04-01,1466,1068,300,False,2024-03-28
3,2024-07-01,1606,1145,330,False,2024-06-28
3,2024-10-01,1792,1286,325,False,2024-09-27
3,2025-01-01,1978,1430,290,False,2024-12-28
3,2025-04-01,2093,1495,295,False,2025-03-28
3,2025-07-01,2223,1562,330,False,2025-06-27
3,2025-10-01,2417,1705,320,False,2025-09-25
3,2026-01-01,2555,1786,275,False,2025-12-29
3,2026-04-01,2694,1885,310,False,2026-03-26
3,2026-07-01,2834,1977,225,False,2026-06-26
5,2022-07-01,226,113,330,False,2022-06-27
5,2022-10-01,409,216,320,False,2022-09-28
5,2023-01-01,602,341,285,False,2022-12-29
5,2023-04-01,771,457,305,False,2023-03-29
5,2023-07-01,944,576,325,False,2023-06-28
5,2023-10-01,1149,726,320,False,2023-09-27
5,2024-01-01,1305,814,285,False,2023-12-29
5,2024-04-01,1461,912,300,False,2024-03-29
5,2024-07-01,1604,962,330,False,2024-06-28
5,2024-10-01,1786,1089,325,False,2024-09-27
5,2025-01-01,1977,1219,290,False,2024-12-26
5,2025-04-01,2088,1268,295,False,2025-03-28
5,2025-07-01,2218,1314,330,False,2025-06-27
5,2025-10-01,2412,1437,320,False,2025-09-26
5,2026-01-01,2554,1501,275,False,2025-12-26
5,2026-04-01,2693,1582,310,False,2026-03-26
5,2026-07-01,2824,1646,225,False,2026-06-26
10,2022-07-01,218,87,330,False,2022-06-28
10,2022-10-01,396,161,320,False,2022-09-26
10,2023-01-01,577,258,285,False,2022-12-29
10,2023-04-01,753,367,305,False,2023-03-29
10,2023-07-01,931,486,325,False,2023-06-28
10,2023-10-01,1137,597,320,False,2023-09-28
10,2024-01-01,1286,636,285,False,2023-12-29
10,2024-04-01,1441,718,300,False,2024-03-29
10,2024-07-01,1592,760,330,False,2024-06-28
10,2024-10-01,1766,843,325,False,2024-09-25
10,2025-01-01,1968,969,290,False,2024-12-26
10,2025-04-01,2074,983,295,False,2025-03-27
10,2025-07-01,2205,1016,330,False,2025-06-27
10,2025-10-01,2396,1114,320,False,2025-09-25
10,2026-01-01,2541,1155,275,False,2025-12-26
10,2026-04-01,2673,1215,310,False,2026-03-27
10,2026-07-01,2804,1252,225,False,2026-06-26
20,2022-07-01,203,56,330,False,2022-06-27
20,2022-10-01,376,104,320,False,2022-09-27
20,2023-01-01,539,160,285,False,2022-12-29
20,2023-04-01,725,290,305,False,2023-03-28
20,2023-07-01,896,374,325,False,2023-06-28
20,2023-10-01,1105,487,320,False,2023-09-28
20,2024-01-01,1265,509,285,False,2023-12-29
20,2024-04-01,1413,548,300,False,2024-03-28
20,2024-07-01,1564,590,330,False,2024-06-28
20,2024-10-01,1737,627,325,False,2024-09-27
20,2025-01-01,1951,743,290,False,2024-12-26
20,2025-04-01,2055,745,295,False,2025-03-28
20,2025-07-01,2177,759,330,False,2025-06-27
20,2025-10-01,2354,821,320,False,2025-09-26
20,2026-01-01,2515,853,275,False,2025-12-29
20,2026-04-01,2637,887,310,False,2026-03-27
20,2026-07-01,2775,925,225,False,2026-06-26
