h,feature,importance
3,rank_ap26,9.764885797533799
3,rank_ridge,3.929571673696345
3,rank_distributional,4.4349669143203485
3,rank_mean,1.9634683831295034
3,rank_min,2.4623033952161593
3,rank_max,2.5698786554238624
3,rank_std,3.1266789973759876
3,support_count,0.9401995249190804
3,known_change,17.228460754049575
3,weekday_sin,5.799297090050454
3,weekday_cos,4.459810698817566
3,days_to_friday,4.465653739159494
3,core_flag,1.453676012471059
3,fallback_flag,1.1647502690947726
3,fallback_precision_margin,2.523074106133734
3,ap37_trailing_rate,7.223674371525464
3,log_days_since,3.6370053323098164
3,ap37_week_used,1.7313084051315126
3,ap37_month_empty,1.1404692815188737
3,day_of_month_scaled,18.09231110259169
3,currency_TJS,0.08433838280959759
3,currency_UZS,0.06749878873163774
3,currency_KGS,0.1819679516407029
3,currency_AMD,0.1780344856764879
3,currency_KZT,1.3767158866724793
5,rank_ap26,8.760185584987159
5,rank_ridge,4.360417577321401
5,rank_distributional,4.214297900629152
5,rank_mean,2.5351080220934374
5,rank_min,2.290284969750214
5,rank_max,2.896559349627411
5,rank_std,3.444171637070029
5,support_count,1.0197479057154688
5,known_change,15.016188124303914
5,weekday_sin,5.011296184909547
5,weekday_cos,3.225987892466543
5,days_to_friday,3.594778905979185
5,core_flag,1.334271868726137
5,fallback_flag,1.0393282505491166
5,fallback_precision_margin,2.735157729356543
5,ap37_trailing_rate,10.195791375554059
5,log_days_since,4.502474820724278
5,ap37_week_used,1.9249380349347216
5,ap37_month_empty,0.8440801934675419
5,day_of_month_scaled,19.616594146969
5,currency_TJS,0.2899839838113899
5,currency_UZS,0.14048638590611415
5,currency_KGS,0.20432576138619038
5,currency_AMD,0.15952665284664147
5,currency_KZT,0.6440167409148048
10,rank_ap26,8.102860619718056
10,rank_ridge,4.671988102099686
10,rank_distributional,4.679490213195448
10,rank_mean,2.8045277807172835
10,rank_min,2.4325802749714276
10,rank_max,2.603894865159612
10,rank_std,4.136731894168537
10,support_count,1.0223963365068527
10,known_change,12.93473850210387
10,weekday_sin,4.495257452956987
10,weekday_cos,2.652406366184935
10,days_to_friday,2.7373544571004285
10,core_flag,0.9195990121367844
10,fallback_flag,1.1365749991899743
10,fallback_precision_margin,3.6676488909827043
10,ap37_trailing_rate,14.193995275554071
10,log_days_since,4.694168930652668
10,ap37_week_used,1.3856158046256493
10,ap37_month_empty,0.6740968614707851
10,day_of_month_scaled,18.878031717189952
10,currency_TJS,0.06508986081678449
10,currency_UZS,0.051429835864257666
10,currency_KGS,0.21828538694144026
10,currency_AMD,0.3450469847774842
10,currency_KZT,0.49618957491432003
20,rank_ap26,5.564714610261968
20,rank_ridge,4.589060230356908
20,rank_distributional,5.45419528365939
20,rank_mean,3.081188096050592
20,rank_min,2.599437312260453
20,rank_max,1.9780050672324005
20,rank_std,3.8960336772910846
20,support_count,1.1396919092412854
20,known_change,13.934657133687198
20,weekday_sin,4.6608206698901595
20,weekday_cos,1.8466141344821698
20,days_to_friday,2.005791222747635
20,core_flag,1.0357825773534552
20,fallback_flag,0.6862368515484478
20,fallback_precision_margin,6.230964455310927
20,ap37_trailing_rate,17.451062058256593
20,log_days_since,5.1211951745406195
20,ap37_week_used,0.8196881982779473
20,ap37_month_empty,1.4774125242306995
20,day_of_month_scaled,14.374507684358589
20,currency_TJS,0.15619975844073275
20,currency_UZS,0.2650099652844921
20,currency_KGS,0.5515896768999553
20,currency_AMD,0.45647859237719324
20,currency_KZT,0.6236631359591013
