scenario,clock,h,block_dates,n_dates,mean_brier_delta,ci_low,ci_high,probability_hierarchical_better
calendar_assumed_replay,00:15,5,20,603,0.009005469908279341,-0.002437356976507524,0.018966600230452057,0.069
calendar_assumed_replay,00:15,5,50,603,0.009005469908279341,-0.003818566247753322,0.01953038036568412,0.083
calendar_assumed_replay,06:00,5,20,603,0.009005469908279341,-0.0023900426987212148,0.0185010863016008,0.064
calendar_assumed_replay,06:00,5,50,603,0.009005469908279341,-0.002840460330786321,0.019377062229647163,0.061
calendar_assumed_replay,09:15,5,20,603,0.009005469908279341,-0.0034723194239540743,0.019133818156119604,0.076
calendar_assumed_replay,09:15,5,50,603,0.009005469908279341,-0.0035053824999663305,0.01973221512647817,0.08
calendar_assumed_replay,10:15,5,20,603,0.01047856640051035,0.006660018464259614,0.014139158755070958,0.0
calendar_assumed_replay,10:15,5,50,603,0.01047856640051035,0.006158313335999646,0.013889820024087693,0.0
calendar_assumed_replay,10:45,5,20,603,0.00900487343077674,0.005307868198113834,0.012511107684234938,0.0
calendar_assumed_replay,10:45,5,50,603,0.00900487343077674,0.00551614150512025,0.012933364566829666,0.0
calendar_assumed_replay,11:45,5,20,603,0.007560089696068741,0.003991554685378676,0.010928861511353324,0.0
calendar_assumed_replay,11:45,5,50,603,0.007560089696068741,0.003356149543774011,0.011640168420312838,0.0
calendar_assumed_replay,12:45,5,20,603,0.006912074151473333,0.003127148312514481,0.010636589997343132,0.0
calendar_assumed_replay,12:45,5,50,603,0.006912074151473333,0.002895124698069809,0.011379513770732914,0.0
calendar_assumed_replay,13:45,5,20,603,0.0061071667852684785,0.002354684070282651,0.009465422392199727,0.0
calendar_assumed_replay,13:45,5,50,603,0.0061071667852684785,0.0019495994825360788,0.01067416383108679,0.0
calendar_assumed_replay,14:45,5,20,603,0.005347933042884497,0.0015467431074238044,0.009159275371110267,0.003
calendar_assumed_replay,14:45,5,50,603,0.005347933042884497,0.001221677982059751,0.010189463247843365,0.003
calendar_assumed_replay,15:10,5,20,603,0.005307912557584652,0.0013016948748546201,0.008797065946659311,0.003
calendar_assumed_replay,15:10,5,50,603,0.005307912557584652,0.0011392373811509881,0.009940152975754941,0.004
calendar_assumed_replay,15:25,5,20,603,0.00536417320652168,0.0015621800144663706,0.009451221653588417,0.003
calendar_assumed_replay,15:25,5,50,603,0.00536417320652168,0.0010347821517672805,0.010139794031767662,0.005
calendar_assumed_replay,15:45,5,20,603,0.005306937790763854,0.0013900122518125152,0.009601854674594948,0.003
calendar_assumed_replay,15:45,5,50,603,0.005306937790763854,0.0006797941734264872,0.010022806637649873,0.01
calendar_assumed_replay,16:45,5,20,603,0.003458313217752486,-0.0005852043375753682,0.007542459587689079,0.041
calendar_assumed_replay,16:45,5,50,603,0.003458313217752486,-0.000756518769237868,0.007686242032899945,0.051
calendar_assumed_replay,17:45,5,20,603,0.005011435052708479,0.0009794497240673777,0.008692669095721603,0.008
calendar_assumed_replay,17:45,5,50,603,0.005011435052708479,0.0009739401486838911,0.009558777314589834,0.012
calendar_assumed_replay,18:45,5,20,603,0.001974465175412068,-6.365792513682543e-05,0.0038909678303020987,0.029
