scenario,clock,h,model,feature,coefficient
calendar_assumed_replay,00:15,5,global_platt,intercept,-0.8527606798249553
calendar_assumed_replay,00:15,5,global_platt,base_logit,-0.2836640115935643
calendar_assumed_replay,00:15,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,00:15,5,hierarchical_beta,intercept,-0.8325159015347068
calendar_assumed_replay,00:15,5,hierarchical_beta,log_p,-0.2255966898982631
calendar_assumed_replay,00:15,5,hierarchical_beta,neg_log_1mp,-0.1706643860486481
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=KGS,0.01923645025651697
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=KZT,-0.22526521978288533
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=TJS,0.06261931079955797
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=UZS,-0.09781777534545198
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=KGS:base_logit,-0.2391850744213934
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=KZT:base_logit,0.13200816172838753
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=TJS:base_logit,-0.019802992857524584
calendar_assumed_replay,00:15,5,hierarchical_beta,currency=UZS:base_logit,-0.06390582400453025
calendar_assumed_replay,00:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,0.02775836342025128
calendar_assumed_replay,00:15,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.3680722637395388
calendar_assumed_replay,06:00,5,global_platt,intercept,-0.8527606798249553
calendar_assumed_replay,06:00,5,global_platt,base_logit,-0.2836640115935643
calendar_assumed_replay,06:00,5,fixed_logit_shrink_80,base_logit,0.8
calendar_assumed_replay,06:00,5,hierarchical_beta,intercept,-0.8325159015347068
calendar_assumed_replay,06:00,5,hierarchical_beta,log_p,-0.2255966898982631
calendar_assumed_replay,06:00,5,hierarchical_beta,neg_log_1mp,-0.1706643860486481
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=KGS,0.01923645025651697
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=KZT,-0.22526521978288533
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=TJS,0.06261931079955797
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=UZS,-0.09781777534545198
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=KGS:base_logit,-0.2391850744213934
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=KZT:base_logit,0.13200816172838753
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=TJS:base_logit,-0.019802992857524584
calendar_assumed_replay,06:00,5,hierarchical_beta,currency=UZS:base_logit,-0.06390582400453025
calendar_assumed_replay,06:00,5,hierarchical_beta,regime=premarket|cbr_history|limited|fresh,0.02775836342025128
calendar_assumed_replay,06:00,5,hierarchical_beta,regime=premarket|cbr_history|limited|stale,-0.3680722637395388
calendar_assumed_replay,09:15,5,global_platt,intercept,-0.8527606798249553
calendar_assumed_replay,09:15,5,global_platt,base_logit,-0.2836640115935643
