scenario,clock,h,model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision
calendar_assumed_replay,00:15,5,identity,ALL,ALL,3015,0.2620232172470978,0.29125448292866685,0.19489015900270457,0.5786704133169372,0.03773866219331267,0.19489015900270457,0.5786704133169372,0.03773866219331267,0.0,0.0,0.5345202673872849,0.28926787302489576
calendar_assumed_replay,00:15,5,identity,currency,AMD,603,0.2603648424543947,0.2952075781900151,0.1947649445021974,0.5785573156979806,0.03484273573562041,0.1947649445021974,0.5785573156979806,0.03484273573562041,0.0,0.0,0.5294764502584901,0.2949045889296349
calendar_assumed_replay,00:15,5,identity,currency,KGS,603,0.24378109452736318,0.29720957850286467,0.1887090157111373,0.5654370064352409,0.05384581437304225,0.1887090157111373,0.5654370064352409,0.05384581437304225,0.0,0.0,0.5243614989855592,0.2649791484858449
calendar_assumed_replay,00:15,5,identity,currency,KZT,603,0.23548922056384744,0.2573656397382353,0.18309780288252409,0.5541026752266043,0.0610310860732645,0.18309780288252409,0.5541026752266043,0.0610310860732645,0.0,0.0,0.4888943203690691,0.2493527508974308
calendar_assumed_replay,00:15,5,identity,currency,TJS,603,0.29850746268656714,0.3188854557023372,0.20829835359728616,0.6069349171228091,0.022418444629926957,0.20829835359728616,0.6069349171228091,0.022418444629926957,0.0,0.0,0.5508142894667717,0.35743424931216
calendar_assumed_replay,00:15,5,identity,currency,UZS,603,0.27197346600331673,0.28760416250988197,0.199580678320378,0.5883201521020517,0.018972645020232867,0.199580678320378,0.5883201521020517,0.018972645020232867,0.0,0.0,0.530612811822879,0.287892293261484
calendar_assumed_replay,00:15,5,identity,currency_year,AMD:2025,365,0.22465753424657534,0.3089746386076089,0.18035528439144352,0.5471664662458534,0.08431710436103348,0.18035528439144352,0.5471664662458534,0.08431710436103348,0.0,0.0,0.5579591484960786,0.2783806371610352
calendar_assumed_replay,00:15,5,identity,currency_year,AMD:2026,238,0.31512605042016806,0.27409422923026,0.21686379299137878,0.6266987444796045,0.04448025471663237,0.21686379299137878,0.6266987444796045,0.04448025471663237,0.0,0.0,0.5338241308793455,0.37719662847919605
calendar_assumed_replay,00:15,5,identity,currency_year,KGS:2025,365,0.2136986301369863,0.31362504867032037,0.1783858351692555,0.5432784850494501,0.09992641853333406,0.1783858351692555,0.5432784850494501,0.09992641853333406,0.0,0.0,0.5360939873134996,0.2464931109226925
calendar_assumed_replay,00:15,5,identity,currency_year,KGS:2026,238,0.28991596638655465,0.2720345927418508,0.20454078418923344,0.5994196127621888,0.034694587468933384,0.20454078418923344,0.5994196127621888,0.034694587468933384,0.0,0.0,0.5603293028042191,0.36748749646441936
calendar_assumed_replay,00:15,5,identity,currency_year,KZT:2025,365,0.16712328767123288,0.26788362734686105,0.1499665507687977,0.4805454677583701,0.10211940297360761,0.1499665507687977,0.4805454677583701,0.10211940297360761,0.0,0.0,0.5438955996548749,0.20016467138950106
calendar_assumed_replay,00:15,5,identity,currency_year,KZT:2026,238,0.3403361344537815,0.24123511252332608,0.23390833658634813,0.6669109976043582,0.09910102193045539,0.23390833658634813,0.6669109976043582,0.09910102193045539,0.0,0.0,0.5154517574899741,0.43400185271904573
calendar_assumed_replay,00:15,5,identity,currency_year,TJS:2025,365,0.29863013698630136,0.3303273616548421,0.2095169085339111,0.6096319803686698,0.06078975609613746,0.2095169085339111,0.6096319803686698,0.06078975609613746,0.0,0.0,0.5328268348623854,0.3575656245832921
