scenario,clock,h,brier_hierarchical_beta,brier_identity,logloss_hierarchical_beta,logloss_identity,ece_hierarchical_beta,ece_identity,max_brier_ci_high,brier_delta,logloss_delta,ece_delta,pass
calendar_assumed_replay,00:15,5,0.20389562891098395,0.19489015900270457,0.598396176441025,0.5786704133169372,0.08822594123188712,0.03773866219331267,0.01953038036568412,0.009005469908279384,0.019725763124087803,0.05048727903857445,False
calendar_assumed_replay,00:15,10,0.16061918437476813,0.15521002569946765,0.5044583691207886,0.4918467159010827,0.10604298883082017,0.06353715848416754,0.017823573042545053,0.0054091586753004794,0.012611653219705865,0.04250583034665263,False
calendar_assumed_replay,00:15,20,0.1225965705373212,0.12428935098399156,0.41316427078836554,0.4201615955475662,0.06813423300422036,0.036075777056309745,0.006971591476872954,-0.0016927804466703583,-0.006997324759200674,0.03205845594791062,False
calendar_assumed_replay,06:00,5,0.20389562891098395,0.19489015900270457,0.598396176441025,0.5786704133169372,0.08822594123188712,0.03773866219331267,0.019377062229647163,0.009005469908279384,0.019725763124087803,0.05048727903857445,False
calendar_assumed_replay,06:00,10,0.16061918437476813,0.15521002569946765,0.5044583691207886,0.4918467159010827,0.10604298883082017,0.06353715848416754,0.015670930284198976,0.0054091586753004794,0.012611653219705865,0.04250583034665263,False
calendar_assumed_replay,06:00,20,0.1225965705373212,0.12428935098399156,0.41316427078836554,0.4201615955475662,0.06813423300422036,0.036075777056309745,0.006441484547660305,-0.0016927804466703583,-0.006997324759200674,0.03205845594791062,False
calendar_assumed_replay,09:15,5,0.20389562891098395,0.19489015900270457,0.598396176441025,0.5786704133169372,0.08822594123188712,0.03773866219331267,0.01973221512647817,0.009005469908279384,0.019725763124087803,0.05048727903857445,False
calendar_assumed_replay,09:15,10,0.16061918437476813,0.15521002569946765,0.5044583691207886,0.4918467159010827,0.10604298883082017,0.06353715848416754,0.01719075146365906,0.0054091586753004794,0.012611653219705865,0.04250583034665263,False
calendar_assumed_replay,09:15,20,0.1225965705373212,0.12428935098399156,0.41316427078836554,0.4201615955475662,0.06813423300422036,0.036075777056309745,0.006641031884281827,-0.0016927804466703583,-0.006997324759200674,0.03205845594791062,False
calendar_assumed_replay,10:15,5,0.1896057440516435,0.17912717765113312,0.5655570490362808,0.5397344952358751,0.05512059110507998,0.045606247739620694,0.014139158755070958,0.01047856640051037,0.025822553800405657,0.00951434336545929,False
