scenario,clock,h,model,bin,n,predicted,actual
calendar_assumed_replay,10:15,5,global_platt,4,67,0.41908517387560046,0.6865671641791045
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,0,19,0.0536527205170083,0.0
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,1,139,0.17170430006342152,0.03597122302158273
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,2,960,0.2607930879932774,0.178125
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,3,1311,0.3454314238815271,0.2578184591914569
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,4,452,0.438910432661058,0.413716814159292
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,5,117,0.5361554030983078,0.6410256410256411
calendar_assumed_replay,10:15,5,fixed_logit_shrink_80,6,17,0.6236160374700743,0.8235294117647058
calendar_assumed_replay,10:15,5,hierarchical_beta,0,12,0.05127092362745223,0.0
calendar_assumed_replay,10:15,5,hierarchical_beta,1,122,0.1760527629788609,0.10655737704918032
calendar_assumed_replay,10:15,5,hierarchical_beta,2,984,0.26093271066237833,0.20121951219512196
calendar_assumed_replay,10:15,5,hierarchical_beta,3,1862,0.3456976233672912,0.2980665950590763
calendar_assumed_replay,10:15,5,hierarchical_beta,4,35,0.41005337105173634,0.6857142857142857
calendar_assumed_replay,10:45,5,identity,0,72,0.07191473712269053,0.027777777777777776
calendar_assumed_replay,10:45,5,identity,1,505,0.15771926800531075,0.0891089108910891
calendar_assumed_replay,10:45,5,identity,2,1085,0.2532741575261588,0.20460829493087557
calendar_assumed_replay,10:45,5,identity,3,884,0.34362430780019915,0.31108597285067874
calendar_assumed_replay,10:45,5,identity,4,293,0.44549694373970383,0.45733788395904434
calendar_assumed_replay,10:45,5,identity,5,124,0.5397100160561198,0.6129032258064516
calendar_assumed_replay,10:45,5,identity,6,30,0.6397344982600246,0.7666666666666667
calendar_assumed_replay,10:45,5,identity,7,22,0.7328737313635526,0.5909090909090909
calendar_assumed_replay,10:45,5,global_platt,0,5,0.028118140790249456,0.0
calendar_assumed_replay,10:45,5,global_platt,1,54,0.18155257022616875,0.037037037037037035
calendar_assumed_replay,10:45,5,global_platt,2,1261,0.2662795901606613,0.1379857256145916
calendar_assumed_replay,10:45,5,global_platt,3,1564,0.3341892838078503,0.3343989769820972
calendar_assumed_replay,10:45,5,global_platt,4,125,0.433483797870783,0.696
calendar_assumed_replay,10:45,5,global_platt,5,6,0.5076605708527205,0.6666666666666666
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,0,15,0.060911778182369376,0.0
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,1,256,0.1649312440552525,0.0390625
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,2,880,0.25820705962468116,0.16477272727272727
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,3,1241,0.34661015905498155,0.2610797743755036
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,4,447,0.44016295933456023,0.4451901565995526
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,5,136,0.536979904265454,0.6029411764705882
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,6,36,0.6571879612272693,0.7777777777777778
calendar_assumed_replay,10:45,5,fixed_logit_shrink_80,7,4,0.7168368660667079,0.5
calendar_assumed_replay,10:45,5,hierarchical_beta,0,14,0.057671326578001336,0.0
calendar_assumed_replay,10:45,5,hierarchical_beta,1,203,0.16659502768658502,0.07389162561576355
calendar_assumed_replay,10:45,5,hierarchical_beta,2,1112,0.2566724607238799,0.18705035971223022
calendar_assumed_replay,10:45,5,hierarchical_beta,3,1441,0.3445736501192071,0.29562803608605137
calendar_assumed_replay,10:45,5,hierarchical_beta,4,245,0.42153527465448687,0.5755102040816327
calendar_assumed_replay,11:45,5,identity,0,123,0.0728832301866486,0.016260162601626018
calendar_assumed_replay,11:45,5,identity,1,519,0.15619092317508765,0.09633911368015415
calendar_assumed_replay,11:45,5,identity,2,1036,0.2538298241704839,0.21138996138996138
calendar_assumed_replay,11:45,5,identity,3,835,0.34221389709673117,0.2934131736526946
calendar_assumed_replay,11:45,5,identity,4,289,0.4446499578803289,0.46366782006920415
calendar_assumed_replay,11:45,5,identity,5,131,0.5450417992130997,0.6870229007633588
calendar_assumed_replay,11:45,5,identity,6,55,0.6391146466861036,0.6363636363636364
calendar_assumed_replay,11:45,5,identity,7,21,0.7452219260686663,0.5238095238095238
calendar_assumed_replay,11:45,5,identity,8,1,0.8226329706644564,1.0
calendar_assumed_replay,11:45,5,identity,9,5,0.9921920371005621,0.6
calendar_assumed_replay,11:45,5,global_platt,1,143,0.17509655411907876,0.027972027972027972
calendar_assumed_replay,11:45,5,global_platt,2,1247,0.26320296090654804,0.15236567762630313
calendar_assumed_replay,11:45,5,global_platt,3,1425,0.3340338276701241,0.3249122807017544
calendar_assumed_replay,11:45,5,global_platt,4,178,0.4343941919248434,0.6629213483146067
calendar_assumed_replay,11:45,5,global_platt,5,17,0.5279744899140724,0.7058823529411765
