horizon,case_lift,pooled_lift,base_rate,hit_rate,n_signals,frequency,future_benefit_bps,symmetric_benefit_bps,candidate,currency
1,1.5703783670599019,1.569377990430622,0.5169971805195167,0.8118811881188119,101,1.1922428330522767,77.8978022621478,20.312421092986476,incumbent,KZT
3,1.789955891856031,1.7878787878787876,0.3263535255250686,0.5841584158415841,101,1.1922428330522767,87.66667095739723,38.19263549762421,incumbent,KZT
5,1.834529693052875,1.8317757009345792,0.2644538906558337,0.48514851485148514,101,1.1922428330522767,90.0179654424445,46.87306142135819,incumbent,KZT
10,1.8242427266829684,1.8225925925925928,0.2028238866396761,0.37,100,1.1945392491467577,88.05619759592268,55.50136718370825,incumbent,KZT
20,1.800579898230325,1.7903166421207655,0.14313830728433372,0.25773195876288657,97,1.187062937062937,81.418670091049,80.26073028895796,incumbent,KZT
1,1.834729553974447,1.8431372549019607,0.5022912643744416,0.9215686274509803,102,1.2040472175379429,78.5042842503972,23.00719692937945,incumbent,AMD
3,2.1265565949357255,2.144183989385228,0.33193678203636595,0.7058823529411765,102,1.2040472175379429,96.51172120967306,43.52617554444249,incumbent,AMD
5,2.1829022791109485,2.2045874953755087,0.2649827150231402,0.5784313725490197,102,1.2040472175379429,99.04869751502547,50.31696258117267,incumbent,AMD
10,2.1136844200104483,2.1502694573254795,0.2014220146711027,0.42574257425742573,101,1.2064846416382253,93.69649588737083,57.57070945202896,incumbent,AMD
20,1.9714042058338987,2.019513068385249,0.15010537487504552,0.29591836734693877,98,1.1993006993006994,77.62359771913627,75.23659412357782,incumbent,AMD
1,1.9721400795707118,1.9708329054123446,0.45019645231437294,0.8878504672897196,107,1.2630691399662732,76.62711266802326,22.563909866501888,incumbent,KGS
3,2.21478097601179,2.210166400729428,0.30382110174767013,0.6728971962616822,107,1.2630691399662732,92.15807834665085,41.64415889918942,incumbent,KGS
5,2.2397838668945105,2.234598512302117,0.24201267040909752,0.5420560747663551,107,1.2630691399662732,92.11166406711351,47.528030432386096,incumbent,KGS
10,2.0678107994976975,2.062548462134919,0.1824917882514705,0.37735849056603776,106,1.2662116040955633,78.94019311195196,53.222106924760574,incumbent,KGS
20,1.969532641306615,1.9582883854728512,0.13802495804985962,0.27184466019417475,103,1.2604895104895106,53.8760904482121,73.92211284951658,incumbent,KGS
1,1.7942479783799699,1.797734627831715,0.5108918486809871,0.9166666666666666,96,1.1332209106239461,75.98977837210312,21.122416914450746,incumbent,TJS
3,1.9290714267682953,1.9445402298850574,0.36178891926042445,0.6979166666666666,96,1.1332209106239461,92.5432323046042,40.0071075854326,incumbent,TJS
5,1.9378461197996144,1.947658402203857,0.3010214935918925,0.5833333333333334,96,1.1332209106239461,94.85928503629059,45.038012488478216,incumbent,TJS
10,1.8911245300216475,1.9173913043478261,0.2337790326017473,0.4421052631578947,95,1.13481228668942,93.35580121548351,51.44977750720059,incumbent,TJS
20,1.8557213754863198,1.8932511356262167,0.17571978252192258,0.32608695652173914,92,1.125874125874126,91.4151762299971,79.02345299219235,incumbent,TJS
1,1.7445035212744824,1.7539512195121951,0.5101738054101447,0.89,100,1.1804384485666106,79.02601155402336,22.22329948001892,incumbent,UZS
3,2.015428086209572,2.034962962962963,0.33739730266381285,0.68,100,1.1804384485666106,98.80482359043255,43.40519645027584,incumbent,UZS
5,2.082325410948773,2.1126605504587155,0.2737324325021275,0.57,100,1.1804384485666106,100.14423245581571,49.6584911516521,incumbent,UZS
10,2.1434914228052473,2.193709244342156,0.2026336236862553,0.43434343434343436,99,1.1825938566552903,99.83271817743505,58.01227944098954,incumbent,UZS
20,2.0424074731525157,2.093576388888889,0.1581058975309346,0.3229166666666667,96,1.174825174825175,94.21179882132049,85.99042257422364,incumbent,UZS
1,1.4720672962403045,1.4727728411938936,0.5175746814365655,0.7619047619047619,105,1.239460370994941,70.66417316308362,18.968832349252168,last_basis_soft_w025,KZT
3,1.747392136983215,1.7489177489177488,0.32701793680674,0.5714285714285714,105,1.239460370994941,87.00647843865194,39.14957933786354,last_basis_soft_w025,KZT
5,1.7959243784264927,1.797952825990209,0.2651506276715797,0.47619047619047616,105,1.239460370994941,93.15703238607877,50.233963961134336,last_basis_soft_w025,KZT
10,1.8408178864895852,1.8472222222222223,0.20371379632513237,0.375,104,1.242320819112628,93.79569076407844,61.42265694093112,last_basis_soft_w025,KZT
20,1.6854332131351728,1.7025560224089635,0.1454213891749321,0.24509803921568626,102,1.2482517482517483,89.68749194530784,83.7534423985689,last_basis_soft_w025,KZT
1,1.8024556538914422,1.8058252427184467,0.5009347217002897,0.9029126213592233,103,1.2158516020236088,75.87460041274369,22.303205624437894,last_basis_soft_w025,AMD
3,2.028035116467495,2.034893057887437,0.33032116021157487,0.6699029126213593,103,1.2158516020236088,91.90656035351603,41.98504310519406,last_basis_soft_w025,AMD
5,2.100664297118528,2.1091775050375525,0.26343955053242957,0.5533980582524272,103,1.2158516020236088,93.8463586659052,48.26687315076028,last_basis_soft_w025,AMD
10,2.0636562562164316,2.0796723752792254,0.1995316345161546,0.4117647058823529,102,1.218430034129693,91.1094610817061,57.32865104416808,last_basis_soft_w025,AMD
20,1.9123089535062592,1.9301789828105615,0.1478988435993625,0.2828282828282828,99,1.2115384615384617,77.8148038805247,78.731012862791,last_basis_soft_w025,AMD
1,1.9890898772788537,1.9872318158032445,0.45007423016139075,0.8952380952380953,105,1.239460370994941,77.20242506741403,23.480965392810997,last_basis_soft_w025,KGS
3,2.2588977702986957,2.2522648083623693,0.30356145139919866,0.6857142857142857,105,1.239460370994941,93.01717128640352,42.91504710397599,last_basis_soft_w025,KGS
5,2.284616400369735,2.2771622934888245,0.24178280095142313,0.5523809523809524,105,1.239460370994941,92.96979757176518,48.98831087912683,last_basis_soft_w025,KGS
10,2.111111111111111,2.1022128556375135,0.18218623481781376,0.38461538461538464,104,1.242320819112628,80.59403874350626,56.24551617917403,last_basis_soft_w025,KGS
20,1.9819498373386506,1.9774872912127814,0.13850492012965304,0.27450980392156865,102,1.2482517482517483,57.64275772501078,77.4610921038059,last_basis_soft_w025,KGS
1,1.7942479783799699,1.797734627831715,0.5108918486809871,0.9166666666666666,96,1.1332209106239461,75.98977837210312,21.122416914450746,last_basis_soft_w025,TJS
3,1.9290714267682953,1.9445402298850574,0.36178891926042445,0.6979166666666666,96,1.1332209106239461,92.5432323046042,40.0071075854326,last_basis_soft_w025,TJS
5,1.9378461197996144,1.947658402203857,0.3010214935918925,0.5833333333333334,96,1.1332209106239461,94.85928503629059,45.038012488478216,last_basis_soft_w025,TJS
10,1.8911245300216475,1.9173913043478261,0.2337790326017473,0.4421052631578947,95,1.13481228668942,93.35580121548351,51.44977750720059,last_basis_soft_w025,TJS
20,1.8557213754863198,1.8932511356262167,0.17571978252192258,0.32608695652173914,92,1.125874125874126,91.4151762299971,79.02345299219235,last_basis_soft_w025,TJS
1,1.7809295240611411,1.7897461423593828,0.5099377898094435,0.9081632653061225,98,1.1568296795952784,80.94319039909934,22.62983599939283,last_basis_soft_w025,UZS
3,2.058256216202715,2.076492819349962,0.33711913296224394,0.6938775510204082,98,1.1568296795952784,99.99777911167496,43.94393458194056,last_basis_soft_w025,UZS
5,2.127445394294866,2.1557760718966485,0.2733948681460774,0.5816326530612245,98,1.1568296795952784,100.71485831857615,50.368154118410956,last_basis_soft_w025,UZS
10,2.191987204292753,2.2389403627822,0.20223611169080513,0.44329896907216493,97,1.158703071672355,101.08986818358116,59.43606416648665,last_basis_soft_w025,UZS
20,2.0919798977958375,2.1381205673758865,0.15764359609288084,0.32978723404255317,94,1.1503496503496504,93.28775431036334,86.4288543294516,last_basis_soft_w025,UZS
1,1.3941667460778113,1.3951320990222593,0.5176849415360398,0.7217391304347827,115,1.3575042158516022,55.486555528327564,21.026057564436776,per_currency_weights,KZT
