kind,currency,quarter,train,last_resolved,test
logit,UZS,2025-01-01,737,2024-12-29,57
logit,KZT,2025-04-01,794,2025-03-29,59
logit,AMD,2025-04-01,794,2025-03-29,59
logit,KGS,2025-04-01,794,2025-03-29,59
logit,TJS,2025-04-01,794,2025-03-29,59
logit,UZS,2025-04-01,794,2025-03-29,59
logit,KZT,2025-07-01,853,2025-06-28,66
logit,AMD,2025-07-01,853,2025-06-28,66
logit,KGS,2025-07-01,853,2025-06-28,66
logit,TJS,2025-07-01,853,2025-06-28,66
logit,UZS,2025-07-01,853,2025-06-28,66
logit,KZT,2025-10-01,919,2025-09-30,65
logit,AMD,2025-10-01,919,2025-09-30,65
logit,KGS,2025-10-01,919,2025-09-30,65
logit,TJS,2025-10-01,919,2025-09-30,65
logit,UZS,2025-10-01,919,2025-09-30,65
logit,KZT,2026-01-01,984,2025-12-31,54
logit,AMD,2026-01-01,984,2025-12-31,54
logit,KGS,2026-01-01,984,2025-12-31,54
logit,TJS,2026-01-01,984,2025-12-31,54
logit,UZS,2026-01-01,984,2025-12-31,54
logit,KZT,2026-04-01,1038,2026-03-31,62
logit,AMD,2026-04-01,1038,2026-03-31,62
logit,KGS,2026-04-01,1038,2026-03-31,62
logit,TJS,2026-04-01,1038,2026-03-31,62
logit,UZS,2026-04-01,1038,2026-03-31,62
logit,KZT,2026-07-01,1100,2026-06-30,41
logit,AMD,2026-07-01,1100,2026-06-30,41
logit,KGS,2026-07-01,1100,2026-06-30,41
logit,TJS,2026-07-01,1100,2026-06-30,41
logit,UZS,2026-07-01,1100,2026-06-30,41
