kind,currency,quarter,train,last_resolved,test
logit,all,2023-01-01,1210,2022-12-31,280
logit,all,2023-04-01,1490,2023-03-31,305
logit,all,2023-07-01,1795,2023-06-30,330
logit,all,2023-10-01,2125,2023-09-30,320
logit,all,2024-01-01,2445,2023-12-30,285
logit,all,2024-04-01,2730,2024-03-30,300
logit,all,2024-07-01,3030,2024-06-29,325
logit,all,2024-10-01,3355,2024-09-28,330
logit,all,2025-01-01,3685,2024-12-29,285
logit,all,2025-04-01,3970,2025-03-29,295
logit,all,2025-07-01,4265,2025-06-28,330
logit,all,2025-10-01,4595,2025-09-30,325
logit,all,2026-01-01,4920,2025-12-31,270
logit,all,2026-04-01,5190,2026-03-31,310
logit,all,2026-07-01,5500,2026-06-30,205
hist,all,2023-01-01,1210,2022-12-31,280
hist,all,2023-04-01,1490,2023-03-31,305
hist,all,2023-07-01,1795,2023-06-30,330
hist,all,2023-10-01,2125,2023-09-30,320
hist,all,2024-01-01,2445,2023-12-30,285
hist,all,2024-04-01,2730,2024-03-30,300
hist,all,2024-07-01,3030,2024-06-29,325
hist,all,2024-10-01,3355,2024-09-28,330
hist,all,2025-01-01,3685,2024-12-29,285
hist,all,2025-04-01,3970,2025-03-29,295
hist,all,2025-07-01,4265,2025-06-28,330
hist,all,2025-10-01,4595,2025-09-30,325
hist,all,2026-01-01,4920,2025-12-31,270
hist,all,2026-04-01,5190,2026-03-31,310
hist,all,2026-07-01,5500,2026-06-30,205
extra,all,2023-01-01,1210,2022-12-31,280
extra,all,2023-04-01,1490,2023-03-31,305
extra,all,2023-07-01,1795,2023-06-30,330
extra,all,2023-10-01,2125,2023-09-30,320
extra,all,2024-01-01,2445,2023-12-30,285
extra,all,2024-04-01,2730,2024-03-30,300
extra,all,2024-07-01,3030,2024-06-29,325
extra,all,2024-10-01,3355,2024-09-28,330
extra,all,2025-01-01,3685,2024-12-29,285
extra,all,2025-04-01,3970,2025-03-29,295
extra,all,2025-07-01,4265,2025-06-28,330
extra,all,2025-10-01,4595,2025-09-30,325
extra,all,2026-01-01,4920,2025-12-31,270
extra,all,2026-04-01,5190,2026-03-31,310
extra,all,2026-07-01,5500,2026-06-30,205
logit,KZT,2023-01-01,242,2022-12-31,56
logit,AMD,2023-01-01,242,2022-12-31,56
logit,KGS,2023-01-01,242,2022-12-31,56
logit,TJS,2023-01-01,242,2022-12-31,56
logit,UZS,2023-01-01,242,2022-12-31,56
logit,KZT,2023-04-01,298,2023-03-31,61
logit,AMD,2023-04-01,298,2023-03-31,61
logit,KGS,2023-04-01,298,2023-03-31,61
logit,TJS,2023-04-01,298,2023-03-31,61
logit,UZS,2023-04-01,298,2023-03-31,61
logit,KZT,2023-07-01,359,2023-06-30,66
logit,AMD,2023-07-01,359,2023-06-30,66
logit,KGS,2023-07-01,359,2023-06-30,66
logit,TJS,2023-07-01,359,2023-06-30,66
logit,UZS,2023-07-01,359,2023-06-30,66
logit,KZT,2023-10-01,425,2023-09-30,64
logit,AMD,2023-10-01,425,2023-09-30,64
logit,KGS,2023-10-01,425,2023-09-30,64
logit,TJS,2023-10-01,425,2023-09-30,64
logit,UZS,2023-10-01,425,2023-09-30,64
logit,KZT,2024-01-01,489,2023-12-30,57
logit,AMD,2024-01-01,489,2023-12-30,57
logit,KGS,2024-01-01,489,2023-12-30,57
logit,TJS,2024-01-01,489,2023-12-30,57
logit,UZS,2024-01-01,489,2023-12-30,57
logit,KZT,2024-04-01,546,2024-03-30,60
logit,AMD,2024-04-01,546,2024-03-30,60
logit,KGS,2024-04-01,546,2024-03-30,60
logit,TJS,2024-04-01,546,2024-03-30,60
logit,UZS,2024-04-01,546,2024-03-30,60
logit,KZT,2024-07-01,606,2024-06-29,65
logit,AMD,2024-07-01,606,2024-06-29,65
logit,KGS,2024-07-01,606,2024-06-29,65
logit,TJS,2024-07-01,606,2024-06-29,65
logit,UZS,2024-07-01,606,2024-06-29,65
logit,KZT,2024-10-01,671,2024-09-28,66
logit,AMD,2024-10-01,671,2024-09-28,66
logit,KGS,2024-10-01,671,2024-09-28,66
logit,TJS,2024-10-01,671,2024-09-28,66
logit,UZS,2024-10-01,671,2024-09-28,66
logit,KZT,2025-01-01,737,2024-12-29,57
logit,AMD,2025-01-01,737,2024-12-29,57
logit,KGS,2025-01-01,737,2024-12-29,57
logit,TJS,2025-01-01,737,2024-12-29,57
