horizon,case_lift,pooled_lift,base_rate,hit_rate,n_signals,frequency,future_benefit_bps,symmetric_benefit_bps,candidate
1,1.5645887899423783,1.56512990347632,0.5563326921956053,0.8704318936877077,301,1.2847560975609755,61.02727633075876,14.085042448093812,incumbent
3,1.6645962732919253,1.6657821848397392,0.40116279069767447,0.6677740863787376,301,1.2847560975609755,79.45553646189768,26.78842157691082,incumbent
5,1.621539243078486,1.6231608922638823,0.34420353208602905,0.5581395348837209,301,1.2847560975609755,84.64011863735163,28.99137771430295,incumbent
10,1.6023978088987652,1.604620113639892,0.281969458530046,0.45182724252491696,301,1.2847560975609755,98.64480924991966,29.741202958864022,incumbent
20,1.6144767899291894,1.6161645091075725,0.2037215130850382,0.3289036544850498,301,1.2847560975609755,112.5893732149632,34.43098195673582,incumbent
1,1.5589947020904558,1.5599473541270605,0.5564801905425817,0.8675496688741722,302,1.2890243902439025,63.217242036935204,15.839412239766746,mean_basis_any_w010
3,1.6996453644061662,1.701566507745591,0.4013303125363077,0.6821192052980133,302,1.2890243902439025,83.46091048108794,30.77180704390831,mean_basis_any_w010
5,1.6633212448342753,1.6659345857548318,0.3443999070523992,0.5728476821192053,302,1.2890243902439025,89.85654276867737,33.99085163418285,mean_basis_any_w010
10,1.6312538604076592,1.634585628520146,0.2821540606483095,0.4602649006622517,302,1.2890243902439025,103.35148891541294,36.39015267333065,mean_basis_any_w010
20,1.6888888888888889,1.6921671614523863,0.20390379923318228,0.3443708609271523,302,1.2890243902439025,118.99532803762739,42.33945353523463,mean_basis_any_w010
1,1.5461594574879096,1.545633291560434,0.5559510934871426,0.8595890410958904,292,1.2463414634146344,65.2606153689349,17.07805554130919,mean_basis_any_w025
3,1.676093316330358,1.674410239501214,0.40047464551790435,0.6712328767123288,292,1.2463414634146344,84.36307992671557,31.951487629953963,mean_basis_any_w025
5,1.6359817990899548,1.6333519709253566,0.34330689738043735,0.5616438356164384,292,1.2463414634146344,91.22595721918732,35.88129672816232,mean_basis_any_w025
10,1.6313541221700127,1.6297529125592114,0.28130257149723625,0.4589041095890411,292,1.2463414634146344,108.08578803265574,43.835650649786785,mean_basis_any_w025
20,1.7008641701750498,1.699633915918753,0.20336157173756308,0.3458904109589041,292,1.2463414634146344,125.59092779247972,52.561426450154144,mean_basis_any_w025
1,1.5461888352860094,1.5466237232798747,0.5562967734020366,0.8601398601398601,286,1.2207317073170734,64.90739972297831,17.590320506802076,mean_basis_any_w050
3,1.6914722753346079,1.6920934645223484,0.40102441418230894,0.6783216783216783,286,1.2207317073170734,84.78850709685253,33.169451472998375,mean_basis_any_w050
5,1.6465763195435092,1.647281290138433,0.3440068703226598,0.5664335664335665,286,1.2207317073170734,89.82911783918523,36.953353556808025,mean_basis_any_w050
10,1.6742819843342034,1.6763610221554148,0.28192859771807144,0.47202797202797203,286,1.2207317073170734,106.47247883312744,45.82645428254729,mean_basis_any_w050
20,1.836356793375988,1.838377140101278,0.203732670837934,0.3741258741258741,286,1.2207317073170734,131.0195094332426,59.47614321237885,mean_basis_any_w050
1,1.4588314531065838,1.4589624706714417,0.5561902978085783,0.8113879003558719,281,1.199390243902439,56.74511687481179,16.89965104354009,mean_basis_any_w075
3,1.5790210878530853,1.580164619949072,0.4011675095211338,0.6334519572953736,281,1.199390243902439,75.64999891173181,32.439160111553974,mean_basis_any_w075
5,1.5296464188576608,1.5317016486309825,0.344321658238122,0.5266903914590747,281,1.199390243902439,83.6023107603496,38.91374517369382,mean_basis_any_w075
10,1.5405405405405403,1.5418897794924669,0.2818255603421365,0.43416370106761565,281,1.199390243902439,100.87422183214355,49.86104758791486,mean_basis_any_w075
20,1.7487344684767603,1.7486808197324826,0.2035025285634014,0.35587188612099646,281,1.199390243902439,129.08781596503243,65.5196018841899,mean_basis_any_w075
1,1.3387477363771056,1.3407489640466481,0.5569716975365243,0.7456445993031359,287,1.225,44.815123269425456,15.265723955049257,mean_basis_any_w100
3,1.4389233167319315,1.4428289328219945,0.4019652790512868,0.578397212543554,287,1.225,64.45754007222652,30.016133080927045,mean_basis_any_w100
5,1.4031701053750112,1.4084832539287493,0.3451616846995538,0.4843205574912892,287,1.225,71.99950489673202,35.854042192269276,mean_basis_any_w100
10,1.4407777477720767,1.4477840372529227,0.2829482242190843,0.4076655052264808,287,1.225,90.34385317410747,46.882124551770055,mean_basis_any_w100
20,1.6187131006651225,1.6265168809323562,0.20448988324469708,0.3310104529616725,287,1.225,117.86427071611736,60.635109481723,mean_basis_any_w100
1,1.5592388609015686,1.5599473541270605,0.556393052166841,0.8675496688741722,302,1.2890243902439025,62.18623387331969,15.097280267937268,mean_basis_hard_w010
3,1.6918844566712519,1.693306476154593,0.4012141280353201,0.6788079470198676,302,1.2890243902439025,81.68342492559765,29.31680693438137,mean_basis_hard_w010
5,1.6544043199460006,1.6563049060683877,0.3442546764261648,0.5695364238410596,302,1.2890243902439025,88.48126802267811,32.50309941754867,mean_basis_hard_w010
10,1.6319258496395472,1.634585628520146,0.2820378761473219,0.4602649006622517,302,1.2890243902439025,102.17759392419876,34.6458446038177,mean_basis_hard_w010
20,1.6572365139314473,1.6596254852706098,0.20380213779481818,0.33774834437086093,302,1.2890243902439025,116.91038365773801,39.960315508507094,mean_basis_hard_w010
1,1.5485677252106285,1.549684542586751,0.5565414358264081,0.8618421052631579,304,1.2975609756097561,61.56594603397847,15.119119004843508,mean_basis_hard_w025
3,1.671650373778033,1.673960612691466,0.4014312096029548,0.6710526315789473,304,1.2975609756097561,80.09582550760395,29.27358198425513,mean_basis_hard_w025
5,1.6326633165829145,1.6358418367346939,0.3445290858725762,0.5625,304,1.2975609756097561,86.76674039844269,32.974117714917675,mean_basis_hard_w025
