scenario,clock,model,status,base_rows,calibration_rows,evaluation_rows,latest_base_maturity_ord,base_cutoff_ord,latest_calibration_maturity_ord,eval_cutoff_ord
calendar_assumed_replay,00:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,00:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,00:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,00:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,06:00,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,06:00,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,06:00,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,06:00,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,09:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,09:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,09:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,09:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:15,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:15,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:15,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:15,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,10:45,curve_extra_platt,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,11:45,identity_h20,identity,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,11:45,curve_logit,fit,1025,470,2910,739127,739128,739249,739250
calendar_assumed_replay,11:45,curve_hgb_platt,fit,1025,470,2910,739127,739128,739249,739250
