origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,score_min,score_mean,score_max,n_groups_total,n_groups_kept,n_group_rows,target_kind,group_kind,rolling_days,loss,fallback
2023-01-01,rank_qtr_mean_full_pair,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.0024322688193510497,0.08187632082889226,0.48290882556311154,20,20,539,mean,quarter,,PairLogit,False
2023-01-01,rank_qtr_mean_roll3_pair,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.0024322688193510497,0.08187632082889226,0.48290882556311154,20,20,539,mean,quarter,1095.0,PairLogit,False
2023-01-01,rank_month_mean_full_pair,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.0014003342532160883,0.17006730342351822,0.7772358963853161,60,55,534,mean,month,,PairLogit,False
2023-01-01,rank_qtr_y20_full_pair,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.0026375792547788856,0.05853380669794334,0.6563113147535954,20,20,539,y20,quarter,,PairLogit,False
2023-01-01,rank_qtr_mean_full_yeti,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.3791295827889001,0.422620711879261,0.5426649878001059,20,20,539,mean,quarter,,YetiRankPairwise,False
2023-04-01,rank_qtr_mean_full_pair,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.005877917377794695,0.35254380046148387,0.9853019379810097,25,25,725,mean,quarter,,PairLogit,False
2023-04-01,rank_qtr_mean_roll3_pair,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.005877917377794695,0.35254380046148387,0.9853019379810097,25,25,725,mean,quarter,1095.0,PairLogit,False
2023-04-01,rank_month_mean_full_pair,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.001958424283208035,0.32283218611977765,0.9765134669440982,70,70,725,mean,month,,PairLogit,False
2023-04-01,rank_qtr_y20_full_pair,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.008825328874709175,0.3642262395417157,0.9939494707005011,25,25,725,y20,quarter,,PairLogit,False
2023-04-01,rank_qtr_mean_full_yeti,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.35084899018271043,0.46283104900863925,0.6997300189942197,25,25,725,mean,quarter,,YetiRankPairwise,False
2023-07-01,rank_qtr_mean_full_pair,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.0044085235813853055,0.24741188749884485,0.8400473929638756,30,30,896,mean,quarter,,PairLogit,False
2023-07-01,rank_qtr_mean_roll3_pair,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.0044085235813853055,0.24741188749884485,0.8400473929638756,30,30,896,mean,quarter,1095.0,PairLogit,False
2023-07-01,rank_month_mean_full_pair,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.002040622176407891,0.2695238310727408,0.9605835404879807,85,85,896,mean,month,,PairLogit,False
2023-07-01,rank_qtr_y20_full_pair,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.002240989719571968,0.17921529552338428,0.8943725297529267,30,30,896,y20,quarter,,PairLogit,False
2023-07-01,rank_qtr_mean_full_yeti,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.330390569043078,0.4349438055404998,0.6560536438755593,30,30,896,mean,quarter,,YetiRankPairwise,False
2023-10-01,rank_qtr_mean_full_pair,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.06939752248266058,0.4686157316731457,0.9795614660437966,35,35,1105,mean,quarter,,PairLogit,False
2023-10-01,rank_qtr_mean_roll3_pair,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.06939752248266058,0.4686157316731457,0.9795614660437966,35,35,1105,mean,quarter,1095.0,PairLogit,False
2023-10-01,rank_month_mean_full_pair,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.06412129742631009,0.6339857173768043,0.9873767182985121,100,100,1105,mean,month,,PairLogit,False
2023-10-01,rank_qtr_y20_full_pair,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.016861613078376192,0.5998723915845189,0.9945067480579555,35,35,1105,y20,quarter,,PairLogit,False
