candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,empty_complete_months,calendar_gap_max
rank_qtr_mean_full_pair_primary_ranker_dual_month24_cap2,2.2327308605871092,2.2678381133109293,1.058572949946752,1.138646288209607,103.90850191496183,60.96140317867477,1,49
rank_qtr_mean_full_pair_pace_ranker_dual_month24_cap2,2.367826641882935,2.3926110134240517,1.0316593886462881,1.0907150480256136,119.78478847602256,61.371060214911175,0,43
rank_qtr_mean_roll3_pair_primary_ranker_dual_month24_cap2,2.1945368844534623,2.2471164256561034,1.030949839914621,1.1233624454148472,100.91579688325523,62.07308685981901,1,49
rank_qtr_mean_roll3_pair_pace_ranker_dual_month24_cap2,2.3712308190148144,2.386082631345586,1.0316593886462881,1.0907150480256136,119.56502752275654,61.28242379518645,0,43
rank_month_mean_full_pair_primary_ranker_dual_month24_cap2,2.2078841988494924,2.225293597802553,1.023479188900747,1.1080786026200873,99.6457966683359,65.03747040808206,5,49
rank_month_mean_full_pair_pace_ranker_dual_month24_cap2,2.3818548831766497,2.4033847232986676,1.0163755458515285,1.0907150480256136,118.48565897075551,61.74008119239713,0,43
rank_qtr_y20_full_pair_primary_ranker_dual_month24_cap2,2.092329245325889,2.1029276562391512,1.0608324439701173,1.1692139737991265,90.2580892984293,59.82678106986256,0,53
rank_qtr_y20_full_pair_pace_ranker_dual_month24_cap2,2.3460779154668256,2.3808071478472987,1.0240174672489082,1.0907150480256136,117.6669232742249,61.56570995484138,0,43
rank_qtr_mean_full_yeti_primary_ranker_dual_month24_cap2,2.171713638285473,2.207242456643904,1.1591397849462366,1.2609170305676856,102.94936836241085,56.34704793076342,0,27
rank_qtr_mean_full_yeti_pace_ranker_dual_month24_cap2,2.3972115541676473,2.4242046006904627,1.039301310043668,1.0907150480256136,120.98498188596187,62.21433740774659,0,43
soft730_pace_competence_dual_month24_cap2,2.4066344859475715,2.4523145146055,1.039301310043668,1.0683030949839913,122.0069161682896,61.56320017602866,0,43
roll_cat_dual_pace_month24_cap2,2.402123780364839,2.4221079067527738,1.0087336244541485,1.0683030949839913,121.35932766966262,60.63587014301033,0,43
full_recent50_pace365_p55_r70_month24_cap2,2.3870242562154202,2.428024491572195,1.0163755458515285,1.0683030949839913,121.6786520501364,59.297617810908434,0,43
extra_ap12_pace365_p55_r70_month24_cap2,2.375649673314135,2.417784501830393,1.0316593886462881,1.0757737459978656,120.69459341316606,57.13571421208256,0,43
extra_h5_r30_nogap_cap2,2.3504887785832245,2.4075401046965963,0.9323144104803494,0.9935965848452508,124.25082999130083,55.335064946755956,3,43
extra_roll2_primary_cap2,2.4357213221974487,2.4730977056825822,0.87882096069869,0.9637139807897545,130.01780706425913,63.65210505611485,6,58
local_extra_primary_cap2,2.4038544045808745,2.4479263979266164,0.8406113537117904,1.0010672358591248,130.4257285399178,59.21514138026065,6,64
extra_roll2_reserve7_cap2,2.3134117187296623,2.329701424877295,1.1080786026200873,1.1953041622198506,114.06945827612941,61.771446319769574,0,29
known_next_not_lower_cd3,1.9092195390110664,1.9283144958240843,1.3831877729257642,1.476038338658147,69.97117307419252,41.10111569663991,0,18
