feature,importance,is_moex
moex_cnyrub_tom_close_wap,0.07117448863217742,True
moex_cnyrub_tom_open_close,0.04117169036520221,True
moex_cnyrub_tom_ret_1,0.0302076428095078,True
moex_usd000utstom_close_wap,0.024137545312343155,True
moex_usd000utstom_ret_1,0.015441247368429228,True
broad_exusd_ret_60_positive_breadth,0.015436285629472702,False
moex_cnyrub_tom_ret_2,0.014367514195388209,True
moex_usd000utstom_open_close,0.012843597361879589,True
broad_factor_ret_20_positive_breadth,0.01129413164198654,False
annual_sin_2,0.011267513245885711,False
moex_eur_rub__tom_ret_1,0.009154186347534466,True
annual_sin_1,0.008774878549788557,False
vol_ratio_20_120,0.008548280919181889,False
broad_eur_vol_20,0.007909765861396852,False
broad_factor_ret_1_positive_breadth,0.007545224735934964,False
moex_cnyrub_tom_log_trades,0.006571743405418489,True
moex_cnyrub_tom_ret_5,0.00652938216476851,True
broad_exusd_ret_60_median,0.006465092815472419,False
annual_cos_2,0.006401518557232712,False
moex_usd000utstom_ret_2,0.0063592078768925685,True
broad_exusd_ret_60_dispersion,0.006034479039135555,False
annual_cos_1,0.005720436364395298,False
broad_factor_ret_60_dispersion,0.005556357710135528,False
ruonia,0.005522058460051335,False
broad_factor_vol_20_dispersion,0.00532078312423568,False
moex_eur_rub__tom_close_wap,0.005207321771724207,True
ruonia_p75,0.00518459278742827,False
broad_exusd_ret_20_positive_breadth,0.005114847196948858,False
ruonia_p25,0.005073709222324161,False
cnyusd_ret_20,0.005064997789338,False
moex_usd000utstom_ret_5,0.004999283523760355,True
broad_exusd_ret_60_mean,0.0049767278579210495,False
moex_cnyrub_tom_ret_20,0.004816413121212148,True
ruonia_max,0.004776504088779325,False
moex_eur_rub__tom_ret_2,0.004715328208629196,True
ruonia_participants,0.004655532213375194,False
broad_exusd_ret_2_positive_breadth,0.004599695948043001,False
broad_jpy_ret_20,0.004599497002623634,False
moex_eur_rub__tom_open_close,0.004478784995990471,True
key_rate_change_20,0.0043422159677869564,False
broad_nok_ret_10,0.004321016738818641,False
broad_inr_vol_20,0.0042244273600202656,False
broad_try_vol_20,0.004186761520059907,False
broad_factor_ret_2_positive_breadth,0.004158432213544144,False
broad_factor_vol_60_dispersion,0.004011033531805122,False
key_rate,0.003846261744119641,False
broad_factor_ret_20_dispersion,0.003784826989632173,False
broad_exusd_ret_10_positive_breadth,0.003782485384100167,False
broad_chf_vol_20,0.003775545336053546,False
broad_factor_ret_10_mean,0.003770857388064389,False
