origin,n_shared_train,n_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,score_min,score_mean,score_max,n_augmented,positive_share,weight_sum,fallback,monotonic_min_delta
2022-07-01,475,203,330,3442218c4d49afe7a316acc19f4fd721a6b600cddd3e8509cbf108a6be011745,6eda896a9ae60f92a8e88cf61de30fa7b21f0a09b2d43ebca19342799c2ed574,2022-06-28,0.0025026348684576544,0.04802595896540987,0.5570621140741283,1015,0.22660098522167488,913.1984656181908,False,0.0
2022-10-01,805,376,320,850d3c42f2db1da9fcd62c7a26f6e35bf939e9e7cd39d7368d65f94e8e5467e6,f7a50cbfc01332468ee13da68f220bee7819053472ca3620c302df2ddba645be,2022-09-28,0.0005815386190538665,0.14913175043772792,0.9701149490774265,1880,0.2547872340425532,1646.0212843445393,False,0.0
2023-01-01,1130,539,285,dad202d32cf652c3dd2ed33c0fd7c37cf3e9c202a60e4583f6b4db0703f08db4,d787292d93b1b8e30c5e8fdfbc07368e97179f51f88f112a66758e5b648350d4,2022-12-29,0.0008162341008678177,0.08124931776920007,0.8302897539118322,2695,0.2686456400742115,2267.5519589047494,False,0.0
2023-04-01,1410,725,305,71651e85a71ff49e225eb625a452e42024b1b873bfdf98673236d129ad2f1f88,63e588689d1dee4a94e8dfd3f763a3c8fdfe63735a815b8235f14f5db4019c24,2023-03-29,0.0029299906693785504,0.1506247033056468,0.9419520974634334,3625,0.3332413793103448,2946.442275408247,False,0.0
2023-07-01,1715,896,325,c55e3280582666e6720c51a9b39e767d5214e4ca384ba9438f85fa1925aed1b9,7e3b9b8c65e0fde3eceddacbfbe9b49bb4ff6f5f26dc0bcbf4c89b030105b74a,2023-06-28,0.0013625035515541708,0.21536191493586876,0.9271713019586085,4480,0.3515625,3494.7923016460395,False,0.0
2023-10-01,2045,1105,320,2cd93d2927475be09465aff94f2117263d2137341378ca927f18e5287b444b08,e3c1fadf6858e3c7c95410d60d04cdc60fb1045d6a1114f72f30aaedf4c31938,2023-09-28,0.0007896647366389607,0.2573093978546643,0.987601115066714,5525,0.3730316742081448,4174.798135926647,False,0.0
2024-01-01,2370,1265,285,13c12d636de81caa2d8f49407911d34b073d580c219198a1010d4e836d698f9f,27b6a7f828e0dd075f46e0a67152884adda9fc0ab672fabb360ef0f26a2c4ff1,2023-12-29,0.0036363603859588755,0.3482315992371668,0.9181804906758547,6325,0.34482213438735176,4566.040459158565,False,0.0
2024-04-01,2655,1413,300,360d6d76a7c3929c4e974f20fe05f1f0b93c6663b61beb6d04f053c75949b7ec,a81d7bd8c9e5b8e617500d9da14b75b54d77abc51914fa69ffed295a41284460,2024-03-29,0.0015122030257962544,0.1656174785924836,0.963316991571583,7065,0.33956121726822364,4878.498267027009,False,0.0
2024-07-01,2955,1564,330,f4f430ad5c432e6f0349f16cb516ba9df4eb3826a3687fd658b7d39969399538,6ff608c2796f1bc92a9f9d253bac252fa77e2f512117f3e2bdd23bb176cebbcc,2024-06-28,0.00041809210141122036,0.12350653523335607,0.8721340970180832,7820,0.33554987212276216,5172.363669243048,False,0.0
2024-10-01,3280,1737,325,8bb9df7b9cfa0ee44bdfea0b663badef43854252fc6d2714747b8eefc7aa4df6,05a6fee127060aca6e289525243872bbea4d10ef954c48abd8164ef2a0da7ab9,2024-09-27,0.00026652183855346655,0.06976490429488645,0.91008991959672,8685,0.32469775474956825,5544.794882712981,False,0.0
