candidate,quarter,n_train,n_test,last_resolved,n_features,view,stale
logit,2024-01-01,2055,285,2023-12-30,42,noon,False
logit,2024-04-01,2340,300,2024-03-30,42,noon,False
logit,2024-07-01,2640,325,2024-06-29,42,noon,False
logit,2024-10-01,2965,330,2024-09-28,42,noon,False
logit,2025-01-01,3295,285,2024-12-29,42,noon,False
logit,2025-04-01,3580,295,2025-03-29,42,noon,False
logit,2025-07-01,3875,330,2025-06-28,42,noon,False
logit,2025-10-01,4205,325,2025-09-30,42,noon,False
logit,2026-01-01,4530,270,2025-12-31,42,noon,False
logit,2026-04-01,4800,310,2026-03-31,42,noon,False
logit,2026-07-01,5110,205,2026-06-30,42,noon,False
logit,2024-01-01,2055,285,2023-12-30,42,noon,True
logit,2024-04-01,2340,300,2024-03-30,42,noon,True
logit,2024-07-01,2640,325,2024-06-29,42,noon,True
logit,2024-10-01,2965,330,2024-09-28,42,noon,True
logit,2025-01-01,3295,285,2024-12-29,42,noon,True
logit,2025-04-01,3580,295,2025-03-29,42,noon,True
logit,2025-07-01,3875,330,2025-06-28,42,noon,True
logit,2025-10-01,4205,325,2025-09-30,42,noon,True
logit,2026-01-01,4530,270,2025-12-31,42,noon,True
logit,2026-04-01,4800,310,2026-03-31,42,noon,True
logit,2026-07-01,5110,205,2026-06-30,42,noon,True
hist,2024-01-01,2055,285,2023-12-30,42,noon,False
hist,2024-04-01,2340,300,2024-03-30,42,noon,False
hist,2024-07-01,2640,325,2024-06-29,42,noon,False
hist,2024-10-01,2965,330,2024-09-28,42,noon,False
hist,2025-01-01,3295,285,2024-12-29,42,noon,False
hist,2025-04-01,3580,295,2025-03-29,42,noon,False
hist,2025-07-01,3875,330,2025-06-28,42,noon,False
hist,2025-10-01,4205,325,2025-09-30,42,noon,False
hist,2026-01-01,4530,270,2025-12-31,42,noon,False
hist,2026-04-01,4800,310,2026-03-31,42,noon,False
hist,2026-07-01,5110,205,2026-06-30,42,noon,False
hist,2024-01-01,2055,285,2023-12-30,42,noon,True
hist,2024-04-01,2340,300,2024-03-30,42,noon,True
hist,2024-07-01,2640,325,2024-06-29,42,noon,True
hist,2024-10-01,2965,330,2024-09-28,42,noon,True
hist,2025-01-01,3295,285,2024-12-29,42,noon,True
hist,2025-04-01,3580,295,2025-03-29,42,noon,True
hist,2025-07-01,3875,330,2025-06-28,42,noon,True
hist,2025-10-01,4205,325,2025-09-30,42,noon,True
hist,2026-01-01,4530,270,2025-12-31,42,noon,True
hist,2026-04-01,4800,310,2026-03-31,42,noon,True
hist,2026-07-01,5110,205,2026-06-30,42,noon,True
extra,2024-01-01,2055,285,2023-12-30,42,noon,False
extra,2024-04-01,2340,300,2024-03-30,42,noon,False
extra,2024-07-01,2640,325,2024-06-29,42,noon,False
extra,2024-10-01,2965,330,2024-09-28,42,noon,False
extra,2025-01-01,3295,285,2024-12-29,42,noon,False
extra,2025-04-01,3580,295,2025-03-29,42,noon,False
extra,2025-07-01,3875,330,2025-06-28,42,noon,False
extra,2025-10-01,4205,325,2025-09-30,42,noon,False
extra,2026-01-01,4530,270,2025-12-31,42,noon,False
extra,2026-04-01,4800,310,2026-03-31,42,noon,False
extra,2026-07-01,5110,205,2026-06-30,42,noon,False
extra,2024-01-01,2055,285,2023-12-30,42,noon,True
extra,2024-04-01,2340,300,2024-03-30,42,noon,True
extra,2024-07-01,2640,325,2024-06-29,42,noon,True
extra,2024-10-01,2965,330,2024-09-28,42,noon,True
extra,2025-01-01,3295,285,2024-12-29,42,noon,True
extra,2025-04-01,3580,295,2025-03-29,42,noon,True
extra,2025-07-01,3875,330,2025-06-28,42,noon,True
extra,2025-10-01,4205,325,2025-09-30,42,noon,True
extra,2026-01-01,4530,270,2025-12-31,42,noon,True
extra,2026-04-01,4800,310,2026-03-31,42,noon,True
extra,2026-07-01,5110,205,2026-06-30,42,noon,True
logit,2024-01-01,2055,285,2023-12-30,89,full,False
logit,2024-04-01,2340,300,2024-03-30,89,full,False
logit,2024-07-01,2640,325,2024-06-29,89,full,False
logit,2024-10-01,2965,330,2024-09-28,89,full,False
logit,2025-01-01,3295,285,2024-12-29,89,full,False
logit,2025-04-01,3580,295,2025-03-29,89,full,False
logit,2025-07-01,3875,330,2025-06-28,89,full,False
logit,2025-10-01,4205,325,2025-09-30,89,full,False
logit,2026-01-01,4530,270,2025-12-31,89,full,False
logit,2026-04-01,4800,310,2026-03-31,89,full,False
logit,2026-07-01,5110,205,2026-06-30,89,full,False
logit,2024-01-01,2055,285,2023-12-30,89,full,True
logit,2024-04-01,2340,300,2024-03-30,89,full,True
logit,2024-07-01,2640,325,2024-06-29,89,full,True
logit,2024-10-01,2965,330,2024-09-28,89,full,True
logit,2025-01-01,3295,285,2024-12-29,89,full,True
logit,2025-04-01,3580,295,2025-03-29,89,full,True
logit,2025-07-01,3875,330,2025-06-28,89,full,True
logit,2025-10-01,4205,325,2025-09-30,89,full,True
logit,2026-01-01,4530,270,2025-12-31,89,full,True
logit,2026-04-01,4800,310,2026-03-31,89,full,True
logit,2026-07-01,5110,205,2026-06-30,89,full,True
hist,2024-01-01,2055,285,2023-12-30,89,full,False
hist,2024-04-01,2340,300,2024-03-30,89,full,False
hist,2024-07-01,2640,325,2024-06-29,89,full,False
hist,2024-10-01,2965,330,2024-09-28,89,full,False
hist,2025-01-01,3295,285,2024-12-29,89,full,False
hist,2025-04-01,3580,295,2025-03-29,89,full,False
hist,2025-07-01,3875,330,2025-06-28,89,full,False
hist,2025-10-01,4205,325,2025-09-30,89,full,False
hist,2026-01-01,4530,270,2025-12-31,89,full,False
hist,2026-04-01,4800,310,2026-03-31,89,full,False
hist,2026-07-01,5110,205,2026-06-30,89,full,False
hist,2024-01-01,2055,285,2023-12-30,89,full,True
hist,2024-04-01,2340,300,2024-03-30,89,full,True
hist,2024-07-01,2640,325,2024-06-29,89,full,True
hist,2024-10-01,2965,330,2024-09-28,89,full,True
hist,2025-01-01,3295,285,2024-12-29,89,full,True
hist,2025-04-01,3580,295,2025-03-29,89,full,True
hist,2025-07-01,3875,330,2025-06-28,89,full,True
hist,2025-10-01,4205,325,2025-09-30,89,full,True
hist,2026-01-01,4530,270,2025-12-31,89,full,True
hist,2026-04-01,4800,310,2026-03-31,89,full,True
hist,2026-07-01,5110,205,2026-06-30,89,full,True
extra,2024-01-01,2055,285,2023-12-30,89,full,False
extra,2024-04-01,2340,300,2024-03-30,89,full,False
extra,2024-07-01,2640,325,2024-06-29,89,full,False
extra,2024-10-01,2965,330,2024-09-28,89,full,False
extra,2025-01-01,3295,285,2024-12-29,89,full,False
extra,2025-04-01,3580,295,2025-03-29,89,full,False
extra,2025-07-01,3875,330,2025-06-28,89,full,False
extra,2025-10-01,4205,325,2025-09-30,89,full,False
extra,2026-01-01,4530,270,2025-12-31,89,full,False
extra,2026-04-01,4800,310,2026-03-31,89,full,False
extra,2026-07-01,5110,205,2026-06-30,89,full,False
extra,2024-01-01,2055,285,2023-12-30,89,full,True
extra,2024-04-01,2340,300,2024-03-30,89,full,True
extra,2024-07-01,2640,325,2024-06-29,89,full,True
extra,2024-10-01,2965,330,2024-09-28,89,full,True
extra,2025-01-01,3295,285,2024-12-29,89,full,True
extra,2025-04-01,3580,295,2025-03-29,89,full,True
extra,2025-07-01,3875,330,2025-06-28,89,full,True
extra,2025-10-01,4205,325,2025-09-30,89,full,True
extra,2026-01-01,4530,270,2025-12-31,89,full,True
extra,2026-04-01,4800,310,2026-03-31,89,full,True
extra,2026-07-01,5110,205,2026-06-30,89,full,True
