candidate,min_lift,mean_lift,min_future_bps,min_sym_bps,frequency
global_extra_w10,1.5569910617765708,1.6081956258044976,62.88865957726616,15.386728044504588,1.276219512195122
global_extra_w100,1.4599615330487403,1.5309648631673065,57.27037139463219,14.000044329593065,1.4341463414634146
global_extra_w25,1.5616845066020784,1.6304043069494327,63.26569466636917,15.868194313245274,1.2932926829268294
global_extra_w50,1.5376892066631171,1.6113087125212402,62.16437188013735,15.317741302519364,1.327439024390244
global_hist_w10,1.55944238500496,1.6026505018072172,61.31182015421911,14.68044685739852,1.2890243902439025
global_hist_w100,1.456886059357738,1.5684374086842088,55.785439664311795,13.117052055314726,1.4384146341463415
global_hist_w25,1.5594830962015402,1.6005931555664312,64.17534066270495,15.664455062633326,1.2890243902439025
global_hist_w50,1.5359975594874922,1.6035258179741216,63.0638167316376,15.08244542845261,1.3231707317073171
global_quantile_w10,1.5727400031118721,1.6336385203093635,65.32792989576308,16.82904817481625,1.2975609756097561
global_quantile_w100,1.443853288761241,1.503786195726605,55.99468895902994,10.870467028545374,1.4298780487804879
global_quantile_w25,1.5500404367165388,1.5878426457532677,63.361966556059166,14.96439676185078,1.3317073170731708
global_quantile_w50,1.5340480591497228,1.5803047349241397,61.52213206589515,13.387995505277908,1.3658536585365855
global_ridge_w10,1.5640785781103834,1.6263165535472281,60.787755290199826,14.176893852988076,1.2932926829268294
global_ridge_w100,1.3712163088420632,1.4367797839191208,41.93589965333188,9.794562021168373,1.5237804878048782
global_ridge_w25,1.5695273061037174,1.6218931354659247,62.227856046340555,15.477856725060242,1.3189024390243902
global_ridge_w50,1.536411232746311,1.6094960028791276,59.814432548545916,15.006539971067312,1.3445121951219512
incumbent,1.5645887899423783,1.613519781028149,61.02727633075876,14.085042448093812,1.2847560975609755
local_ridge_w10,1.5622244648642905,1.622438482651757,62.35279287208905,15.184622561743755,1.2676829268292684
local_ridge_w100,1.472022955523673,1.511117716120752,52.7069489484579,13.090346695754144,1.5365853658536586
local_ridge_w25,1.5703203010983946,1.6394659270915404,62.73973040937238,15.712324416376376,1.3146341463414635
local_ridge_w50,1.5589176607506547,1.616533240660947,60.770173878535424,15.591697527841982,1.3871951219512195
